figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
ED06,a,1,sd_f5b653f338a4cc67c90c,Six archived inventory counts in source order; displayed labels are aliases for the original stages.,"1,218 inventoried specimens; 1,213 complete bidirectional context analyses; 400 complete-model primary mouse cells.",Counts only.,Inventory/temporal cohorts include mouse and human; the 400-cell primary cohort is mouse-only. These stages are not additive cohorts.
ED06,b,1,sd_676665dd72e834e30e7c,"Observed cost versus pred_nested_rerun, horizontal jitter seed 531; red within-cost medians and descriptive Spearman rho.",400 unique source mouse specimens.,No confidence interval.,Nested rerun predictions; not source-to-target validation or high-accuracy classification.
ED06,c,1,sd_676665dd72e834e30e7c,"Round pred_nested_rerun with NumPy rint, clip to 0..3, count all observed/predicted cost combinations.",400 unique source mouse specimens.,No confidence interval.,Nested rerun predictions; not source-to-target validation or high-accuracy classification.
ED06,d,1,sd_b04554cb7941f7a206e2,"Archived within-layer Spearman rho using stored pred_Creq_multiaxial_ephys, NOT the nested-rerun vector of b/c.",Source cells within six layer groups or three dendrite classes; group counts retained.,"Archived bootstrap95_low/high: paired cell resampling within group; model predictions held fixed, not refitted per bootstrap.","Descriptive stratified OOF association, distinct from leave-group-out generalization. Bootstrap draw count not inferred from a source-config default."
ED06,e,1,sd_b04554cb7941f7a206e2,"Archived within-dendrite_type Spearman rho using stored pred_Creq_multiaxial_ephys, NOT the nested-rerun vector of b/c.",Source cells within six layer groups or three dendrite classes; group counts retained.,"Archived bootstrap95_low/high: paired cell resampling within group; model predictions held fixed, not refitted per bootstrap.","Descriptive stratified OOF association, distinct from leave-group-out generalization. Bootstrap draw count not inferred from a source-config default."
ED06,f,1,sd_50b4c889b7e875774023,"6x6 AB-by-BA contingency counts over 10,25,50,100,200,500 ms.","1,213 specimens, same AB/BA identities; 1,044 mouse and 169 human, not the 400-cell primary subset.",Counts only.,Contexts and directions are nested within specimen.
ED06,g,1,sd_50b4c889b7e875774023,"36-bin histogram of long_short_gain_mean; mean of AB and BA 500-minus-10-ms held-out R-squared gains, with median reference.","Same 1,213 temporal specimens.",No CI.,Non-positive median retained; this is not evidence of universally improved long-context prediction.
ED06,h,1,sd_84f3f5fe447877a6dc67,"4 costs x 9 tolerances fraction matrix, fixed color range 0..0.5. Assembly removes cell-text annotations only.",Same 400 mouse cells at each tolerance.,Fractions only.,Tolerances are not independent cohorts; color saturation above 0.5 is retained.
ED06,i,1,sd_d30ea123d812d0c4a47c,Mean minimum cost versus tolerance.,Same 400 mouse cells at each of nine tolerances.,"Point summaries, no intervals.",Local tolerance sensitivity is not arbitrary-tolerance invariance.
ED06,j,1,sd_d30ea123d812d0c4a47c,"Spearman rho, exact agreement and quadratic weighted kappa versus epsilon=0.020.",Same 400 mouse cells at each of nine tolerances.,"Point summaries, no intervals.",Local tolerance sensitivity is not arbitrary-tolerance invariance.
ED06,k,1,sd_43b567a5360385353e1e,4x4 cell transition counts from epsilon=0.020 to 0.015.,400 paired mouse cells.,Counts only.,Both displayed matrices derive from the identical all-tolerance per-cell table.
ED06,l,1,sd_43b567a5360385353e1e,4x4 cell transition counts from epsilon=0.020 to 0.025.,400 paired mouse cells.,Counts only.,Both displayed matrices derive from the identical all-tolerance per-cell table.
ED06,m,1,sd_ee961faee5cabf60f81e,"All 12 eta-squared descriptor associations, sorted by effect; teal iff unadjusted permutation P<0.05.","6,357 canonical PFC neurons in 64 projection subtypes, not SynPhys cells.",No confidence interval; per-feature source permutation P=(b+1)/1001.,"Descriptive structural context, not mechanism-cost validation. Twelve color thresholds are not multiple-testing-adjusted. Zero-variance dendrite length retained as eta-squared=0/P=1; raw morphology reconstruction not repeated."
ED06,n,2,sd_c3766dfe8fb62ced6da4;sd_da1968085caf5e734e34,Transferred C_primary_shared distributions in eight Cre categories and five layer categories (including MISSING).,"2,546 Cre-labeled records and 2,553 layer-labeled records after original mouse/domain/group-size selection; overlapping subsets, not additive sample sizes.","Median, interquartile range and 1.5-IQR whiskers; no outlier symbols. Not a confidence interval.","Proxy scores, not measured target complexity. No cell identifiers in these display projections, so exact cross-projection overlap cannot be reconstructed from these two tables alone. Original y limits 0.38..1.84 retained."
ED06,o,1,sd_a2c9f2e1cfe6797501ad,"64 subtype counts sorted descending, median horizontal line and median/range annotation.","6,357 canonical neurons partitioned into 64 projection subtypes.",Counts only.,Rank index is not biological identity; original subtype IDs remain in table.
SI01,a,2,sd_344441aba4e446ece45c;sd_362968ee3e80a79cfb56,"Ten continuous-endpoint in-sample delta_before/delta_after pairs per mapper, sorted by delta_before.","Endpoint/definition fits, each with n pairs and n_experiments in the table.","Points and paired segments, no intervals.",Not held-out effect or sample replicates; endpoint-specific overlap prevents pooling.
SI01,b,1,sd_77409b1e6d00fb378768,delta_after=M2 log loss minus M3 log loss.,"30 repeated 20%-experiment-group holdouts per endpoint/definition; 2 groups in b, 6 in c. Reused experiment groups, not 30 independent cohorts.","Median, interquartile range and 1.5-IQR whiskers; no outlier symbols. Not a confidence interval. All 30 jittered split scores additionally shown.",Split seeds/identities reused; no retesting or refitting in this audit.
SI01,c,1,sd_758c3b74a98bb5a2403a,"delta_after=M3 held-out R-squared minus M2 held-out R-squared for PSP, PSC and 50-Hz gain, both definitions.","30 repeated 20%-experiment-group holdouts per endpoint/definition; 2 groups in b, 6 in c. Reused experiment groups, not 30 independent cohorts.","Median, interquartile range and 1.5-IQR whiskers; no outlier symbols. Not a confidence interval. All 30 jittered split scores additionally shown.",Split seeds/identities reused; no retesting or refitting in this audit.
SI01,d,1,sd_fc2dda6e440b1ad7a507,"Identity-conditioned beta for eight measured STP endpoints, both definitions.",Endpoint-specific pairs and experiment clusters; n and n_experiments retained.,"beta ± 1.96 experiment-clustered SE; d reads saved lo/hi, e calculates error bars from saved SE.",Normal-reference intervals for observational fitted coefficients; not held-out prediction intervals or causal effects.
SI01,e,1,sd_a5b02a101f54211c0072,"Identity-conditioned beta for normalized gain at 5,10,20,50 Hz, both definitions.",Endpoint-specific pairs and experiment clusters; n and n_experiments retained.,"beta ± 1.96 experiment-clustered SE; d reads saved lo/hi, e calculates error bars from saved SE.",Normal-reference intervals for observational fitted coefficients; not held-out prediction intervals or causal effects.
