new_figure,new_panel,row,column_start,column_span,quant_microplots,source_id,component,topic
ED01,a,1,1,1,1,ED01a,complete,完整有向转移惩罚
ED01,b,1,2,1,1,ED01b,complete,目标状态与预算
ED01,c,1,3,1,1,ED01c,complete,转移方向不对称
ED01,d,1,4,1,1,ED01d,complete,逐图交叉效应
ED01,e,2,1,1,1,ED01e,complete,Mid本状态优势
ED01,f,2,2,1,1,ED01f,complete,Sparse本状态优势
ED01,g,2,3,1,1,ED01g,complete,图间一致性
ED01,h,2,4,1,1,ED01h,complete,预算平均逐图交叉
ED01,i,3,1,1,1,ED07b,complete,运行点校准
ED01,j,3,2,1,1,ED07e,complete,等预算随机搜索控制
ED01,k,3,3,1,1,ED07f,complete,目标及算法变体
ED01,l,3,4,1,1,ED07g,complete,搜索深度收益
ED01,m,4,1,2,2,SPLITdepth,complete,State-split held-out search stability
ED01,n,4,3,2,2,SPLITresidual,complete,State-split calibration residual
ED02,a,1,1,1,1,ED02a,complete,频率转变强度
ED02,b,1,2,1,1,ED02b,complete,频率状态组成
ED02,c,1,3,1,1,ED02c,complete,节律转变强度
ED02,d,1,4,1,1,ED02d,complete,窗口节律组织
ED02,e,2,1,1,1,ED02e,complete,拓扑预算涌现
ED02,f,2,2,1,1,ED02f,complete,状态×配置收益
ED02,g,2,3,1,1,ED02g,complete,拓扑×配置收益
ED02,h,2,4,1,1,ED02h,complete,定向与随机复杂度需求
ED02,i,3,1,2,1,Fig02e,complete,相对随机配置增益
ED02,j,3,3,2,1,SI12a,complete,活动增益
ED02,k,4,1,2,1,SI12b,complete,同步
ED02,l,4,3,2,1,SI12c,complete,正涌现比例
ED03,a,1,1,2,1,ED03a,complete,阶段×基线比较
ED03,b,1,3,2,1,ED03b,complete,描述子与增益
ED03,c,2,1,1,1,ED03c,complete,确认阶段曲线1
ED03,d,2,2,1,1,ED03d,complete,确认阶段曲线2
ED03,e,2,3,1,1,ED03e,complete,确认阶段曲线3
ED03,f,2,4,1,1,ED03f,complete,确认阶段曲线4
ED03,g,3,1,1,1,ED03g,complete,确认阶段曲线5
ED03,h,3,2,1,1,ED03h,complete,阶段增益区间
ED03,i,3,3,1,1,SI11a,complete,替代目标比较
ED03,j,3,4,1,1,SI11b,complete,替代目标状态收益
ED03,k,4,1,1,1,SI11c,complete,替代目标交叉
ED03,l,4,2,1,1,SI11d,complete,预算随机比较
ED03,m,4,3,1,1,SI11e,complete,随机搜索状态收益
ED03,n,4,4,1,1,SI11f,complete,随机搜索交叉
ED04,a,1,1,1,1,ED04a,complete,近优计数与预算
ED04,b,1,2,1,1,ED04b,complete,近优计数与状态
ED04,c,1,3,1,1,ED04c,complete,近优计数分布
ED04,d,1,4,1,1,ED04d,complete,计数与多样性
ED04,e,2,1,1,1,ED04e,complete,计数与并集
ED04,f,2,2,1,1,ED04f,complete,计数与核心
ED04,g,2,3,2,1,ED04h,complete,联合指标相关矩阵
ED04,h,3,1,1,1,ED04g,complete,计数与熵
ED04,i,3,2,1,1,ED08c,complete,多样性容差敏感性
ED04,j,3,3,1,1,SI10a,complete,搜索深度轨迹1
ED04,k,3,4,1,1,SI10b,complete,搜索深度轨迹2
ED04,l,4,1,1,1,SI10c,complete,深度与交叉效应
ED04,m,4,2,1,1,SI10d,complete,深度与本状态收益
ED04,n,4,3,1,1,SI10e,complete,重复搜索分布
ED04,o,4,4,1,1,SI10f,complete,冻结配置重叠
ED05,a,1,1,1,1,ED09a,complete,低噪声六策略曲线
ED05,b,1,2,1,1,ED09b,complete,标准噪声六策略曲线
ED05,c,1,3,1,1,ED09c,complete,高噪声六策略曲线
ED05,d,1,4,1,1,ED09d,complete,各策略网格最小值之差
ED05,e,2,1,2,1,ED09e,complete,全部15条件增益区间
ED05,f,2,3,2,1,ED10a,complete,放电率诊断
ED05,g,3,1,2,1,ED10b,complete,主导频率诊断
ED05,h,3,3,2,1,ED10d,complete,同步诊断
ED05,i,4,1,2,1,ED10e,complete,谱集中度诊断
ED05,j,4,3,2,1,ED10f,complete,谱熵诊断
ED06,a,1,1,1,1,ED05a,complete,细胞队列构成
ED06,b,1,2,1,1,ED05b,complete,分机制层级预测
ED06,c,1,3,1,1,ED05c,complete,有序混淆矩阵
ED06,d,1,4,1,1,ED05d,complete,层内效应
ED06,e,2,1,1,1,ED05e,complete,树突类别内效应
ED06,f,2,2,1,1,ED05f,complete,时间方向一致性
ED06,g,2,3,1,1,ED05g,complete,长短时间上下文
ED06,h,2,4,1,1,ED05h,complete,容差×机制比例
ED06,i,3,1,1,1,ED05i,complete,平均机制需求
ED06,j,3,2,1,1,ED05j,complete,容差一致性
ED06,k,3,3,1,1,ED05k,complete,较严容差细胞转移
ED06,l,3,4,1,1,ED05l,complete,较宽容差细胞转移
ED06,m,4,1,1,1,SI01a,complete,PFC亚型结构效应
ED06,n,4,2,2,2,SI01b,complete,Cre与层机制代理分布
ED06,o,4,4,1,1,SI01c,complete,PFC亚型样本量
ED07,a,1,1,1,1,ED06a,complete,Steinmetz模型质量
ED07,b,1,2,1,1,ED06b,complete,有效模型比例
ED07,c,1,3,1,1,ED06c,complete,活动与载荷混杂
ED07,d,1,4,1,1,ED06d,complete,杠杆变化与平均活动
ED07,e,2,1,1,1,ED06e,complete,杠杆变化与活动变化
ED07,f,2,2,1,1,ED06f,complete,细胞身份置换
ED07,g,2,3,1,1,ED06g,complete,Allen模型质量
ED07,h,2,4,1,1,ED06h,complete,Allen有效模型比例
ED07,i,3,1,1,1,ED06i,complete,Allen平均活动控制
ED07,j,3,2,1,1,ED06j,complete,Allen活动变化控制
ED07,k,3,3,1,1,ED06k,complete,会话内运动状态
ED07,l,3,4,1,1,ED06l,complete,会话内瞳孔状态
ED07,m,4,1,1,1,SI04a,complete,自适应时滞分布
ED07,n,4,2,1,1,SI04b,complete,时滞×状态
ED07,o,4,3,1,1,SI04d,complete,留出拟合提升
ED07,p,4,4,1,1,SI04f,complete,模型质量与残差稳定性
ED08,a,1,1,1,1,Fig03d,complete,六任务主要聚合比较
ED08,b,1,2,1,1,Fig03e,complete,延迟回忆主要比较
ED08,c,1,3,1,1,Fig03f,complete,非线性整合主要比较
ED08,d,1,4,1,1,Fig03g,complete,脉冲顺序主要比较
ED08,e,2,1,1,1,Fig03h,complete,间隔辨别主要比较
ED08,f,2,2,1,1,Fig03i,complete,证据累积主要比较
ED08,g,2,3,1,1,Fig03j,complete,上下文回忆主要比较
ED08,h,2,4,1,1,Fig03k,complete,两方法×两状态六任务绝对分数
ED08,i,3,1,1,1,SI14a,complete,延迟回忆完整方法
ED08,j,3,2,1,1,SI14b,complete,非线性整合完整方法
ED08,k,3,3,1,1,SI14c,complete,脉冲顺序完整方法
ED08,l,3,4,1,1,SI14d,complete,间隔辨别完整方法
ED08,m,4,1,1,1,SI14e,complete,证据累积完整方法
ED08,n,4,2,1,1,SI14f,complete,上下文回忆完整方法
ED08,o,4,3,1,1,SI14g,complete,六任务对未选随机
ED08,p,4,4,1,1,SI14h,complete,六任务对分组匹配随机
SI01,a,1,1,2,2,SI02a,complete,两代理身份吸收
SI01,b,1,3,1,1,SI02b,complete,连接概率重复留出
SI01,c,2,1,1,1,SI02c,complete,连续端点重复留出
SI01,d,2,2,1,1,Fig05j,STP,局部预测增量与动力学端点
SI01,e,2,3,1,1,Fig05j,frequency,局部预测增量与动力学端点
SI02,a,1,1,2,2,SI03a,complete,会话去重及数据行审计
SI02,b,1,3,1,1,SI03b,complete,预测与动力贡献相关
SI02,c,1,4,1,1,SI04e,complete,时滞与模型质量
SI02,d,2,1,3,3,SI03c,complete,选择结果参与度行为热图
SI02,e,2,4,1,1,SI04c,complete,原始状态对矩阵
SI03,a,1,1,1,1,SI05a,complete,半模型有效性
SI03,b,1,2,1,1,SI05b,complete,主成分解释量
SI03,c,1,3,1,1,SI05c,complete,状态比例
SI03,d,2,1,3,3,SI05d,complete,单元数试次数及发现最终分割
SI04,a,1,1,1,1,SI06a,complete,组内与跨状态系数相关
SI04,b,1,2,1,1,SI06b,complete,逐鼠landscape差
SI04,c,1,3,1,1,SI06c,complete,残差定义对照
SI04,d,2,1,2,2,SI06d,complete,活动及选择性残差
SI04,e,2,3,1,1,SI06e,complete,真实边缘landscape
SI05,a,1,1,3,3,SI07a,complete,原始正则化敏感性
SI05,b,1,4,1,1,SI07b,complete,高精度匹配置换
SI05,c,2,1,2,2,SI07c,complete,残差正则化敏感性
SI05,d,2,3,1,1,SI07d,complete,逐鼠留一
SI05,e,2,4,1,1,SI07e,complete,重复分割精度
SI06,a,1,1,2,2,SI08a,complete,Top-set读出及逐鼠效应
SI06,b,1,3,1,1,SI08f,complete,Top-set逐鼠留一
SI06,c,2,1,2,2,SI08b,complete,单元预算敏感性
SI06,d,2,3,1,1,SI08d,complete,重叠正则化敏感性
SI06,e,3,1,2,2,SI08c,complete,集合重叠及逐鼠差
SI06,f,3,3,1,1,SI08e,complete,集合高精度置换
