specimen_id,level,template_id,model_id,run_id,explained_variance_ratio
313861608,1,395310469,566281678,566300595,0.968530614937373
313861608,2,395310479,566281680,566300856,0.951977514183922
313861608,3,395310475,566281682,566300842,0.974023371275986
313861608,4,471355161,566281684,566302934,0.974126139629663
313861608,5,395310498,566281686,566304450,0.971204803545251
313861677,1,395310469,566281743,566294247,0.672367597280085
313861677,2,395310479,566281745,566295215,0.687579565860372
313861677,3,395310475,566281747,566295018,0.431767372542924
313861677,4,471355161,566281749,566295841,0.562042883649191
313861677,5,395310498,566281751,566295980,0.543629947298748
313861794,1,395310469,566281780,566296261,0.739910442175059
313861794,2,395310479,566281782,566297041,0.800209241758984
313861794,3,395310475,566281784,566296466,0.824982515325358
313861794,4,471355161,566281786,566297182,0.830142359374035
313861794,5,395310498,566281788,566300177,0.852406949898712
313862134,1,395310469,566282072,566295795,0.947474654483392
313862134,2,395310479,566282074,566296015,0.902512018848051
313862134,3,395310475,566282076,566295887,0.95818627658215
313862134,4,471355161,566282078,566296107,0.965960954761689
313862134,5,395310498,566282080,566296603,0.964164603753062
313862167,1,395310469,566281820,566296985,0.908908087303024
313862167,2,395310479,566281822,566298444,0.827110189836267
313862167,3,395310475,566281824,566297008,0.915922133945387
313862167,4,471355161,566281826,566297722,0.945239563483232
313862167,5,395310498,566281828,566300642,0.943591894807975
313862274,1,395310469,566282105,566296559,0.845470597662831
313862274,2,395310479,566282107,566297537,0.842613871151968
313862274,3,395310475,566282109,566298502,0.835033955496667
313862274,4,471355161,566282111,566300951,0.820873836376403
313862274,5,395310498,566282113,566302785,0.824214153139079
314642645,1,395310469,566282193,566294874,0.685232525094639
314642645,2,395310479,566282195,566295852,0.748375778458534
314642645,3,395310475,566282197,566295262,0.633358939006833
314642645,4,471355161,566282199,566295875,0.711641787324923
314642645,5,395310498,566282201,566296085,0.693951657385294
314800921,1,395310469,566282155,566295380,0.676829058681391
314800921,2,395310479,566282157,566295921,0.549377355698663
314800921,3,395310475,566282159,566295452,0.769043211863638
314800921,4,471355161,566282161,566295899,0.769773445243762
314800921,5,395310498,566282163,566296038,0.779698218061792
314822529,1,395310469,566282269,566295237,0.742650093030387
314822529,2,395310479,566282271,566295864,0.629978500597989
314822529,3,395310475,566282273,566295613,0.848798951910173
314822529,4,471355161,566282275,566295932,0.871046395019947
314822529,5,395310498,566282277,566296027,0.87261539785714
318556138,1,395310469,566282030,566295943,0.947177005952953
318556138,2,395310479,566282032,566296233,0.93800116376996
318556138,3,395310475,566282034,566296222,0.969477684721572
318556138,4,471355161,566282036,566296678,0.969120275460376
318556138,5,395310498,566282038,566297313,0.967283873635648
318733871,1,395310469,566282232,566296372,0.638226820561679
318733871,2,395310479,566282234,566297277,0.664644624881032
318733871,3,395310475,566282236,566296972,0.582199697703125
318733871,4,471355161,566282238,566297442,0.734694934168298
318733871,5,395310498,566282240,566300964,0.739204164135391
320207387,1,395310469,566282497,566297248,0.719041040511848
320207387,2,395310479,566282499,566299821,0.682678069942582
320207387,3,395310475,566282501,566297026,0.894046170447377
320207387,4,471355161,566282503,566298568,0.903569623908939
320207387,5,395310498,566282505,566300582,0.905775028835997
320639930,1,395310469,566282589,566296997,0.70779341355205
320639930,2,395310479,566282591,566299437,0.673501764283986
320639930,3,395310475,566282593,566297194,0.656359516667764
320639930,4,471355161,566282595,566300336,0.718094032934643
320639930,5,395310498,566282597,566301236,0.732117998383992
320668841,1,395310469,566282666,566297053,0.494405746019089
320668841,2,395310479,566282668,566299617,0.60284879175961
