task,population_minus_reference,n_graphs,mean,ci95_low,ci95_high,exact_two_sided_p,holm_six_task_p,positive_graphs,zero_graphs
Six-task aggregate,Equal-budget random,12,-0.006800291359411709,-0.016076151060436472,0.003570876298861118,0.22021484375,NA,4,0
Delayed recall,Equal-budget random,12,0.0031435643435297387,-0.008249006244571413,0.0143863863742325,0.61328125,1.0,7,2
Nonlinear integration,Equal-budget random,12,-0.015950520833333332,-0.0283203125,-0.005208333333333333,0.021484375,0.12890625,2,0
Pulse order,Equal-budget random,12,-0.012044270833333334,-0.039388020833333336,0.013346354166666666,0.421875,1.0,5,2
Interval discrimination,Equal-budget random,12,0.0126953125,-0.0048828125,0.031901041666666664,0.25,1.0,5,4
Evidence accumulation,Equal-budget random,12,-0.011067708333333334,-0.037109375,0.016276041666666668,0.45703125,1.0,4,3
Context recall,Equal-budget random,12,-0.017578125,-0.042643229166666664,0.004231770833333333,0.240234375,1.0,6,1
Six-task aggregate,Unselected random,12,0.024356691938573052,0.017039058167461946,0.032210582590969726,0.00048828125,NA,12,0
Delayed recall,Unselected random,12,0.027243667256438314,0.017121759793377652,0.03634531828285684,0.00146484375,0.0087890625,11,0
Nonlinear integration,Unselected random,12,0.019694010416666668,0.0047607421875,0.035359700520833336,0.03173828125,0.09521484375,9,0
Pulse order,Unselected random,12,-0.0029296875,-0.027587890625,0.0205078125,0.82373046875,0.82373046875,7,0
Interval discrimination,Unselected random,12,0.050984700520833336,0.029743448893229166,0.07145284016927075,0.001953125,0.009765625,10,0
Evidence accumulation,Unselected random,12,0.029825846354166668,0.011515299479166666,0.049195353190104076,0.01318359375,0.052734375,10,0
Context recall,Unselected random,12,0.021321614583333332,3.967285156250092e-05,0.041951497395833336,0.08642578125,0.1728515625,9,0
Six-task aggregate,Group-count matched,12,0.029846413945796128,0.022410822915430815,0.038385570582385266,0.00048828125,NA,12,0
Delayed recall,Group-count matched,12,0.01859671284144343,0.009748684149494986,0.027497594954016606,0.00390625,0.015625,10,0
Nonlinear integration,Group-count matched,12,0.023274739583333332,0.005615234375,0.041666666666666664,0.033203125,0.099609375,9,0
Pulse order,Group-count matched,12,0.014485677083333334,-0.008791097005208331,0.037353515625,0.2587890625,0.2587890625,8,1
Interval discrimination,Group-count matched,12,0.06437174479166667,0.03604939778645833,0.09415690104166667,0.00244140625,0.01220703125,11,0
Evidence accumulation,Group-count matched,12,0.021158854166666668,-8.138020833333333e-05,0.041829427083333336,0.0869140625,0.173828125,9,0
Context recall,Group-count matched,12,0.037190755208333336,0.021565755208333332,0.05322265625,0.001953125,0.01171875,10,1
Six-task aggregate,State interaction,12,-0.000661968229632323,-0.01848906650868511,0.01637271295462584,0.94384765625,NA,6,0
