graph_seed,regime,k,core_fraction
42001,sparse_drive,8,1.0
42001,sparse_drive,32,0.75
42001,sparse_drive,64,0.734375
42001,transition_dense,8,0.0
42001,transition_dense,32,1.0
42001,transition_dense,64,0.78125
42001,transition_mid,8,1.0
42001,transition_mid,32,0.6875
42001,transition_mid,64,1.0
42002,sparse_drive,8,1.0
42002,sparse_drive,32,0.78125
42002,sparse_drive,64,1.0
42002,transition_dense,8,0.0
42002,transition_dense,32,1.0
42002,transition_dense,64,1.0
42002,transition_mid,8,0.0
42002,transition_mid,32,1.0
42002,transition_mid,64,1.0
42003,sparse_drive,8,0.0
42003,sparse_drive,32,1.0
42003,sparse_drive,64,1.0
42003,transition_dense,8,0.0
42003,transition_dense,32,1.0
42003,transition_dense,64,1.0
42003,transition_mid,8,0.125
42003,transition_mid,32,1.0
42003,transition_mid,64,1.0
