variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
alternative,93002,0,32,transition_mid,transition_mid,9601,93002288607,0.7508289217948914,0.5566941499710083,20.263668060302734,69.5,0.8888747692108154,0.15530410408973694,0.9536685943603516,0.0
alternative,93002,0,32,sparse_drive,transition_mid,9601,93002288607,0.6706430912017822,0.483720600605011,20.333980560302734,69.5,0.8396324515342712,0.2012658715248108,0.9103052616119385,0.0
alternative,93002,0,32,transition_mid,transition_mid,9602,93002288608,0.30844026803970337,0.23321571946144104,20.269527435302734,69.5,0.4937581419944763,0.3753211498260498,0.9870767593383789,0.0
alternative,93002,0,32,sparse_drive,transition_mid,9602,93002288608,0.4247218072414398,0.3040199875831604,20.326168060302734,69.5,0.634974479675293,0.3311198651790619,0.8989980816841125,0.0
alternative,93002,0,32,transition_mid,transition_mid,9603,93002288609,0.5076785087585449,0.38192465901374817,20.255855560302734,69.5,0.7196383476257324,0.29453665018081665,0.9782244563102722,0.0
alternative,93002,0,32,sparse_drive,transition_mid,9603,93002288609,0.37981998920440674,0.2747529447078705,20.298824310302734,69.5,0.5914273262023926,0.35779091715812683,0.914692223072052,0.0
alternative,93002,0,32,transition_mid,transition_mid,9604,93002288610,0.3213370740413666,0.24290239810943604,20.269527435302734,69.5,0.4864397346973419,0.33941030502319336,0.9866063594818115,0.0
alternative,93002,0,32,sparse_drive,transition_mid,9604,93002288610,0.46093249320983887,0.33652937412261963,20.339839935302734,69.5,0.6579951047897339,0.2994895279407501,0.9289534091949463,0.0
alternative,93002,0,32,transition_mid,transition_mid,9605,93002288611,0.5325285196304321,0.3988427519798279,20.253902435302734,69.5,0.7317817211151123,0.27228498458862305,0.9705829620361328,0.0
alternative,93002,0,32,sparse_drive,transition_mid,9605,93002288611,0.4454171657562256,0.32258141040802,20.330074310302734,69.5,0.6460471749305725,0.31055012345314026,0.9164699912071228,0.0
alternative,93002,0,32,transition_mid,transition_mid,9606,93002288612,0.3687807619571686,0.2821027934551239,20.248043060302734,69.5,0.5633948445320129,0.3454311192035675,1.0080654621124268,0.0
alternative,93002,0,32,sparse_drive,transition_mid,9606,93002288612,0.636177122592926,0.46030494570732117,20.339839935302734,69.5,0.8184182643890381,0.22267481684684753,0.9150523543357849,0.0
alternative,93002,0,32,transition_mid,transition_mid,9607,93002288613,0.6283152103424072,0.4559570550918579,20.291011810302734,69.5,0.7990803122520447,0.2137020081281662,0.9195448160171509,0.0
alternative,93002,0,32,sparse_drive,transition_mid,9607,93002288613,0.3318040370941162,0.2500840425491333,20.244138717651367,69.0,0.5166048407554626,0.35772183537483215,0.9814895987510681,0.0
alternative,93002,0,32,transition_mid,transition_mid,9608,93002288614,0.3962540328502655,0.30426856875419617,20.208980560302734,69.5,0.5901480913162231,0.3285515308380127,1.015097975730896,0.0
alternative,93002,0,32,sparse_drive,transition_mid,9608,93002288614,0.25228381156921387,0.1863647997379303,20.294919967651367,69.5,0.4059246778488159,0.378495991230011,0.9476358294487,0.0
alternative,93002,0,32,transition_mid,sparse_drive,9601,93002288607,0.5785009264945984,0.42864418029785156,21.626949310302734,69.5,0.7788136601448059,0.2572023570537567,0.9525976181030273,0.0
alternative,93002,0,32,sparse_drive,sparse_drive,9601,93002288607,0.4975671172142029,0.36851048469543457,21.658199310302734,69.5,0.709726870059967,0.2989315390586853,0.9518616199493408,0.0
alternative,93002,0,32,transition_mid,sparse_drive,9602,93002288608,0.43624648451805115,0.3230428099632263,21.599605560302734,69.5,0.631466805934906,0.3091537356376648,0.9515971541404724,0.0
alternative,93002,0,32,sparse_drive,sparse_drive,9602,93002288608,0.4286634922027588,0.31308236718177795,21.691402435302734,69.5,0.6249449253082275,0.3140780031681061,0.9295169711112976,0.0
alternative,93002,0,32,transition_mid,sparse_drive,9603,93002288609,0.3818223178386688,0.2783450186252594,21.564449310302734,69.5,0.6047409176826477,0.368618369102478,0.9265705347061157,0.0
alternative,93002,0,32,sparse_drive,sparse_drive,9603,93002288609,0.4627853333950043,0.3463011384010315,21.654293060302734,69.5,0.6645293831825256,0.3035893440246582,0.969075083732605,0.0
alternative,93002,0,32,transition_mid,sparse_drive,9604,93002288610,0.5984707474708557,0.44994375109672546,21.574214935302734,69.5,0.7955994009971619,0.24777375161647797,0.9771338105201721,0.0
alternative,93002,0,32,sparse_drive,sparse_drive,9604,93002288610,0.5747727155685425,0.416812926530838,21.685543060302734,69.5,0.7695765495300293,0.2531312108039856,0.9184825420379639,0.0
alternative,93002,0,32,transition_mid,sparse_drive,9605,93002288611,0.27553173899650574,0.20055431127548218,21.591793060302734,70.0,0.4823185205459595,0.4287349283695221,0.9242056608200073,0.0
alternative,93002,0,32,sparse_drive,sparse_drive,9605,93002288611,0.2966204881668091,0.22181954979896545,21.671871185302734,69.5,0.4648021161556244,0.361834853887558,0.9679968953132629,0.0
alternative,93002,0,32,transition_mid,sparse_drive,9606,93002288612,0.6111257076263428,0.4568692445755005,21.591793060302734,69.5,0.8026867508888245,0.23864978551864624,0.9674608111381531,0.0
alternative,93002,0,32,sparse_drive,sparse_drive,9606,93002288612,0.6758901476860046,0.4914286136627197,21.708980560302734,69.5,0.8435903191566467,0.19879336655139923,0.9225119948387146,0.0
alternative,93002,0,32,transition_mid,sparse_drive,9607,93002288613,0.2149684727191925,0.1555512249469757,21.601558685302734,69.5,0.3756292760372162,0.4277110695838928,0.9151610136032104,0.0
alternative,93002,0,32,sparse_drive,sparse_drive,9607,93002288613,0.46629875898361206,0.34845584630966187,21.673824310302734,69.5,0.6769108772277832,0.3111371397972107,0.9667671918869019,0.0
alternative,93002,0,32,transition_mid,sparse_drive,9608,93002288614,0.19514349102973938,0.14191144704818726,21.593746185302734,70.0,0.3441409766674042,0.4329548180103302,0.9227926135063171,0.0
alternative,93002,0,32,sparse_drive,sparse_drive,9608,93002288614,0.5629326701164246,0.4109383523464203,21.669918060302734,69.5,0.7525853514671326,0.25200149416923523,0.928717851638794,0.0
