variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,19,32,transition_mid,transition_mid,9601,93002288607,0.5413352251052856,0.4195363223552704,20.191402435302734,69.0,0.7449703812599182,0.2733466625213623,1.032734751701355,0.0
primary,93002,19,32,sparse_drive,transition_mid,9601,93002288607,0.3261259198188782,0.23917430639266968,20.298824310302734,69.5,0.5132557153701782,0.3645936846733093,0.9360026717185974,0.0
primary,93002,19,32,transition_mid,transition_mid,9602,93002288608,0.32543209195137024,0.2467014491558075,20.222652435302734,69.5,0.529022216796875,0.38484227657318115,0.9916699528694153,0.0
primary,93002,19,32,sparse_drive,transition_mid,9602,93002288608,0.5777154564857483,0.4073816239833832,20.335933685302734,69.5,0.7532473802566528,0.23303356766700745,0.8774899840354919,0.0
primary,93002,19,32,transition_mid,transition_mid,9603,93002288609,0.4046601951122284,0.3095717430114746,20.222652435302734,69.0,0.606706976890564,0.33302196860313416,1.0082000494003296,0.0
primary,93002,19,32,sparse_drive,transition_mid,9603,93002288609,0.22501787543296814,0.16881802678108215,20.263669967651367,69.0,0.3734627068042755,0.39748233556747437,0.9735100865364075,0.0
primary,93002,19,32,transition_mid,transition_mid,9604,93002288610,0.48034030199050903,0.37714192271232605,20.189451217651367,69.0,0.6818432211875916,0.29552677273750305,1.0586737394332886,0.0
primary,93002,19,32,sparse_drive,transition_mid,9604,93002288610,0.42811620235443115,0.30541253089904785,20.269527435302734,69.5,0.6419848799705505,0.3331366181373596,0.8940472602844238,0.0
primary,93002,19,32,transition_mid,transition_mid,9605,93002288611,0.4578940272331238,0.3527296185493469,20.201168060302734,69.0,0.6671062707901001,0.31361156702041626,1.0211395025253296,0.0
primary,93002,19,32,sparse_drive,transition_mid,9605,93002288611,0.38907676935195923,0.2827371656894684,20.296873092651367,69.5,0.601791262626648,0.3534688651561737,0.9216718077659607,0.0
primary,93002,19,32,transition_mid,transition_mid,9606,93002288612,0.3369515538215637,0.25797560811042786,20.236324310302734,69.0,0.5269116759300232,0.3605160415172577,1.0096478462219238,0.0
primary,93002,19,32,sparse_drive,transition_mid,9606,93002288612,0.20174643397331238,0.13885067403316498,20.333980560302734,70.0,0.3455522358417511,0.41616225242614746,0.8446106910705566,0.0
primary,93002,19,32,transition_mid,transition_mid,9607,93002288613,0.30964088439941406,0.23195227980613708,20.216793060302734,69.5,0.5004009008407593,0.3812144100666046,0.9709030389785767,0.0
primary,93002,19,32,sparse_drive,transition_mid,9607,93002288613,0.39251965284347534,0.2907721698284149,20.300777435302734,69.5,0.5959329009056091,0.34133583307266235,0.9522140026092529,0.0
primary,93002,19,32,transition_mid,transition_mid,9608,93002288614,0.4192519187927246,0.32369256019592285,20.214839935302734,69.0,0.6192423701286316,0.32295992970466614,1.0254367589950562,0.0
primary,93002,19,32,sparse_drive,transition_mid,9608,93002288614,0.4076217710971832,0.28489556908607483,20.335933685302734,69.5,0.5897088050842285,0.30877450108528137,0.8651886582374573,0.0
primary,93002,19,32,transition_mid,sparse_drive,9601,93002288607,0.5794083476066589,0.42597103118896484,21.632808685302734,69.5,0.7854261994361877,0.2623007595539093,0.9399139881134033,0.0
primary,93002,19,32,sparse_drive,sparse_drive,9601,93002288607,0.708082377910614,0.510138988494873,21.636714935302734,69.5,0.8627049326896667,0.1792299896478653,0.9085830450057983,0.0
primary,93002,19,32,transition_mid,sparse_drive,9602,93002288608,0.6382509469985962,0.466330349445343,21.654293060302734,69.5,0.8195704221725464,0.22123722732067108,0.9300944209098816,0.0
primary,93002,19,32,sparse_drive,sparse_drive,9602,93002288608,0.7812957763671875,0.5648473501205444,21.654293060302734,69.5,0.9062352776527405,0.13786651194095612,0.9138231873512268,0.0
primary,93002,19,32,transition_mid,sparse_drive,9603,93002288609,0.6168625950813293,0.45205625891685486,21.630855560302734,69.5,0.8004918098449707,0.2293955385684967,0.9348158836364746,0.0
