graph_seed,regime,k,union_expansion
42001,sparse_drive,8,1.0
42001,sparse_drive,32,1.25
42001,sparse_drive,64,1.3125
42001,transition_dense,8,2.625
42001,transition_dense,32,1.0
42001,transition_dense,64,1.21875
42001,transition_mid,8,1.0
42001,transition_mid,32,1.3125
42001,transition_mid,64,1.0
42002,sparse_drive,8,1.0
42002,sparse_drive,32,1.21875
42002,sparse_drive,64,1.0
42002,transition_dense,8,2.875
42002,transition_dense,32,1.0
42002,transition_dense,64,1.0
42002,transition_mid,8,2.875
42002,transition_mid,32,1.0
42002,transition_mid,64,1.0
42003,sparse_drive,8,3.75
42003,sparse_drive,32,1.0
42003,sparse_drive,64,1.0
42003,transition_dense,8,2.0
42003,transition_dense,32,1.0
42003,transition_dense,64,1.0
42003,transition_mid,8,2.5
42003,transition_mid,32,1.0
42003,transition_mid,64,1.0
