state_a,state_b,n_groups,median_rho,ci95_low,ci95_high,mean_rho
baseline,visual,39,0.7831701210477096,0.7386002193181276,0.8027268116154757,0.7562205202882465
baseline,decision,39,0.6769395946117212,0.6609212211344347,0.7087433693982121,0.6749514566007905
baseline,movement,39,0.5953716808497124,0.5611701688715814,0.6219130044867491,0.5945212405637702
baseline,outcome,39,0.665196475811771,0.6250841679794455,0.7115184547920143,0.6620726670671111
visual,decision,39,0.720913279184682,0.6934998921447402,0.7477260479078722,0.6995999065245161
visual,movement,39,0.6092768629039403,0.5824587101252983,0.6476893997738432,0.6010815119595895
visual,outcome,39,0.6497933253227027,0.6355229187393583,0.6905774973386157,0.6535563346490709
decision,movement,39,0.7258165840859228,0.6855645033632473,0.7562858984582133,0.707650662188314
decision,outcome,39,0.7650981514169094,0.7446899779171741,0.7912689256870983,0.7617028565663787
movement,outcome,39,0.8966899400592548,0.8431633039237459,0.9169540859472047,0.8622877112713709
