topology,placement,placement_gain_vs_random_mean
er,coverage_greedy,0.015977472396580067
modular,coverage_greedy,0.012503910483385885
scale_free,coverage_greedy,0.08650369156477553
small_world,coverage_greedy,0.005136748055546172
er,cycle_proxy,0.02013257535636065
modular,cycle_proxy,-0.005524775315997189
scale_free,cycle_proxy,0.09771893713894572
small_world,cycle_proxy,-0.007714967070327262
er,feedback_hub,0.020321293596363827
modular,feedback_hub,0.004795924586902695
scale_free,feedback_hub,0.09240021830533625
small_world,feedback_hub,0.005772234036802148
er,high_degree,0.01943035591424432
modular,high_degree,0.004482586696937401
scale_free,high_degree,0.091575650272881
small_world,high_degree,0.0016979662599581535
er,module_bridge,0.018469034473463593
modular,module_bridge,0.007771927946006954
scale_free,module_bridge,0.09462604209793199
small_world,module_bridge,-0.00024739366150912736
er,none,
modular,none,
scale_free,none,
small_world,none,
er,random,0.0
modular,random,0.0
scale_free,random,0.0
small_world,random,0.0
