variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
alternative,93001,0,32,transition_mid,transition_mid,9601,93001288604,0.6938392519950867,0.4877927899360657,20.294918060302734,69.5,0.8516302704811096,0.1852811574935913,0.8732751607894897,0.0
alternative,93001,0,32,sparse_drive,transition_mid,9601,93001288604,0.6602209210395813,0.4599490165710449,20.423824310302734,69.5,0.8289040923118591,0.20350144803524017,0.860779881477356,0.0
alternative,93001,0,32,transition_mid,transition_mid,9602,93001288605,0.7074851989746094,0.5024332404136658,20.269527435302734,69.5,0.8657331466674805,0.18279068171977997,0.8875223398208618,0.0
alternative,93001,0,32,sparse_drive,transition_mid,9602,93001288605,0.6826167106628418,0.4824783504009247,20.451168060302734,69.5,0.845674455165863,0.19281385838985443,0.8807745575904846,0.0
alternative,93001,0,32,transition_mid,transition_mid,9603,93001288606,0.3782033324241638,0.25659385323524475,20.291011810302734,69.5,0.5979347825050354,0.3674840033054352,0.8262452483177185,0.0
alternative,93001,0,32,sparse_drive,transition_mid,9603,93001288606,0.32781338691711426,0.21746070683002472,20.445308685302734,69.5,0.530820906162262,0.3824406862258911,0.7988036274909973,0.0
alternative,93001,0,32,transition_mid,transition_mid,9604,93001288607,0.7175120711326599,0.4989250600337982,20.277339935302734,69.5,0.8649007678031921,0.1704111099243164,0.8582485914230347,0.0
alternative,93001,0,32,sparse_drive,transition_mid,9604,93001288607,0.5465431213378906,0.3816169202327728,20.417964935302734,69.5,0.7442348599433899,0.2656308710575104,0.8638530373573303,0.0
alternative,93001,0,32,transition_mid,transition_mid,9605,93001288608,0.7403136491775513,0.5266057848930359,20.271480560302734,69.5,0.8844699859619141,0.16298618912696838,0.8898668885231018,0.0
alternative,93001,0,32,sparse_drive,transition_mid,9605,93001288608,0.21490395069122314,0.14431272447109222,20.429683685302734,70.0,0.3738647997379303,0.4251827299594879,0.8135098814964294,0.0
alternative,93001,0,32,transition_mid,transition_mid,9606,93001288609,0.267598032951355,0.18418869376182556,20.285152435302734,69.5,0.4481445848941803,0.4028756320476532,0.8447249531745911,0.0
alternative,93001,0,32,sparse_drive,transition_mid,9606,93001288609,0.2786822021007538,0.19158527255058289,20.417966842651367,70.0,0.4642595648765564,0.39972755312919617,0.8431400656700134,0.0
alternative,93001,0,32,transition_mid,transition_mid,9607,93001288610,0.6102252006530762,0.44256529211997986,20.273433685302734,69.5,0.7894696593284607,0.22704412043094635,0.9186308979988098,0.0
alternative,93001,0,32,sparse_drive,transition_mid,9607,93001288610,0.721846342086792,0.5061048865318298,20.455074310302734,69.5,0.8737640380859375,0.17386576533317566,0.8695108890533447,0.0
alternative,93001,0,32,transition_mid,transition_mid,9608,93001288611,0.6061339378356934,0.42351436614990234,20.265621185302734,69.5,0.7885404229164124,0.23132166266441345,0.8647836446762085,0.0
alternative,93001,0,32,sparse_drive,transition_mid,9608,93001288611,0.6993196606636047,0.5004609227180481,20.443355560302734,69.5,0.8547007441520691,0.1817958950996399,0.8986495733261108,0.0
alternative,93001,0,32,transition_mid,sparse_drive,9601,93001288604,0.5367228388786316,0.3728634715080261,21.724605560302734,70.0,0.7460154294967651,0.28054726123809814,0.8569906949996948,0.0
alternative,93001,0,32,sparse_drive,sparse_drive,9601,93001288604,0.6182709336280823,0.45440810918807983,21.818355560302734,69.5,0.803556501865387,0.23058189451694489,0.9394424557685852,0.0
alternative,93001,0,32,transition_mid,sparse_drive,9602,93001288605,0.4084552526473999,0.2806735932826996,21.685543060302734,70.0,0.6155409216880798,0.33642879128456116,0.8425524830818176,0.0
alternative,93001,0,32,sparse_drive,sparse_drive,9602,93001288605,0.24651135504245758,0.17621098458766937,21.869136810302734,70.0,0.41833388805389404,0.41073060035705566,0.8969693779945374,0.0
alternative,93001,0,32,transition_mid,sparse_drive,9603,93001288606,0.3844769597053528,0.26538607478141785,21.697261810302734,70.0,0.6027166247367859,0.3620932996273041,0.8484374284744263,0.0
alternative,93001,0,32,sparse_drive,sparse_drive,9603,93001288606,0.5973011255264282,0.439301073551178,21.800777435302734,69.5,0.7794075012207031,0.2336472123861313,0.9405542016029358,0.0
alternative,93001,0,32,transition_mid,sparse_drive,9604,93001288607,0.5519795417785645,0.377368301153183,21.716793060302734,70.0,0.7610378861427307,0.2747015655040741,0.8359605073928833,0.0
alternative,93001,0,32,sparse_drive,sparse_drive,9604,93001288607,0.6638278961181641,0.48597511649131775,21.818355560302734,69.5,0.8323851823806763,0.2024991810321808,0.9331948161125183,0.0
alternative,93001,0,32,transition_mid,sparse_drive,9605,93001288608,0.22071292996406555,0.14575350284576416,21.714839935302734,70.0,0.35729971528053284,0.3822750747203827,0.7934799194335938,0.0
alternative,93001,0,32,sparse_drive,sparse_drive,9605,93001288608,0.22777897119522095,0.16161568462848663,21.861324310302734,69.5,0.3850241005420685,0.40840333700180054,0.8862338662147522,0.0
alternative,93001,0,32,transition_mid,sparse_drive,9606,93001288609,0.31553569436073303,0.2180987298488617,21.693355560302734,70.0,0.5119484066963196,0.38365721702575684,0.8502527475357056,0.0
alternative,93001,0,32,sparse_drive,sparse_drive,9606,93001288609,0.41400495171546936,0.30613213777542114,21.791011810302734,69.5,0.6156308650970459,0.3275110423564911,0.949244499206543,0.0
alternative,93001,0,32,transition_mid,sparse_drive,9607,93001288610,0.1851821094751358,0.12343779951334,21.804683685302734,70.0,0.33815211057662964,0.45237040519714355,0.8045543432235718,0.0
alternative,93001,0,32,sparse_drive,sparse_drive,9607,93001288610,0.557195782661438,0.4112430214881897,21.777339935302734,69.5,0.7532455921173096,0.26027342677116394,0.9462011456489563,0.0
alternative,93001,0,32,transition_mid,sparse_drive,9608,93001288611,0.3952934741973877,0.2751588523387909,21.685543060302734,70.0,0.6099104881286621,0.35188284516334534,0.8596698641777039,0.0
alternative,93001,0,32,sparse_drive,sparse_drive,9608,93001288611,0.39230093359947205,0.2969442903995514,21.783199310302734,69.5,0.5875808596611023,0.332345575094223,0.988986611366272,0.0
