variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,1,32,transition_mid,transition_mid,9601,93003288610,0.5927300453186035,0.4494554102420807,20.306636810302734,69.5,0.7804887890815735,0.24056561291217804,0.9921558499336243,0.0
primary,93003,1,32,sparse_drive,transition_mid,9601,93003288610,0.559453547000885,0.41409650444984436,20.193355560302734,69.5,0.7570754289627075,0.2610332667827606,0.9508780837059021,0.0
primary,93003,1,32,transition_mid,transition_mid,9602,93003288611,0.6855424642562866,0.5175491571426392,20.304683685302734,69.5,0.8512197136878967,0.19463510811328888,0.984362781047821,0.0
primary,93003,1,32,sparse_drive,transition_mid,9602,93003288611,0.46878716349601746,0.3400094509124756,20.205074310302734,69.5,0.6477314829826355,0.27626311779022217,0.9187299609184265,0.0
primary,93003,1,32,transition_mid,transition_mid,9603,93003288612,0.5532306432723999,0.41545355319976807,20.300777435302734,69.5,0.7297590970993042,0.24189959466457367,0.9751508235931396,0.0
primary,93003,1,32,sparse_drive,transition_mid,9603,93003288612,0.6956274509429932,0.5102710723876953,20.218746185302734,69.5,0.8505825400352478,0.18217530846595764,0.9363501071929932,0.0
primary,93003,1,32,transition_mid,transition_mid,9604,93003288613,0.289558082818985,0.21179936826229095,20.328121185302734,69.5,0.47419559955596924,0.389369934797287,0.9318543672561646,0.0
primary,93003,1,32,sparse_drive,transition_mid,9604,93003288613,0.5865049958229065,0.4246121346950531,20.210933685302734,69.5,0.7698631286621094,0.2381698042154312,0.915938138961792,0.0
primary,93003,1,32,transition_mid,transition_mid,9605,93003288614,0.36360785365104675,0.2747308313846588,20.281246185302734,69.5,0.5684813857078552,0.36038738489151,0.9858077764511108,0.0
primary,93003,1,32,sparse_drive,transition_mid,9605,93003288614,0.8225165605545044,0.6192290186882019,20.205074310302734,69.5,0.9269691705703735,0.11268185079097748,0.9794941544532776,0.0
primary,93003,1,32,transition_mid,transition_mid,9606,93003288615,0.7502545714378357,0.5661600828170776,20.269527435302734,69.5,0.8892006278038025,0.15625950694084167,0.983609139919281,0.0
primary,93003,1,32,sparse_drive,transition_mid,9606,93003288615,0.7006016373634338,0.513600766658783,20.193355560302734,69.5,0.849797785282135,0.1755666583776474,0.9353645443916321,0.0
primary,93003,1,32,transition_mid,transition_mid,9607,93003288616,0.3439173698425293,0.267400324344635,20.216793060302734,69.0,0.5414033532142639,0.36476683616638184,1.0390515327453613,0.0
primary,93003,1,32,sparse_drive,transition_mid,9607,93003288616,0.7909520268440247,0.5765363574028015,20.205074310302734,69.5,0.9112379550933838,0.1320027858018875,0.9264072775840759,0.0
primary,93003,1,32,transition_mid,transition_mid,9608,93003288617,0.7035672664642334,0.5251693725585938,20.304683685302734,69.5,0.8608853220939636,0.18273988366127014,0.9648627042770386,0.0
