target,state_a,state_b,n_groups,median_rho,mean_rho
choice,baseline,decision,39,0.0007444441864432685,0.0075060974904780624
choice,baseline,movement,39,0.014218737491382277,0.011437562129708524
choice,baseline,outcome,39,0.021065232973047687,0.019818726055624705
choice,baseline,visual,39,0.023892651236414084,0.027047912185047904
choice,decision,movement,39,0.06373063703240534,0.06386942717122189
choice,decision,outcome,39,0.05244760022689669,0.05115109376843946
choice,movement,outcome,39,0.5422667211735925,0.5326269205693555
choice,visual,decision,39,0.02853023778781941,0.02981155160172391
choice,visual,movement,39,0.016217643204711026,0.011684975828294919
choice,visual,outcome,39,0.005674749151932566,0.0062988371036438095
engagement,baseline,decision,38,0.10337703661367595,0.10303058566138856
engagement,baseline,movement,38,0.09640001263669337,0.0993596000069172
engagement,baseline,outcome,38,0.09486703511058187,0.09794718598456253
engagement,baseline,visual,38,0.13914511580126426,0.14727478108950193
engagement,decision,movement,38,0.17201953596384,0.1741835276542077
engagement,decision,outcome,38,0.13676747922362842,0.1529540574065981
engagement,movement,outcome,38,0.6418473471295889,0.6336286211520052
engagement,visual,decision,38,0.11131519506985596,0.12385964529745426
engagement,visual,movement,38,0.11437913885549908,0.11092081091447714
engagement,visual,outcome,38,0.10509538269725267,0.10790228450532374
outcome,baseline,decision,39,0.019347238063673118,0.02009098493309212
outcome,baseline,movement,39,0.013820348719613192,0.011166419386959054
outcome,baseline,outcome,39,0.007031955980159923,0.007916604988382136
outcome,baseline,visual,39,0.032633379854934724,0.031587359248964844
outcome,decision,movement,39,0.02638531632643154,0.025323995310040846
outcome,decision,outcome,39,0.01984859355678912,0.021548374459476397
outcome,movement,outcome,39,0.4893510063076723,0.48156310706079236
outcome,visual,decision,39,0.014263319871174171,0.018222798416198553
outcome,visual,movement,39,0.008978066652965558,0.009663103788287625
outcome,visual,outcome,39,0.013680323779873292,0.010172842922202984
