variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
matched,93006,0,32,transition_mid,transition_mid,9601,93006288619,0.46343255043029785,0.13864873349666595,68.95897674560547,67.5,0.6567712426185608,0.29437750577926636,0.30861636996269226,0.0
matched,93006,0,32,sparse_drive,transition_mid,9601,93006288619,0.20971210300922394,0.06155567243695259,68.83983612060547,74.5,0.3612325191497803,0.41945400834083557,0.30241891741752625,0.0
matched,93006,0,32,transition_mid,transition_mid,9602,93006288620,0.4370144307613373,0.13167347013950348,68.95702362060547,67.5,0.6379624009132385,0.3149840235710144,0.3109514117240906,0.0
matched,93006,0,32,sparse_drive,transition_mid,9602,93006288620,0.171429842710495,0.050760723650455475,68.84569549560547,74.5,0.30825403332710266,0.4438682496547699,0.3052416145801544,0.0
matched,93006,0,32,transition_mid,transition_mid,9603,93006288621,0.44854527711868286,0.13313397765159607,68.94725799560547,67.5,0.6455005407333374,0.3051202595233917,0.3060208857059479,0.0
matched,93006,0,32,sparse_drive,transition_mid,9603,93006288621,0.1806478649377823,0.053642578423023224,68.86913299560547,74.5,0.3264113962650299,0.44656386971473694,0.3061664402484894,0.0
matched,93006,0,32,transition_mid,transition_mid,9604,93006288622,0.4509030878543854,0.1351734846830368,68.94921112060547,67.5,0.6429019570350647,0.2986440658569336,0.3092821538448334,0.0
matched,93006,0,32,sparse_drive,transition_mid,9604,93006288622,0.1735190600156784,0.05172795057296753,68.83983612060547,74.5,0.3143630027770996,0.44802963733673096,0.3074451684951782,0.0
matched,93006,0,32,transition_mid,transition_mid,9605,93006288623,0.5041230320930481,0.14835494756698608,68.95507049560547,67.5,0.6951112747192383,0.2747592329978943,0.30324918031692505,0.0
matched,93006,0,32,sparse_drive,transition_mid,9605,93006288623,0.21808983385562897,0.0654427632689476,68.83788299560547,74.5,0.3745586574077606,0.4177418351173401,0.3095993101596832,0.0
matched,93006,0,32,transition_mid,transition_mid,9606,93006288624,0.47101515531539917,0.14159201085567474,68.95311737060547,67.5,0.6626545786857605,0.2891995906829834,0.31019043922424316,0.0
matched,93006,0,32,sparse_drive,transition_mid,9606,93006288624,0.19924376904964447,0.0589224249124527,68.83592987060547,74.5,0.34426242113113403,0.42124447226524353,0.304834246635437,0.0
