variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93010,0,32,transition_mid,transition_mid,9601,93010288631,0.4855872392654419,0.34921449422836304,20.394527435302734,69.5,0.6811864376068115,0.2871449291706085,0.9059012532234192,0.0
primary,93010,0,32,sparse_drive,transition_mid,9601,93010288631,0.4638749063014984,0.33983370661735535,20.386714935302734,69.5,0.669575035572052,0.3072099983692169,0.9343114495277405,0.0
primary,93010,0,32,transition_mid,transition_mid,9602,93010288632,0.2800256013870239,0.2115219086408615,20.376949310302734,69.5,0.44021883606910706,0.3638945519924164,0.9853355288505554,0.0
primary,93010,0,32,sparse_drive,transition_mid,9602,93010288632,0.7532650232315063,0.5519410967826843,20.388668060302734,69.5,0.8901269435882568,0.15375547111034393,0.9346005916595459,0.0
primary,93010,0,32,transition_mid,transition_mid,9603,93010288633,0.5661004781723022,0.41784071922302246,20.371089935302734,69.5,0.7419502139091492,0.2370101809501648,0.9463000893592834,0.0
primary,93010,0,32,sparse_drive,transition_mid,9603,93010288633,0.5857253670692444,0.4265470802783966,20.390621185302734,69.5,0.7616304755210876,0.23095859587192535,0.9249640703201294,0.0
primary,93010,0,32,transition_mid,transition_mid,9604,93010288634,0.7710242867469788,0.5623564124107361,20.398433685302734,69.5,0.9002954959869385,0.14358754456043243,0.9273645281791687,0.0
primary,93010,0,32,sparse_drive,transition_mid,9604,93010288634,0.20767803490161896,0.148055762052536,20.414058685302734,69.5,0.3520239591598511,0.41004571318626404,0.8930766582489014,0.0
primary,93010,0,32,transition_mid,transition_mid,9605,93010288635,0.680896520614624,0.4972339868545532,20.367183685302734,69.5,0.8375726342201233,0.18705971539020538,0.9292920231819153,0.0
primary,93010,0,32,sparse_drive,transition_mid,9605,93010288635,0.6976312398910522,0.5086625218391418,20.419919967651367,69.5,0.8493635058403015,0.17864233255386353,0.9268631935119629,0.0
primary,93010,0,32,transition_mid,transition_mid,9606,93010288636,0.26953238248825073,0.1924145519733429,20.351558685302734,69.5,0.44471505284309387,0.3939211070537567,0.8950576782226562,0.0
primary,93010,0,32,sparse_drive,transition_mid,9606,93010288636,0.4949018359184265,0.36252760887145996,20.408199310302734,69.5,0.6796979904174805,0.27187979221343994,0.9341529011726379,0.0
primary,93010,0,32,transition_mid,transition_mid,9607,93010288637,0.5139558911323547,0.3720013499259949,20.359373092651367,69.5,0.717866063117981,0.28405043482780457,0.9155809283256531,0.0
primary,93010,0,32,sparse_drive,transition_mid,9607,93010288637,0.2726682424545288,0.1940203309059143,20.410152435302734,69.5,0.43607428669929504,0.3747207224369049,0.8903406262397766,0.0
primary,93010,0,32,transition_mid,transition_mid,9608,93010288638,0.33319348096847534,0.2300107181072235,20.414060592651367,70.0,0.5342080593109131,0.3762851655483246,0.8485702276229858,0.0
primary,93010,0,32,sparse_drive,transition_mid,9608,93010288638,0.5479057431221008,0.4036027789115906,20.382808685302734,69.5,0.7316446304321289,0.2511312961578369,0.9430668354034424,0.0
primary,93010,0,32,transition_mid,sparse_drive,9601,93010288631,0.2347560077905655,0.17077015340328217,21.767574310302734,70.0,0.4042196273803711,0.4192364811897278,0.9232617020606995,0.0
primary,93010,0,32,sparse_drive,sparse_drive,9601,93010288631,0.33612537384033203,0.24680347740650177,21.740230560302734,69.5,0.5338031649589539,0.37031957507133484,0.9379092454910278,0.0
primary,93010,0,32,transition_mid,sparse_drive,9602,93010288632,0.3276035487651825,0.23828642070293427,21.789058685302734,70.0,0.5280694365501404,0.3796202838420868,0.9231032133102417,0.0
primary,93010,0,32,sparse_drive,sparse_drive,9602,93010288632,0.26729699969291687,0.1964711993932724,21.800777435302734,70.0,0.4457605183124542,0.4003573954105377,0.9395808577537537,0.0
primary,93010,0,32,transition_mid,sparse_drive,9603,93010288633,0.4836764335632324,0.34353727102279663,21.763668060302734,70.0,0.697502613067627,0.306559681892395,0.887713611125946,0.0
primary,93010,0,32,sparse_drive,sparse_drive,9603,93010288633,0.4806978106498718,0.3437715768814087,21.775386810302734,70.0,0.7010038495063782,0.3142722249031067,0.8976488709449768,0.0
primary,93010,0,32,transition_mid,sparse_drive,9604,93010288634,0.5817251205444336,0.4164080321788788,21.748043060302734,70.0,0.7749179005622864,0.24930737912654877,0.8990107178688049,0.0
primary,93010,0,32,sparse_drive,sparse_drive,9604,93010288634,0.5536134839057922,0.408417671918869,21.687496185302734,69.5,0.7530629634857178,0.26485103368759155,0.9454817175865173,0.0
