feature,n,n_unique,mean,std,min,max,zero_variance
archive_id,6357,161,191136.8939751455,33433.31934750073,17099.0,201787.0,False
axon_length,6357,38,634.1319264653807,10292.103164291162,0.0,338425.57682208985,False
axon_nodes,6357,38,251.21598238162656,3999.7350779650856,0.0,131851.0,False
bbox_dx,6357,6357,5474.950559724713,2075.0804349828823,739.0237199999997,11276.2078,False
bbox_dy,6357,6357,4099.264752645745,1188.7811437263713,413.1770499999998,7215.638,False
bbox_dz,6357,6357,4450.525269724556,2107.9147399499593,482.2151299999996,10333.57847,False
bbox_volume,6357,6357,113229726583.40222,88401560070.27632,793596592.410094,579489510488.1986,False
branch_points,6357,819,272.72471291489694,223.8268880404689,1.0,3812.0,False
cell_id,6357,198,37.5334277174768,34.185598606406714,0.0,206.0,False
dendrite_length,6357,1,0.0,0.0,0.0,0.0,True
dendrite_nodes,6357,1,0.0,0.0,0.0,0.0,True
endpoints,6357,862,281.325939908762,233.220225285339,2.0,3827.0,False
max_euclidean_radius,6357,6357,5979.90559593223,1936.4133932551167,944.0376269843564,12034.497248973244,False
max_path_length,6357,6357,10391.63347155199,3009.2792729185317,2564.362468843229,22232.81532803787,False
n_nodes,6357,6110,46854.50007865345,31079.986709737797,2001.0,261417.0,False
node_type_entropy,6357,6352,0.005571767145459832,0.005201516211270927,9.881098069653628e-05,0.1387227024313767,False
path_tortuosity_proxy,6357,6357,1.7886499191654688,0.369165599005259,1.0888127071692848,6.406066282125819,False
projection_subtype,6357,64,36.38760421582507,18.107359987480404,1.0,64.0,False
radius_gyration,6357,6357,2053.4491289812827,653.9508928121298,369.1443876530176,4084.4962164674776,False
soma_nodes,6357,2,1.0591473965707094,4.715869072672264,1.0,377.0,False
soma_x,6357,6356,3366.640203889011,872.5720847832692,1955.27003,5951.073882440318,False
soma_y,6357,6357,3096.319313072089,882.0927752536531,862.870022,5331.84582,False
soma_z,6357,6357,5331.524666674106,1245.7061060544972,1855.79024,9372.96099,False
spatial_entropy_4,6357,6357,3.939902808230497,0.475381331963427,1.239698158061621,5.125010201164883,False
spatial_entropy_6,6357,6357,4.923212427782154,0.5056757993076925,1.8174420727928755,6.211243028293685,False
total_length,6357,6357,116911.91327855912,78610.78468509462,4585.674143754543,645851.4852356066,False
