variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,12,32,transition_mid,transition_mid,9601,93001288604,0.38592329621315,0.2729259729385376,20.484371185302734,69.5,0.5980901718139648,0.35474058985710144,0.8815653324127197,0.0
primary,93001,12,32,sparse_drive,transition_mid,9601,93001288604,0.6373480558395386,0.46046456694602966,20.376949310302734,69.5,0.8097535967826843,0.21291109919548035,0.9127918481826782,0.0
primary,93001,12,32,transition_mid,transition_mid,9602,93001288605,0.23305721580982208,0.16142752766609192,20.462886810302734,69.5,0.3701907694339752,0.370440274477005,0.8530354499816895,0.0
primary,93001,12,32,sparse_drive,transition_mid,9602,93001288605,0.2461075782775879,0.1869097650051117,20.269527435302734,69.5,0.3967449367046356,0.37968313694000244,0.9949466586112976,0.0
primary,93001,12,32,transition_mid,transition_mid,9603,93001288606,0.48967859148979187,0.3668745458126068,20.447261810302734,69.5,0.6803390979766846,0.2802433371543884,0.9711631536483765,0.0
primary,93001,12,32,sparse_drive,transition_mid,9603,93001288606,0.27118119597435,0.20401261746883392,20.312496185302734,69.0,0.42565736174583435,0.36291199922561646,0.9782586097717285,0.0
primary,93001,12,32,transition_mid,transition_mid,9604,93001288607,0.7549719214439392,0.5502193570137024,20.447261810302734,69.5,0.8917752504348755,0.1534055918455124,0.9261513948440552,0.0
primary,93001,12,32,sparse_drive,transition_mid,9604,93001288607,0.3754918575286865,0.2891022562980652,20.275386810302734,69.0,0.5689224600791931,0.3399946391582489,1.020154595375061,0.0
primary,93001,12,32,transition_mid,transition_mid,9605,93001288608,0.6469841003417969,0.4684239625930786,20.449216842651367,69.5,0.8181379437446594,0.2091992348432541,0.9160250425338745,0.0
primary,93001,12,32,sparse_drive,transition_mid,9605,93001288608,0.4092877209186554,0.3061603903770447,20.349605560302734,69.5,0.6110503077507019,0.3301897943019867,0.9684723615646362,0.0
primary,93001,12,32,transition_mid,transition_mid,9606,93001288609,0.2555069029331207,0.1767294853925705,20.433589935302734,70.0,0.427162766456604,0.40185117721557617,0.8511732220649719,0.0
primary,93001,12,32,sparse_drive,transition_mid,9606,93001288609,0.4220048189163208,0.31641659140586853,20.330074310302734,69.5,0.6251166462898254,0.324918270111084,0.9724838733673096,0.0
primary,93001,12,32,transition_mid,transition_mid,9607,93001288610,0.2296617329120636,0.1590108871459961,20.457027435302734,69.5,0.38255447149276733,0.39966267347335815,0.8524935245513916,0.0
primary,93001,12,32,sparse_drive,transition_mid,9607,93001288610,0.25815021991729736,0.19323882460594177,20.365230560302734,69.5,0.4110930263996124,0.37203943729400635,0.9696531295776367,0.0
primary,93001,12,32,transition_mid,transition_mid,9608,93001288611,0.2464175671339035,0.17144833505153656,20.468746185302734,69.5,0.38539019227027893,0.36060240864753723,0.8590415716171265,0.0
primary,93001,12,32,sparse_drive,transition_mid,9608,93001288611,0.4623495638370514,0.3387227952480316,20.345701217651367,69.5,0.6564305424690247,0.2956611216068268,0.9343421459197998,0.0
primary,93001,12,32,transition_mid,sparse_drive,9601,93001288604,0.2990979552268982,0.21542686223983765,21.869136810302734,70.0,0.48232501745224,0.3798829913139343,0.9081750512123108,0.0
primary,93001,12,32,sparse_drive,sparse_drive,9601,93001288604,0.6867206692695618,0.5131149888038635,21.708980560302734,69.5,0.8485064506530762,0.19067128002643585,0.9665766954421997,0.0
primary,93001,12,32,transition_mid,sparse_drive,9602,93001288605,0.43407949805259705,0.3007722795009613,21.886714935302734,70.0,0.6595274209976196,0.3418324887752533,0.8535062670707703,0.0
primary,93001,12,32,sparse_drive,sparse_drive,9602,93001288605,0.7457832098007202,0.5524489283561707,21.683589935302734,69.5,0.8877763748168945,0.15994250774383545,0.9521689414978027,0.0
primary,93001,12,32,transition_mid,sparse_drive,9603,93001288606,0.6611148118972778,0.46435919404029846,21.882808685302734,70.0,0.8353003859519958,0.20853039622306824,0.8719985485076904,0.0
primary,93001,12,32,sparse_drive,sparse_drive,9603,93001288606,0.58086758852005,0.4360792338848114,21.693355560302734,69.5,0.7763145565986633,0.25176262855529785,0.9746436476707458,0.0
primary,93001,12,32,transition_mid,sparse_drive,9604,93001288607,0.22016260027885437,0.15962667763233185,21.802730560302734,69.5,0.37765851616859436,0.4170325994491577,0.9181898832321167,0.0
primary,93001,12,32,sparse_drive,sparse_drive,9604,93001288607,0.19150494039058685,0.14205890893936157,21.691402435302734,70.0,0.3219510316848755,0.40517371892929077,0.9544762969017029,0.0
primary,93001,12,32,transition_mid,sparse_drive,9605,93001288608,0.3064194619655609,0.2131495475769043,21.878902435302734,70.0,0.49666187167167664,0.3830421268939972,0.858751118183136,0.0
primary,93001,12,32,sparse_drive,sparse_drive,9605,93001288608,0.3684002757072449,0.27236974239349365,21.755855560302734,69.5,0.5892996191978455,0.37485066056251526,0.9490022659301758,0.0
primary,93001,12,32,transition_mid,sparse_drive,9606,93001288609,0.19922439754009247,0.143441841006279,21.882808685302734,70.0,0.34202173352241516,0.4175095558166504,0.9076479077339172,0.0
primary,93001,12,32,sparse_drive,sparse_drive,9606,93001288609,0.43102842569351196,0.3253297209739685,21.703121185302734,69.5,0.6329697966575623,0.31903788447380066,0.9839611649513245,0.0
primary,93001,12,32,transition_mid,sparse_drive,9607,93001288610,0.18668703734874725,0.13547790050506592,21.814449310302734,69.5,0.318665474653244,0.4141598343849182,0.9195728302001953,0.0
primary,93001,12,32,sparse_drive,sparse_drive,9607,93001288610,0.3693743348121643,0.26815372705459595,21.738277435302734,69.5,0.5741441249847412,0.35665225982666016,0.9201478958129883,0.0
primary,93001,12,32,transition_mid,sparse_drive,9608,93001288611,0.3172408938407898,0.22264771163463593,21.886714935302734,70.0,0.510409951210022,0.37845858931541443,0.8708887696266174,0.0
primary,93001,12,32,sparse_drive,sparse_drive,9608,93001288611,0.540884792804718,0.3987177908420563,21.708980560302734,69.5,0.7487961649894714,0.2776608467102051,0.9442271590232849,0.0
