variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,11,32,transition_mid,transition_mid,9601,93003288610,0.7194989919662476,0.5288124680519104,20.298824310302734,69.5,0.8706210851669312,0.1735796183347702,0.9394581913948059,0.0
primary,93003,11,32,sparse_drive,transition_mid,9601,93003288610,0.23857244849205017,0.18546131253242493,20.167964935302734,69.5,0.38804295659065247,0.38519060611724854,1.0387130975723267,0.0
primary,93003,11,32,transition_mid,transition_mid,9602,93003288611,0.47784438729286194,0.34253445267677307,20.310543060302734,69.5,0.6933102011680603,0.31077840924263,0.9010990858078003,0.0
primary,93003,11,32,sparse_drive,transition_mid,9602,93003288611,0.6805092096328735,0.5202971696853638,20.292964935302734,69.5,0.846270740032196,0.19587288796901703,1.0071251392364502,0.0
primary,93003,11,32,transition_mid,transition_mid,9603,93003288612,0.6023439764976501,0.4453737139701843,20.300777435302734,69.5,0.7956111431121826,0.24291656911373138,0.9491567015647888,0.0
primary,93003,11,32,sparse_drive,transition_mid,9603,93003288612,0.6330621838569641,0.4726921617984772,20.304683685302734,69.5,0.8188627362251282,0.22690072655677795,0.9653996825218201,0.0
primary,93003,11,32,transition_mid,transition_mid,9604,93003288613,0.36605995893478394,0.25228744745254517,20.373043060302734,70.0,0.5727783441543579,0.3609046936035156,0.8464248180389404,0.0
primary,93003,11,32,sparse_drive,transition_mid,9604,93003288613,0.4905996322631836,0.36966341733932495,20.271480560302734,69.5,0.7054239511489868,0.3045322299003601,0.9809874892234802,0.0
primary,93003,11,32,transition_mid,transition_mid,9605,93003288614,0.7750715613365173,0.5709346532821655,20.275386810302734,69.5,0.9020099639892578,0.14072835445404053,0.9430530667304993,0.0
primary,93003,11,32,sparse_drive,transition_mid,9605,93003288614,0.6879489421844482,0.5038126111030579,20.302730560302734,69.5,0.8511170148849487,0.19171051681041718,0.9337555766105652,0.0
primary,93003,11,32,transition_mid,transition_mid,9606,93003288615,0.6403605937957764,0.4638756513595581,20.261714935302734,69.5,0.8228148221969604,0.22174394130706787,0.916836678981781,0.0
primary,93003,11,32,sparse_drive,transition_mid,9606,93003288615,0.5939605832099915,0.43446603417396545,20.275386810302734,69.5,0.7770574688911438,0.23562845587730408,0.9318877458572388,0.0
primary,93003,11,32,transition_mid,transition_mid,9607,93003288616,0.23137851059436798,0.16467434167861938,20.326168060302734,69.5,0.3815673589706421,0.39361029863357544,0.8906401991844177,0.0
