variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93006,0,32,transition_mid,transition_mid,9601,93006288619,0.37014931440353394,0.28462934494018555,20.318355560302734,69.5,0.5771468877792358,0.358656644821167,1.0177736282348633,0.0
primary,93006,0,32,sparse_drive,transition_mid,9601,93006288619,0.6282169222831726,0.46346625685691833,20.253902435302734,69.5,0.8075242638587952,0.22204576432704926,0.9455212950706482,0.0
primary,93006,0,32,transition_mid,transition_mid,9602,93006288620,0.6855002641677856,0.506949782371521,20.365230560302734,69.5,0.8514546751976013,0.19490687549114227,0.949446976184845,0.0
primary,93006,0,32,sparse_drive,transition_mid,9602,93006288620,0.41906699538230896,0.308001309633255,20.244136810302734,69.5,0.6241093277931213,0.32853588461875916,0.9394492506980896,0.0
primary,93006,0,32,transition_mid,transition_mid,9603,93006288621,0.5687728524208069,0.4400158226490021,20.355464935302734,69.5,0.7636194229125977,0.255161851644516,1.0292892456054688,0.0
primary,93006,0,32,sparse_drive,transition_mid,9603,93006288621,0.5422170162200928,0.39765501022338867,20.300777435302734,69.5,0.737320601940155,0.2646115720272064,0.9360175728797913,0.0
primary,93006,0,32,transition_mid,transition_mid,9604,93006288622,0.6454068422317505,0.4922275245189667,20.382808685302734,69.5,0.8227002024650574,0.21550175547599792,1.0025485754013062,0.0
primary,93006,0,32,sparse_drive,transition_mid,9604,93006288622,0.6997512578964233,0.5093667507171631,20.296871185302734,69.5,0.8542397022247314,0.1808491051197052,0.9243004322052002,0.0
primary,93006,0,32,transition_mid,transition_mid,9605,93006288623,0.7487727403640747,0.5719918012619019,20.361324310302734,69.5,0.8878218531608582,0.15661820769309998,1.005527377128601,0.0
primary,93006,0,32,sparse_drive,transition_mid,9605,93006288623,0.47338858246803284,0.3558200001716614,20.267574310302734,69.5,0.6863211393356323,0.3102521002292633,0.9767251014709473,0.0
primary,93006,0,32,transition_mid,transition_mid,9606,93006288624,0.5960249304771423,0.44769302010536194,20.380855560302734,69.5,0.7876028418540955,0.2432418167591095,0.9755460619926453,0.0
primary,93006,0,32,sparse_drive,transition_mid,9606,93006288624,0.6097630858421326,0.44168177247047424,20.259761810302734,69.5,0.7947454452514648,0.23275670409202576,0.9167363047599792,0.0
primary,93006,0,32,transition_mid,transition_mid,9607,93006288625,0.6368549466133118,0.484514057636261,20.328121185302734,69.5,0.8103010654449463,0.21405147016048431,0.9980923533439636,0.0
primary,93006,0,32,sparse_drive,transition_mid,9607,93006288625,0.348720520734787,0.24396473169326782,20.283199310302734,70.0,0.5634148716926575,0.38105908036231995,0.8665157556533813,0.0
primary,93006,0,32,transition_mid,transition_mid,9608,93006288626,0.6149532198905945,0.46010956168174744,20.371089935302734,69.5,0.7952932715415955,0.22675922513008118,0.9688592553138733,0.0
