variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,8,32,transition_mid,transition_mid,9601,93002288607,0.509627103805542,0.38955938816070557,20.220699310302734,69.5,0.7205527424812317,0.29272758960723877,1.0067172050476074,0.0
primary,93002,8,32,sparse_drive,transition_mid,9601,93002288607,0.681750476360321,0.46904659271240234,20.304683685302734,69.5,0.8476779460906982,0.19574350118637085,0.8441545367240906,0.0
primary,93002,8,32,transition_mid,transition_mid,9602,93002288608,0.3463441729545593,0.2633911073207855,20.212886810302734,69.0,0.542022168636322,0.3610147535800934,0.9973748326301575,0.0
primary,93002,8,32,sparse_drive,transition_mid,9602,93002288608,0.4517826735973358,0.31827542185783386,20.294919967651367,69.5,0.6402014493942261,0.2943117022514343,0.8761550188064575,0.0
primary,93002,8,32,transition_mid,transition_mid,9603,93002288609,0.38376691937446594,0.29282838106155396,20.275386810302734,69.5,0.5850887894630432,0.34408774971961975,1.0034446716308594,0.0
primary,93002,8,32,sparse_drive,transition_mid,9603,93002288609,0.553268313407898,0.39891940355300903,20.249996185302734,69.5,0.7513380646705627,0.2636227011680603,0.9097731709480286,0.0
primary,93002,8,32,transition_mid,transition_mid,9604,93002288610,0.53997403383255,0.4150334894657135,20.183591842651367,69.0,0.7324831485748291,0.2628171741962433,1.0169405937194824,0.0
primary,93002,8,32,sparse_drive,transition_mid,9604,93002288610,0.6432706117630005,0.4381463825702667,20.285152435302734,69.5,0.823875904083252,0.21921423077583313,0.8312058448791504,0.0
primary,93002,8,32,transition_mid,transition_mid,9605,93002288611,0.6942576169967651,0.5153254866600037,20.269527435302734,69.5,0.8511807918548584,0.1843593567609787,0.9555122256278992,0.0
primary,93002,8,32,sparse_drive,transition_mid,9605,93002288611,0.42912355065345764,0.3022764027118683,20.259763717651367,69.5,0.6324632167816162,0.3215043246746063,0.8759887218475342,0.0
primary,93002,8,32,transition_mid,transition_mid,9606,93002288612,0.7243708372116089,0.5314096808433533,20.300777435302734,69.5,0.8749523758888245,0.17210258543491364,0.9365118741989136,0.0
primary,93002,8,32,sparse_drive,transition_mid,9606,93002288612,0.31954047083854675,0.21390606462955475,20.289060592651367,70.0,0.5160560011863708,0.3808027505874634,0.8096873164176941,0.0
primary,93002,8,32,transition_mid,transition_mid,9607,93002288613,0.5558648705482483,0.4152546226978302,20.292964935302734,69.5,0.7437966465950012,0.2526654899120331,0.9662289619445801,0.0
primary,93002,8,32,sparse_drive,transition_mid,9607,93002288613,0.7232759594917297,0.5054562091827393,20.273435592651367,69.5,0.8745022416114807,0.17292837798595428,0.8650351762771606,0.0
primary,93002,8,32,transition_mid,transition_mid,9608,93002288614,0.24700579047203064,0.19120557606220245,20.207027435302734,69.5,0.3972935676574707,0.378278911113739,1.0304619073867798,0.0
primary,93002,8,32,sparse_drive,transition_mid,9608,93002288614,0.6099737882614136,0.4273435175418854,20.289058685302734,69.5,0.7927311658859253,0.23054139316082,0.8684646487236023,0.0
primary,93002,8,32,transition_mid,sparse_drive,9601,93002288607,0.5911213159561157,0.4342227578163147,21.587886810302734,69.5,0.7793117761611938,0.24148288369178772,0.9385919570922852,0.0
primary,93002,8,32,sparse_drive,sparse_drive,9601,93002288607,0.5255106687545776,0.3805444538593292,21.542964935302734,69.5,0.7170982956886292,0.26717063784599304,0.9162997007369995,0.0
primary,93002,8,32,transition_mid,sparse_drive,9602,93002288608,0.6517822742462158,0.48176780343055725,21.644527435302734,69.5,0.8196552991867065,0.20480932295322418,0.9486131072044373,0.0
primary,93002,8,32,sparse_drive,sparse_drive,9602,93002288608,0.2815414071083069,0.1977076381444931,21.578121185302734,69.5,0.4725744128227234,0.4042389988899231,0.8716922998428345,0.0
primary,93002,8,32,transition_mid,sparse_drive,9603,93002288609,0.31434595584869385,0.2231834977865219,21.673824310302734,70.0,0.5092455148696899,0.3827221989631653,0.8871702551841736,0.0
primary,93002,8,32,sparse_drive,sparse_drive,9603,93002288609,0.37628868222236633,0.26534974575042725,21.562496185302734,69.5,0.5956306457519531,0.36825162172317505,0.8775225877761841,0.0
primary,93002,8,32,transition_mid,sparse_drive,9604,93002288610,0.23725594580173492,0.1709466427564621,21.654293060302734,69.5,0.3947971761226654,0.399043470621109,0.90871661901474,0.0
primary,93002,8,32,sparse_drive,sparse_drive,9604,93002288610,0.49982041120529175,0.34398284554481506,21.632808685302734,70.0,0.7137672901153564,0.2997431755065918,0.8445525169372559,0.0
primary,93002,8,32,transition_mid,sparse_drive,9605,93002288611,0.5550500154495239,0.4175148010253906,21.615230560302734,69.5,0.7483474016189575,0.25829899311065674,0.978028416633606,0.0
primary,93002,8,32,sparse_drive,sparse_drive,9605,93002288611,0.732097864151001,0.5295136570930481,21.550777435302734,69.5,0.8795956373214722,0.16768817603588104,0.9144945740699768,0.0
primary,93002,8,32,transition_mid,sparse_drive,9606,93002288612,0.45234233140945435,0.32080668210983276,21.697261810302734,70.0,0.6692675948143005,0.32412341237068176,0.8855969309806824,0.0
primary,93002,8,32,sparse_drive,sparse_drive,9606,93002288612,0.6611118316650391,0.48422372341156006,21.582027435302734,69.5,0.8234921097755432,0.1971849650144577,0.9339678287506104,0.0
primary,93002,8,32,transition_mid,sparse_drive,9607,93002288613,0.5482932925224304,0.3997170329093933,21.621089935302734,69.5,0.7359294295310974,0.25496482849121094,0.9266334176063538,0.0
primary,93002,8,32,sparse_drive,sparse_drive,9607,93002288613,0.4324336349964142,0.308533638715744,21.564449310302734,69.5,0.6468904614448547,0.33151954412460327,0.8942409157752991,0.0
primary,93002,8,32,transition_mid,sparse_drive,9608,93002288614,0.5729293823242188,0.42508944869041443,21.626949310302734,69.5,0.7682783603668213,0.25426849722862244,0.9548210501670837,0.0
primary,93002,8,32,sparse_drive,sparse_drive,9608,93002288614,0.5186277031898499,0.3737226724624634,21.564449310302734,69.5,0.7156384587287903,0.2752937078475952,0.9088900685310364,0.0
