variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,3,32,transition_mid,transition_mid,9601,93003288610,0.33158525824546814,0.23964156210422516,20.230464935302734,69.5,0.5258587002754211,0.36944037675857544,0.9133050441741943,0.0
primary,93003,3,32,sparse_drive,transition_mid,9601,93003288610,0.724052906036377,0.5313124060630798,20.240230560302734,69.5,0.8755379915237427,0.1730194389820099,0.9369185566902161,0.0
primary,93003,3,32,transition_mid,transition_mid,9602,93003288611,0.6483128666877747,0.4899691641330719,20.195308685302734,69.5,0.8076204657554626,0.19725555181503296,0.9862536787986755,0.0
primary,93003,3,32,sparse_drive,transition_mid,9602,93003288611,0.3091926574707031,0.21793176233768463,20.271480560302734,69.5,0.5061335563659668,0.3891085684299469,0.8768570423126221,0.0
primary,93003,3,32,transition_mid,transition_mid,9603,93003288612,0.669884979724884,0.50531405210495,20.236324310302734,69.5,0.8409469723701477,0.20341593027114868,0.9829254746437073,0.0
primary,93003,3,32,sparse_drive,transition_mid,9603,93003288612,0.4241698980331421,0.29729971289634705,20.304683685302734,70.0,0.6455826163291931,0.342965692281723,0.8690628409385681,0.0
primary,93003,3,32,transition_mid,transition_mid,9604,93003288613,0.575961172580719,0.42704522609710693,20.234371185302734,69.5,0.7710088491439819,0.2529772222042084,0.9536875486373901,0.0
primary,93003,3,32,sparse_drive,transition_mid,9604,93003288613,0.5654390454292297,0.41714179515838623,20.222652435302734,69.5,0.7356618046760559,0.23138725757598877,0.9454819560050964,0.0
primary,93003,3,32,transition_mid,transition_mid,9605,93003288614,0.5648508667945862,0.41724592447280884,20.203121185302734,69.5,0.7507649660110474,0.24763286113739014,0.9475752711296082,0.0
primary,93003,3,32,sparse_drive,transition_mid,9605,93003288614,0.3273712694644928,0.22765031456947327,20.226558685302734,69.5,0.5261310338973999,0.3777761459350586,0.8583155870437622,0.0
primary,93003,3,32,transition_mid,transition_mid,9606,93003288615,0.45523813366889954,0.33988773822784424,20.218746185302734,69.5,0.6545043587684631,0.304453581571579,0.9652630686759949,0.0
primary,93003,3,32,sparse_drive,transition_mid,9606,93003288615,0.3158746659755707,0.22860920429229736,20.246089935302734,69.5,0.5139254927635193,0.3853687644004822,0.9154418706893921,0.0
primary,93003,3,32,transition_mid,transition_mid,9607,93003288616,0.44494032859802246,0.3275531530380249,20.218746185302734,69.5,0.6423786878585815,0.3073551058769226,0.9420729279518127,0.0
