definition,score_col,family,endpoint,n,n_experiments,beta_after_identity,se_after_identity,p_after_identity,effect_scale,odds_ratio,delta_before,delta_after,fold_local_increment_after,fold_local_metric,q_within_definition_descriptive,absorption_fraction
primary_shared,C_primary_shared,measured_stp,paired_pulse_ratio_50hz,602,310,0.0093885761382714,0.0530433626118944,0.8596258151334559,standardized_beta,,0.0219767311058637,3.5051985696199495e-05,-0.0066123926622179,delta_cv_r2,0.9918759405386032,0.9984050409714097
primary_shared,C_primary_shared,measured_stp,stp_recovery_250ms,558,293,-0.0865181924448156,0.0649506844749797,0.1838792825819888,standardized_beta,,0.0342936887827663,0.002942453019995,-0.0040621640517515,delta_cv_r2,0.7367431428829595,0.9141984101321384
primary_shared,C_primary_shared,strength,psp_amplitude,611,314,0.0025754032069116,0.0482570104041075,0.9574723659126496,standardized_beta,,0.0404855904138409,2.666446716537152e-06,-0.0029116549251656,delta_cv_r2,0.9960420394036552,0.9999341383764129
primary_shared,C_primary_shared,measured_stp,stp_recovery_single_250ms,560,295,0.0003337492261758,0.0672229822026337,0.9960420394036552,standardized_beta,,0.0413573566028628,4.3836613894399086e-08,-0.007279642118716,delta_cv_r2,0.9960420394036552,0.9999989400528105
primary_shared,C_primary_shared,measured_stp,stp_initial_50hz,602,310,0.0371391616676829,0.0546315985495669,0.4971331023305794,standardized_beta,,0.0474026828186674,0.0005485009109452,-0.0025813517341357,delta_cv_r2,0.9918759405386032,0.9884289057426683
primary_shared,C_primary_shared,strength,psc_amplitude,549,288,-0.0808376115533582,0.0624373939168466,0.1964648381021225,standardized_beta,,0.0576095206173031,0.002586084715779,0.0032244782355402,delta_cv_r2,0.7367431428829595,0.9551101156880263
primary_shared,C_primary_shared,measured_stp,variability_stp_induced_state_50hz,445,257,-0.0456281424733168,0.0690448262781779,0.5093039845823952,standardized_beta,,0.0674063950432862,0.0007653608430473,0.0028422383479604,delta_cv_r2,0.9918759405386032,0.9886455752075777
primary_shared,C_primary_shared,measured_stp,stp_induction_50hz,593,308,0.0088362860808265,0.0460743817378318,0.8480389235790257,standardized_beta,,0.0888158632820581,3.123909988533846e-05,-0.0011117143562866,delta_cv_r2,0.9918759405386032,0.9996482711676614
primary_shared,C_primary_shared,measured_stp,variability_second_pulse_50hz,419,256,0.1237482083548839,0.0612303245369195,0.0443218107694718,standardized_beta,,0.108620802715349,0.0055668762841145,0.0012401654658161,delta_cv_r2,0.3324135807710386,0.9487494462851372
primary_shared,C_primary_shared,measured_stp,variability_resting_state,450,256,0.0134456343071083,0.0591378379801831,0.8203252706701545,standardized_beta,,0.1251675234000596,6.891243545326109e-05,-0.002688178691757,delta_cv_r2,0.9918759405386032,0.9994494383720208
