definition,score_col,family,endpoint,n,n_experiments,beta_after_identity,se_after_identity,p_after_identity,effect_scale,odds_ratio,delta_before,delta_after,fold_local_increment_after,fold_local_metric,q_within_definition_descriptive,absorption_fraction
protocol_conservative,C_protocol_conservative,measured_stp,paired_pulse_ratio_50hz,642,335,0.0812522801835052,0.0452604102737858,0.0735229863018648,standardized_beta,,0.006690339913919,0.0039321577514357,0.0017300330837806,delta_cv_r2,0.5514223972639862,0.4122633824247116
protocol_conservative,C_protocol_conservative,measured_stp,stp_recovery_single_250ms,597,318,-0.0372341565996263,0.0484720714483553,0.4429658110667807,standardized_beta,,0.0166862255814383,0.0008125404908464,-0.002643869934223,delta_cv_r2,0.7382763517779678,0.9513047161635962
protocol_conservative,C_protocol_conservative,measured_stp,stp_recovery_250ms,594,316,-0.0628251489165988,0.0449082015979906,0.1628063537949609,standardized_beta,,0.0172857764614862,0.0023114613311659,0.0037456880142554,delta_cv_r2,0.7382763517779678,0.866279577529191
protocol_conservative,C_protocol_conservative,strength,psp_amplitude,651,339,0.0410504760113036,0.0385944815330814,0.2882529649370631,standardized_beta,,0.017716211316339,0.0010076299271447,-0.0018859742751399,delta_cv_r2,0.7382763517779678,0.9431238480309049
protocol_conservative,C_protocol_conservative,measured_stp,stp_initial_50hz,642,335,0.0082065908933967,0.044010587026721,0.8521905350698482,standardized_beta,,0.0214857374920655,4.011302236928138e-05,-0.0002374771416405,delta_cv_r2,0.9832967712344404,0.9981330395391783
protocol_conservative,C_protocol_conservative,strength,psc_amplitude,582,312,-0.0008922371456172,0.0506276492356784,0.985950497848772,standardized_beta,,0.0332090711151066,4.6769654993283893e-07,-0.0015405120773044,delta_cv_r2,0.985950497848772,0.9999859166024755
protocol_conservative,C_protocol_conservative,measured_stp,variability_stp_induced_state_50hz,482,280,-0.0424596799060532,0.0480673691474676,0.3778147839911107,standardized_beta,,0.0418354768793561,0.0009987449375736,0.0011324485869391,delta_cv_r2,0.7382763517779678,0.9761268422861833
protocol_conservative,C_protocol_conservative,measured_stp,stp_induction_50hz,632,333,-0.009314774083089,0.0399920920260072,0.8159706270537166,standardized_beta,,0.0423180583739191,5.175264009227298e-05,-0.0024579859055895,delta_cv_r2,0.9832967712344404,0.9987770554207618
protocol_conservative,C_protocol_conservative,measured_stp,variability_second_pulse_50hz,459,276,0.0257645051977849,0.0471585858258802,0.5852769141663277,standardized_beta,,0.0576550057109898,0.0003774786359793,-0.0055648804778414,delta_cv_r2,0.7981048829540832,0.9934528037709075
protocol_conservative,C_protocol_conservative,measured_stp,variability_resting_state,484,277,-0.0506857437208853,0.0427757792560844,0.2370695863820879,standardized_beta,,0.0594288170718466,0.001466060045332,0.0005403391632943,delta_cv_r2,0.7382763517779678,0.9753308223591326
