variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,8,32,transition_mid,transition_mid,9601,93001288604,0.48095884919166565,0.35751548409461975,20.414058685302734,69.5,0.6842038631439209,0.2970532774925232,0.9579007029533386,0.0
primary,93001,8,32,sparse_drive,transition_mid,9601,93001288604,0.4063664376735687,0.302573025226593,20.466793060302734,69.5,0.6170051097869873,0.34138888120651245,0.9606837034225464,0.0
primary,93001,8,32,transition_mid,transition_mid,9602,93001288605,0.21519726514816284,0.14979954063892365,20.439449310302734,69.5,0.3664246201515198,0.41271069645881653,0.8597005605697632,0.0
primary,93001,8,32,sparse_drive,transition_mid,9602,93001288605,0.5490334630012512,0.4100341498851776,20.455074310302734,69.5,0.7451770305633545,0.2632174789905548,0.9657463431358337,0.0
primary,93001,8,32,transition_mid,transition_mid,9603,93001288606,0.5272036194801331,0.3969830572605133,20.400386810302734,69.5,0.7214323282241821,0.2692265808582306,0.9798421263694763,0.0
primary,93001,8,32,sparse_drive,transition_mid,9603,93001288606,0.592648446559906,0.4427986741065979,20.458980560302734,69.5,0.7817665338516235,0.24191124737262726,0.9664775729179382,0.0
primary,93001,8,32,transition_mid,transition_mid,9604,93001288607,0.623572051525116,0.47429245710372925,20.388669967651367,69.5,0.8064051270484924,0.22672604024410248,0.9976506233215332,0.0
primary,93001,8,32,sparse_drive,transition_mid,9604,93001288607,0.6563699841499329,0.4745803475379944,20.474605560302734,69.5,0.8324394226074219,0.21151024103164673,0.9139816164970398,0.0
primary,93001,8,32,transition_mid,transition_mid,9605,93001288608,0.7513032555580139,0.5628209710121155,20.414058685302734,69.5,0.8890935182571411,0.15497834980487823,0.9709609150886536,0.0
primary,93001,8,32,sparse_drive,transition_mid,9605,93001288608,0.262245237827301,0.19897355139255524,20.429683685302734,69.0,0.41440168023109436,0.36717140674591064,0.9932172894477844,0.0
primary,93001,8,32,transition_mid,transition_mid,9606,93001288609,0.3807024657726288,0.28792309761047363,20.359371185302734,69.5,0.5866209268569946,0.3510247766971588,0.9874999523162842,0.0
primary,93001,8,32,sparse_drive,transition_mid,9606,93001288609,0.40687891840934753,0.30269137024879456,20.447261810302734,69.5,0.6013622879981995,0.3234046399593353,0.9592333436012268,0.0
primary,93001,8,32,transition_mid,transition_mid,9607,93001288610,0.7036583423614502,0.5151342153549194,20.414058685302734,69.5,0.8529857993125916,0.17506439983844757,0.9331949949264526,0.0
