variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,5,32,transition_mid,transition_mid,9601,93003288610,0.7422087788581848,0.5523789525032043,20.214839935302734,69.5,0.8821918964385986,0.15867650508880615,0.9599096775054932,0.0
primary,93003,5,32,sparse_drive,transition_mid,9601,93003288610,0.2669769823551178,0.2034287005662918,20.234371185302734,69.0,0.417772501707077,0.3609512746334076,1.0008978843688965,0.0
primary,93003,5,32,transition_mid,transition_mid,9602,93003288611,0.8076354265213013,0.6016752123832703,20.230464935302734,69.5,0.9194349050521851,0.12159586697816849,0.9615865349769592,0.0
primary,93003,5,32,sparse_drive,transition_mid,9602,93003288611,0.6546410322189331,0.47553905844688416,20.332027435302734,69.5,0.8260762691497803,0.20752957463264465,0.9210883975028992,0.0
primary,93003,5,32,transition_mid,transition_mid,9603,93003288612,0.6289664506912231,0.47489455342292786,20.230464935302734,69.5,0.8052735328674316,0.2189406454563141,0.9845750331878662,0.0
primary,93003,5,32,sparse_drive,transition_mid,9603,93003288612,0.3556625247001648,0.2692561149597168,20.271480560302734,69.5,0.5480859279632568,0.35108253359794617,0.9892798066139221,0.0
primary,93003,5,32,transition_mid,transition_mid,9604,93003288613,0.4107019901275635,0.31231045722961426,20.230464935302734,69.5,0.6066972017288208,0.3230527639389038,0.9972357749938965,0.0
primary,93003,5,32,sparse_drive,transition_mid,9604,93003288613,0.28073278069496155,0.2095780372619629,20.308589935302734,69.5,0.4538930058479309,0.38150015473365784,0.9650912880897522,0.0
primary,93003,5,32,transition_mid,transition_mid,9605,93003288614,0.6882055997848511,0.509198009967804,20.201168060302734,69.5,0.8469530344009399,0.1874336302280426,0.9502412676811218,0.0
primary,93003,5,32,sparse_drive,transition_mid,9605,93003288614,0.41505900025367737,0.31807032227516174,20.244136810302734,69.0,0.6251415610313416,0.33605602383613586,1.0113638639450073,0.0
primary,93003,5,32,transition_mid,transition_mid,9606,93003288615,0.7296383380889893,0.5463205575942993,20.187496185302734,69.5,0.8754255771636963,0.16653302311897278,0.9701160192489624,0.0
primary,93003,5,32,sparse_drive,transition_mid,9606,93003288615,0.44478464126586914,0.32950273156166077,20.335935592651367,69.5,0.6527106761932373,0.3185577094554901,0.9522813558578491,0.0
