variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,14,32,transition_mid,transition_mid,9601,93001288604,0.6953052282333374,0.5047230124473572,20.392574310302734,69.5,0.8587835431098938,0.19036032259464264,0.9200083613395691,0.0
primary,93001,14,32,sparse_drive,transition_mid,9601,93001288604,0.27901357412338257,0.20931200683116913,20.240230560302734,69.5,0.46228328347206116,0.3964446187019348,0.9733796119689941,0.0
primary,93001,14,32,transition_mid,transition_mid,9602,93001288605,0.6695311069488525,0.49471718072891235,20.378902435302734,69.5,0.831656813621521,0.19494302570819855,0.9480544328689575,0.0
primary,93001,14,32,sparse_drive,transition_mid,9602,93001288605,0.24736084043979645,0.18763825297355652,20.222652435302734,69.5,0.39886537194252014,0.379838764667511,0.9928168654441833,0.0
primary,93001,14,32,transition_mid,transition_mid,9603,93001288606,0.6111283898353577,0.4264363944530487,20.435543060302734,70.0,0.8045346736907959,0.240395188331604,0.8629710078239441,0.0
primary,93001,14,32,sparse_drive,transition_mid,9603,93001288606,0.3084559440612793,0.23402036726474762,20.216793060302734,69.0,0.49308091402053833,0.3744313716888428,0.9931051135063171,0.0
primary,93001,14,32,transition_mid,transition_mid,9604,93001288607,0.6679772734642029,0.46437370777130127,20.380855560302734,69.5,0.8423829078674316,0.20703838765621185,0.8579382300376892,0.0
primary,93001,14,32,sparse_drive,transition_mid,9604,93001288607,0.4243417978286743,0.3276492655277252,20.236324310302734,69.0,0.6232480406761169,0.3191446363925934,1.0255941152572632,0.0
primary,93001,14,32,transition_mid,transition_mid,9605,93001288608,0.3571813702583313,0.26251131296157837,20.402339935302734,69.5,0.5344781279563904,0.33171942830085754,0.9394130110740662,0.0
primary,93001,14,32,sparse_drive,transition_mid,9605,93001288608,0.27981138229370117,0.211360365152359,20.246091842651367,69.5,0.4485892355442047,0.37624141573905945,0.9853377938270569,0.0
