variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,5,32,transition_mid,transition_mid,9601,93002288607,0.48528677225112915,0.3616127073764801,20.185543060302734,69.5,0.6858072280883789,0.29238608479499817,0.9619662165641785,0.0
primary,93002,5,32,sparse_drive,transition_mid,9601,93002288607,0.26649829745292664,0.19592031836509705,20.232418060302734,69.5,0.418918251991272,0.3638417720794678,0.939876139163971,0.0
primary,93002,5,32,transition_mid,transition_mid,9602,93002288608,0.3002723753452301,0.23227344453334808,20.144527435302734,69.0,0.48140642046928406,0.3762601315975189,1.0290886163711548,0.0
primary,93002,5,32,sparse_drive,transition_mid,9602,93002288608,0.5685016512870789,0.41154229640960693,20.253902435302734,69.5,0.7604557871818542,0.2524198293685913,0.9158052206039429,0.0
primary,93002,5,32,transition_mid,transition_mid,9603,93002288609,0.5458961129188538,0.40523561835289,20.197263717651367,69.5,0.7470871806144714,0.269300639629364,0.9556517004966736,0.0
primary,93002,5,32,sparse_drive,transition_mid,9603,93002288609,0.2743818163871765,0.2030564546585083,20.224605560302734,69.5,0.45039480924606323,0.39079710841178894,0.9505913257598877,0.0
primary,93002,5,32,transition_mid,transition_mid,9604,93002288610,0.26555266976356506,0.20145848393440247,20.146480560302734,69.0,0.43611401319503784,0.39109352231025696,0.9929997324943542,0.0
primary,93002,5,32,sparse_drive,transition_mid,9604,93002288610,0.2689885199069977,0.20249152183532715,20.226558685302734,69.0,0.4321975111961365,0.377625972032547,0.9793599843978882,0.0
primary,93002,5,32,transition_mid,transition_mid,9605,93002288611,0.2692253589630127,0.19949354231357574,20.164058685302734,69.5,0.436427503824234,0.3831155598163605,0.9526731371879578,0.0
primary,93002,5,32,sparse_drive,transition_mid,9605,93002288611,0.31301626563072205,0.22855520248413086,20.265621185302734,69.5,0.4921018183231354,0.36391976475715637,0.929092288017273,0.0
primary,93002,5,32,transition_mid,transition_mid,9606,93002288612,0.5192528963088989,0.39301735162734985,20.205074310302734,69.5,0.7262089848518372,0.2849814295768738,0.9888933300971985,0.0
primary,93002,5,32,sparse_drive,transition_mid,9606,93002288612,0.47033196687698364,0.3418990969657898,20.244136810302734,69.5,0.6811907887458801,0.30954447388648987,0.9221894145011902,0.0
primary,93002,5,32,transition_mid,transition_mid,9607,93002288613,0.515960693359375,0.40425997972488403,20.123043060302734,69.0,0.7187169194221497,0.2821086049079895,1.054395318031311,0.0
primary,93002,5,32,sparse_drive,transition_mid,9607,93002288613,0.5701038241386414,0.41182228922843933,20.253904342651367,69.5,0.7681744694709778,0.25784584879875183,0.9125704169273376,0.0
primary,93002,5,32,transition_mid,transition_mid,9608,93002288614,0.5337949991226196,0.4144870936870575,20.148433685302734,69.0,0.7385479807853699,0.2772372364997864,1.0364723205566406,0.0
primary,93002,5,32,sparse_drive,transition_mid,9608,93002288614,0.26858922839164734,0.20085011422634125,20.216793060302734,69.0,0.4308595061302185,0.37661996483802795,0.9679375886917114,0.0
primary,93002,5,32,transition_mid,sparse_drive,9601,93002288607,0.19895192980766296,0.13998737931251526,21.626949310302734,69.5,0.36094847321510315,0.4488079249858856,0.8744423985481262,0.0
primary,93002,5,32,sparse_drive,sparse_drive,9601,93002288607,0.5001962184906006,0.35838305950164795,21.564449310302734,69.5,0.7175229787826538,0.3028847277164459,0.9003843069076538,0.0
