subject,C,rho_cross
619293,0.25,0.1840744173978252
619293,1.0,0.188325665424004
619293,4.0,0.1909260106695967
619293,0.25,0.1953239059097491
619293,1.0,0.1959355776981497
619293,4.0,0.1971407076742081
619293,0.25,0.2152179982998696
619293,1.0,0.2182616858792738
619293,4.0,0.2194359259303493
619293,0.25,0.2401511679341312
619293,1.0,0.2446600059199528
619293,4.0,0.2468740207852882
619293,0.25,0.2025469876087438
619293,1.0,0.2049059875375368
619293,4.0,0.2074603471465429
619293,0.25,0.2265619916486786
619293,1.0,0.2314374712684682
619293,4.0,0.234128741828709
619293,0.25,0.2178490680251451
619293,1.0,0.2230750811558385
619293,4.0,0.2266936795471905
619293,0.25,0.2137822483754833
619293,1.0,0.2162594233832856
619293,4.0,0.2172175618094012
619293,0.25,0.1800335692253351
619293,1.0,0.1828534569018108
619293,4.0,0.1845047747561179
619293,0.25,0.2006701835886993
619293,1.0,0.1992332341274515
619293,4.0,0.1981681983377101
619293,0.25,0.2221040079041093
619293,1.0,0.2261831693766192
619293,4.0,0.2280205801262615
619293,0.25,0.2296641132855494
619293,1.0,0.2355941725621277
619293,4.0,0.239995790894119
619296,0.25,0.1735147320793409
619296,1.0,0.168702507057733
619296,4.0,0.1662366368037217
619296,0.25,0.1374587563734736
619296,1.0,0.1437882005933758
619296,4.0,0.1448214033279408
619296,0.25,0.1677215719629512
619296,1.0,0.1693201351696548
619296,4.0,0.167949181324475
619296,0.25,0.1542130207466889
619296,1.0,0.151968377528179
619296,4.0,0.1500235630857412
619296,0.25,0.118270004936919
619296,1.0,0.1233295375531456
619296,4.0,0.1264820774272215
619296,0.25,0.1166843171972585
619296,1.0,0.1129669592857383
619296,4.0,0.110390298019778
619296,0.25,0.1379742116422613
619296,1.0,0.1367324273259554
619296,4.0,0.1350411485727786
619296,0.25,0.1598644083833829
619296,1.0,0.1592409999667577
619296,4.0,0.1594864910933301
619296,0.25,0.1485003288563634
619296,1.0,0.1447516405146763
619296,4.0,0.1423848193683865
619296,0.25,0.1505115092962624
619296,1.0,0.1466037952062487
619296,4.0,0.1450321546511917
619296,0.25,0.1471379613432182
619296,1.0,0.1433736951399009
619296,4.0,0.1422411290884363
619296,0.25,0.1452448087399573
619296,1.0,0.1468915759108207
619296,4.0,0.1474633063993678
620333,0.25,0.037268493016133
620333,1.0,0.0363643701545425
620333,4.0,0.0361250549696159
620333,0.25,0.0405568275020851
620333,1.0,0.0408138604222888
620333,4.0,0.0407588685690256
620333,0.25,0.0402758477953932
620333,1.0,0.0394880602171405
620333,4.0,0.0399147561042545
620333,0.25,0.0331200468584595
620333,1.0,0.0310774893814771
620333,4.0,0.0295893127974738
620333,0.25,0.0470882789253598
620333,1.0,0.0402242134946709
620333,4.0,0.0365107881563754
620333,0.25,0.0069528681661577
620333,1.0,0.00329669949265
620333,4.0,0.0017809065438126
620333,0.25,0.0412801365477637
620333,1.0,0.0379140649100548
620333,4.0,0.034804639829814
620333,0.25,0.0321522807852102
620333,1.0,0.0296855650963544
620333,4.0,0.027199260438917
620333,0.25,0.0240244735498923
620333,1.0,0.0212554098218468
620333,4.0,0.0193822741565348
620333,0.25,0.0307171648049968
620333,1.0,0.0277213277553752
620333,4.0,0.023944140600207
620333,0.25,0.0334170393673587
620333,1.0,0.0334513151389065
620333,4.0,0.0336998017685444
620333,0.25,0.0651731006582518
620333,1.0,0.0614514429703908
620333,4.0,0.0597913974673698
620334,0.25,0.0542055173753906
620334,1.0,0.0543014307545494
620334,4.0,0.0548614045782866
620334,0.25,0.1275761112318773
620334,1.0,0.1241722541674358
620334,4.0,0.1204755050958413
620334,0.25,0.1052091445198028
620334,1.0,0.10678345822073
620334,4.0,0.1085669925037082
620334,0.25,0.094513285720352
620334,1.0,0.0944664428779127
620334,4.0,0.0947173190041003
620334,0.25,0.0884778015584921
620334,1.0,0.0763656340820294
620334,4.0,0.0703609426894115
620334,0.25,0.0699386429663003
620334,1.0,0.0672048073190393
620334,4.0,0.065533523996055
620334,0.25,0.1408604373146528
620334,1.0,0.1404869186326734
620334,4.0,0.1397822531340602
620334,0.25,0.0999724496354404
620334,1.0,0.0986349224526507
620334,4.0,0.0987049446555286
620334,0.25,0.123344973922831
620334,1.0,0.1192017696237042
620334,4.0,0.1165305669341436
620334,0.25,0.0765704962066436
620334,1.0,0.0735350708010619
620334,4.0,0.0707138012050656
620334,0.25,0.1112088541587974
