graph_seed,regime,k,selection_entropy_union
42001,sparse_drive,8,0.0
42001,sparse_drive,32,0.4
42001,sparse_drive,64,0.4044874507144775
42001,transition_dense,8,0.9182958340544896
42001,transition_dense,32,0.0
42001,transition_dense,64,0.358974358974359
42001,transition_mid,8,0.0
42001,transition_mid,32,0.4761904761904761
42001,transition_mid,64,0.0
42002,sparse_drive,8,0.0
42002,sparse_drive,32,0.358974358974359
42002,sparse_drive,64,0.0
42002,transition_dense,8,0.9182958340544896
42002,transition_dense,32,0.0
42002,transition_dense,64,0.0
42002,transition_mid,8,0.9182958340544896
42002,transition_mid,32,0.0
42002,transition_mid,64,0.0
42003,sparse_drive,8,0.8238595828285239
42003,sparse_drive,32,0.0
42003,sparse_drive,64,0.0
42003,transition_dense,8,1.0
42003,transition_dense,32,0.0
42003,transition_dense,64,0.0
42003,transition_mid,8,0.8723810423517652
42003,transition_mid,32,0.0
42003,transition_mid,64,0.0
