random_complex_units_required,targeted_complex_units_required,topology
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
40.0,32.0,er
40.0,40.0,er
40.0,40.0,er
40.0,48.0,er
40.0,40.0,er
40.0,40.0,er
40.0,48.0,er
48.0,48.0,er
48.0,96.0,er
48.0,96.0,er
48.0,64.0,er
48.0,96.0,er
48.0,48.0,er
48.0,64.0,er
96.0,96.0,er
96.0,128.0,er
96.0,96.0,er
96.0,128.0,er
96.0,96.0,er
96.0,96.0,er
96.0,64.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,40.0,er
32.0,40.0,er
32.0,32.0,er
32.0,32.0,er
48.0,40.0,er
48.0,48.0,er
48.0,40.0,er
48.0,48.0,er
48.0,64.0,er
48.0,48.0,er
48.0,40.0,er
96.0,64.0,er
96.0,48.0,er
96.0,64.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,64.0,er
96.0,128.0,er
96.0,128.0,er
96.0,96.0,er
96.0,96.0,er
96.0,128.0,er
96.0,96.0,er
96.0,96.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
32.0,32.0,er
40.0,40.0,er
40.0,32.0,er
40.0,40.0,er
40.0,32.0,er
40.0,32.0,er
40.0,40.0,er
40.0,40.0,er
48.0,40.0,er
48.0,40.0,er
48.0,40.0,er
48.0,40.0,er
48.0,40.0,er
48.0,48.0,er
48.0,40.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
40.0,32.0,er
40.0,32.0,er
40.0,32.0,er
40.0,32.0,er
40.0,32.0,er
40.0,40.0,er
40.0,32.0,er
40.0,40.0,er
40.0,32.0,er
40.0,40.0,er
40.0,40.0,er
40.0,40.0,er
40.0,40.0,er
40.0,40.0,er
48.0,48.0,er
48.0,48.0,er
48.0,48.0,er
48.0,40.0,er
48.0,48.0,er
48.0,48.0,er
48.0,48.0,er
64.0,64.0,er
64.0,64.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,64.0,er
64.0,64.0,er
48.0,48.0,er
48.0,48.0,er
48.0,40.0,er
48.0,48.0,er
48.0,40.0,er
48.0,48.0,er
48.0,40.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
48.0,48.0,er
48.0,48.0,er
48.0,40.0,er
48.0,40.0,er
48.0,48.0,er
48.0,48.0,er
48.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
128.0,96.0,er
128.0,64.0,er
128.0,64.0,er
128.0,96.0,er
128.0,96.0,er
128.0,128.0,er
128.0,64.0,er
192.0,128.0,er
192.0,96.0,er
192.0,96.0,er
192.0,128.0,er
192.0,96.0,er
192.0,192.0,er
192.0,96.0,er
192.0,192.0,er
192.0,128.0,er
192.0,128.0,er
192.0,192.0,er
192.0,192.0,er
192.0,192.0,er
192.0,128.0,er
128.0,96.0,er
128.0,96.0,er
128.0,40.0,er
128.0,96.0,er
128.0,96.0,er
128.0,128.0,er
128.0,64.0,er
192.0,96.0,er
192.0,96.0,er
192.0,128.0,er
192.0,128.0,er
192.0,128.0,er
192.0,192.0,er
192.0,96.0,er
48.0,40.0,er
48.0,40.0,er
48.0,40.0,er
48.0,40.0,er
48.0,40.0,er
48.0,48.0,er
48.0,40.0,er
64.0,64.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,64.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,128.0,er
128.0,96.0,er
48.0,40.0,er
48.0,32.0,er
48.0,32.0,er
48.0,40.0,er
48.0,40.0,er
48.0,48.0,er
48.0,40.0,er
96.0,48.0,er
96.0,48.0,er
96.0,64.0,er
96.0,64.0,er
96.0,48.0,er
96.0,96.0,er
96.0,48.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,128.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,128.0,er
128.0,128.0,er
128.0,96.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,96.0,er
96.0,64.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,64.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
192.0,128.0,er
192.0,96.0,er
192.0,96.0,er
192.0,128.0,er
192.0,128.0,er
192.0,192.0,er
192.0,128.0,er
192.0,128.0,er
192.0,128.0,er
192.0,128.0,er
192.0,128.0,er
192.0,128.0,er
192.0,192.0,er
192.0,128.0,er
192.0,128.0,er
192.0,96.0,er
192.0,96.0,er
192.0,128.0,er
192.0,128.0,er
192.0,192.0,er
192.0,96.0,er
192.0,192.0,er
192.0,128.0,er
192.0,128.0,er
192.0,192.0,er
192.0,192.0,er
192.0,192.0,er
192.0,96.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,96.0,er
96.0,48.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,64.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
192.0,192.0,er
192.0,128.0,er
192.0,128.0,er
192.0,128.0,er
192.0,192.0,er
192.0,192.0,er
192.0,192.0,er
64.0,48.0,er
64.0,48.0,er
64.0,40.0,er
64.0,48.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
128.0,192.0,er
128.0,128.0,er
128.0,96.0,er
128.0,192.0,er
128.0,192.0,er
128.0,128.0,er
128.0,192.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,96.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
192.0,96.0,er
192.0,96.0,er
192.0,96.0,er
192.0,64.0,er
192.0,96.0,er
192.0,192.0,er
192.0,96.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,48.0,er
64.0,64.0,er
64.0,48.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
64.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,96.0,er
96.0,64.0,er
192.0,96.0,er
192.0,96.0,er
192.0,96.0,er
192.0,64.0,er
192.0,96.0,er
192.0,192.0,er
192.0,96.0,er
192.0,192.0,er
192.0,128.0,er
192.0,128.0,er
192.0,192.0,er
192.0,128.0,er
192.0,192.0,er
192.0,128.0,er
192.0,128.0,er
192.0,128.0,er
192.0,4.0,er
192.0,128.0,er
192.0,192.0,er
192.0,192.0,er
192.0,128.0,er
192.0,192.0,er
192.0,192.0,er
192.0,192.0,er
96.0,64.0,er
96.0,64.0,er
96.0,48.0,er
96.0,64.0,er
96.0,64.0,er
96.0,96.0,er
96.0,48.0,er
96.0,64.0,er
96.0,64.0,er
96.0,64.0,er
96.0,96.0,er
96.0,96.0,er
96.0,96.0,er
96.0,64.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,96.0,er
128.0,128.0,er
128.0,128.0,er
128.0,128.0,er
128.0,192.0,er
128.0,192.0,er
128.0,192.0,er
128.0,128.0,er
128.0,128.0,er
