variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,17,32,transition_mid,transition_mid,9601,93001288604,0.681827962398529,0.510913610458374,20.351558685302734,69.5,0.8387588858604431,0.18709897994995117,0.9714235663414001,0.0
primary,93001,17,32,sparse_drive,transition_mid,9601,93001288604,0.43091416358947754,0.3197031617164612,20.345699310302734,69.5,0.6164829134941101,0.30101197957992554,0.9547334313392639,0.0
primary,93001,17,32,transition_mid,transition_mid,9602,93001288605,0.3244609832763672,0.2414594441652298,20.322261810302734,69.5,0.4976172149181366,0.34797072410583496,0.9597972631454468,0.0
primary,93001,17,32,sparse_drive,transition_mid,9602,93001288605,0.36897414922714233,0.280740350484848,20.261714935302734,69.0,0.5645840167999268,0.3464672863483429,0.9982714653015137,0.0
primary,93001,17,32,transition_mid,transition_mid,9603,93001288606,0.5736051201820374,0.4327510893344879,20.292964935302734,69.5,0.7725078463554382,0.2574766278266907,0.9831836819648743,0.0
primary,93001,17,32,sparse_drive,transition_mid,9603,93001288606,0.22975027561187744,0.172946959733963,20.269527435302734,69.5,0.3846372663974762,0.40268322825431824,0.9792952537536621,0.0
primary,93001,17,32,transition_mid,transition_mid,9604,93001288607,0.5150855183601379,0.3827034831047058,20.304683685302734,69.5,0.7112305164337158,0.27578261494636536,0.9571216106414795,0.0
primary,93001,17,32,sparse_drive,transition_mid,9604,93001288607,0.31389373540878296,0.23285646736621857,20.296871185302734,69.5,0.5032397508621216,0.3762540817260742,0.9545414447784424,0.0
primary,93001,17,32,transition_mid,transition_mid,9605,93001288608,0.601423978805542,0.4516487419605255,20.310543060302734,69.5,0.7699577808380127,0.2188871204853058,0.9751659035682678,0.0
primary,93001,17,32,sparse_drive,transition_mid,9605,93001288608,0.2888527512550354,0.21679048240184784,20.271480560302734,69.5,0.46713125705718994,0.38164541125297546,0.9741503000259399,0.0
primary,93001,17,32,transition_mid,transition_mid,9606,93001288609,0.5395048260688782,0.3969035744667053,20.316402435302734,69.5,0.7191852331161499,0.24983885884284973,0.9409997463226318,0.0
primary,93001,17,32,sparse_drive,transition_mid,9606,93001288609,0.34562698006629944,0.25872549414634705,20.283199310302734,69.5,0.5504837036132812,0.37213951349258423,0.9696912169456482,0.0
primary,93001,17,32,transition_mid,transition_mid,9607,93001288610,0.46224847435951233,0.3372035622596741,20.304683685302734,69.5,0.6705663204193115,0.31065958738327026,0.92762690782547,0.0
primary,93001,17,32,sparse_drive,transition_mid,9607,93001288610,0.35555484890937805,0.26449501514434814,20.314449310302734,69.5,0.5613049864768982,0.3665567636489868,0.9591416120529175,0.0
primary,93001,17,32,transition_mid,transition_mid,9608,93001288611,0.3795636296272278,0.28004929423332214,20.318355560302734,69.5,0.57696932554245,0.3421424627304077,0.9456758499145508,0.0
primary,93001,17,32,sparse_drive,transition_mid,9608,93001288611,0.3280412256717682,0.23965121805667877,20.277339935302734,69.5,0.5236586332321167,0.37355899810791016,0.9299104809761047,0.0
primary,93001,17,32,transition_mid,sparse_drive,9601,93001288604,0.5466158986091614,0.39335641264915466,21.722652435302734,70.0,0.7549203634262085,0.2759290337562561,0.9068589806556702,0.0
primary,93001,17,32,sparse_drive,sparse_drive,9601,93001288604,0.6330779194831848,0.48192915320396423,21.695308685302734,69.5,0.81019127368927,0.2186068594455719,0.9991757869720459,0.0
primary,93001,17,32,transition_mid,sparse_drive,9602,93001288605,0.47733059525489807,0.3404918611049652,21.720699310302734,70.0,0.6808232069015503,0.29889199137687683,0.8939211368560791,0.0
primary,93001,17,32,sparse_drive,sparse_drive,9602,93001288605,0.5220346450805664,0.39894965291023254,21.675777435302734,69.5,0.725881814956665,0.28082695603370667,1.0062839984893799,0.0
primary,93001,17,32,transition_mid,sparse_drive,9603,93001288606,0.4651111960411072,0.3438545763492584,21.687496185302734,69.5,0.6884028315544128,0.3243618607521057,0.9489237666130066,0.0
primary,93001,17,32,sparse_drive,sparse_drive,9603,93001288606,0.7035161852836609,0.536168098449707,21.685543060302734,69.5,0.8620691895484924,0.1839214712381363,1.001267910003662,0.0
