variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,0,32,transition_mid,transition_mid,9601,93002288607,0.3287149667739868,0.24231453239917755,20.171871185302734,69.0,0.5227600336074829,0.37119340896606445,0.9442239999771118,0.0
primary,93002,0,32,sparse_drive,transition_mid,9601,93002288607,0.5241739749908447,0.39037439227104187,20.263668060302734,69.5,0.7296713590621948,0.2816300392150879,0.9610435962677002,0.0
primary,93002,0,32,transition_mid,transition_mid,9602,93002288608,0.3634757399559021,0.27133437991142273,20.248043060302734,69.5,0.5563727617263794,0.3467046618461609,0.9650010466575623,0.0
primary,93002,0,32,sparse_drive,transition_mid,9602,93002288608,0.2830630838871002,0.21384291350841522,20.208982467651367,69.0,0.4573086202144623,0.38102394342422485,0.9855542182922363,0.0
primary,93002,0,32,transition_mid,transition_mid,9603,93002288609,0.24237658083438873,0.17956705391407013,20.222652435302734,69.0,0.4164072573184967,0.417933851480484,0.952382504940033,0.0
primary,93002,0,32,sparse_drive,transition_mid,9603,93002288609,0.5433336496353149,0.4150526225566864,20.183589935302734,69.0,0.7437180876731873,0.2694360017776489,1.0055137872695923,0.0
primary,93002,0,32,transition_mid,transition_mid,9604,93002288610,0.2707709074020386,0.20281057059764862,20.218748092651367,69.0,0.43471741676330566,0.3771335482597351,0.9706999063491821,0.0
primary,93002,0,32,sparse_drive,transition_mid,9604,93002288610,0.6736878752708435,0.4959046542644501,20.291011810302734,69.5,0.8431412577629089,0.20097865164279938,0.9419229626655579,0.0
primary,93002,0,32,transition_mid,transition_mid,9605,93002288611,0.5170538425445557,0.39746159315109253,20.222652435302734,69.0,0.7197789549827576,0.281649112701416,1.017153263092041,0.0
primary,93002,0,32,sparse_drive,transition_mid,9605,93002288611,0.24954009056091309,0.18781635165214539,20.216793060302734,69.5,0.4163993299007416,0.4007192552089691,0.9790399074554443,0.0
primary,93002,0,32,transition_mid,transition_mid,9606,93002288612,0.48022565245628357,0.3540438413619995,20.273433685302734,69.5,0.6911059617996216,0.30513450503349304,0.944416344165802,0.0
