variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,17,32,transition_mid,transition_mid,9601,93002288607,0.23116318881511688,0.16280002892017365,20.289058685302734,70.0,0.37738314270973206,0.38745754957199097,0.8757117390632629,0.0
primary,93002,17,32,sparse_drive,transition_mid,9601,93002288607,0.6579946875572205,0.46887409687042236,20.292964935302734,69.5,0.826444149017334,0.20382434129714966,0.8924065828323364,0.0
primary,93002,17,32,transition_mid,transition_mid,9602,93002288608,0.4944329857826233,0.35063689947128296,20.269527435302734,69.5,0.6898360252380371,0.2832601070404053,0.8855115175247192,0.0
primary,93002,17,32,sparse_drive,transition_mid,9602,93002288608,0.2375973016023636,0.1743764728307724,20.246089935302734,69.0,0.37648114562034607,0.3688998818397522,0.9371629357337952,0.0
primary,93002,17,32,transition_mid,transition_mid,9603,93002288609,0.4980432689189911,0.3518463373184204,20.287105560302734,69.5,0.7134374976158142,0.3019104599952698,0.8800759315490723,0.0
primary,93002,17,32,sparse_drive,transition_mid,9603,93002288609,0.2502433955669403,0.1844538003206253,20.224605560302734,69.0,0.40896105766296387,0.38809964060783386,0.9440939426422119,0.0
primary,93002,17,32,transition_mid,transition_mid,9604,93002288610,0.45616474747657776,0.33450886607170105,20.298824310302734,69.5,0.6409872174263,0.288340300321579,0.935844361782074,0.0
primary,93002,17,32,sparse_drive,transition_mid,9604,93002288610,0.686277449131012,0.47726160287857056,20.298824310302734,69.5,0.8557105660438538,0.19800284504890442,0.8584057688713074,0.0
primary,93002,17,32,transition_mid,transition_mid,9605,93002288611,0.3209347426891327,0.23497992753982544,20.294918060302734,69.5,0.4877660274505615,0.342031329870224,0.9333966374397278,0.0
primary,93002,17,32,sparse_drive,transition_mid,9605,93002288611,0.4958626925945282,0.3473736345767975,20.306636810302734,69.5,0.6953955888748169,0.28693437576293945,0.8683680295944214,0.0
primary,93002,17,32,transition_mid,transition_mid,9606,93002288612,0.6432940363883972,0.470133900642395,20.296871185302734,69.5,0.808903694152832,0.2047334462404251,0.9304909706115723,0.0
