variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,11,32,transition_mid,transition_mid,9601,93001288604,0.4580259621143341,0.33826467394828796,20.464839935302734,69.5,0.6313627362251282,0.2745438516139984,0.9472319483757019,0.0
primary,93001,11,32,sparse_drive,transition_mid,9601,93001288604,0.6546311378479004,0.4771299362182617,20.335933685302734,69.5,0.8270444869995117,0.20846930146217346,0.926276445388794,0.0
primary,93001,11,32,transition_mid,transition_mid,9602,93001288605,0.6380583047866821,0.47875210642814636,20.482418060302734,69.5,0.8045265674591064,0.2069145292043686,0.9737018942832947,0.0
primary,93001,11,32,sparse_drive,transition_mid,9602,93001288605,0.4146822988986969,0.3037637770175934,20.304685592651367,69.5,0.6026802659034729,0.31193649768829346,0.9341472387313843,0.0
primary,93001,11,32,transition_mid,transition_mid,9603,93001288606,0.6849074363708496,0.5035998821258545,20.437496185302734,69.5,0.8444472551345825,0.18892811238765717,0.9401295185089111,0.0
primary,93001,11,32,sparse_drive,transition_mid,9603,93001288606,0.41436299681663513,0.3075200319290161,20.285152435302734,69.5,0.6201534867286682,0.3318379819393158,0.9552513957023621,0.0
primary,93001,11,32,transition_mid,transition_mid,9604,93001288607,0.3975292146205902,0.30218780040740967,20.441402435302734,69.5,0.594327986240387,0.33112820982933044,0.9966059327125549,0.0
primary,93001,11,32,sparse_drive,transition_mid,9604,93001288607,0.6113557815551758,0.43955379724502563,20.292964935302734,69.5,0.7924039363861084,0.22847960889339447,0.9055344462394714,0.0
primary,93001,11,32,transition_mid,transition_mid,9605,93001288608,0.6785182356834412,0.5032618045806885,20.468746185302734,69.5,0.8447916507720947,0.19682177901268005,0.9542633891105652,0.0
primary,93001,11,32,sparse_drive,transition_mid,9605,93001288608,0.26027968525886536,0.19884653389453888,20.257808685302734,69.5,0.40857458114624023,0.3629567623138428,1.0056878328323364,0.0
primary,93001,11,32,transition_mid,transition_mid,9606,93001288609,0.7165518403053284,0.533362627029419,20.462886810302734,69.5,0.8651312589645386,0.1717420071363449,0.9601553678512573,0.0
primary,93001,11,32,sparse_drive,transition_mid,9606,93001288609,0.32416048645973206,0.24440732598304749,20.218746185302734,69.5,0.5151489973068237,0.3707442283630371,0.9820920825004578,0.0
primary,93001,11,32,transition_mid,transition_mid,9607,93001288610,0.6858745813369751,0.5149248838424683,20.453121185302734,69.5,0.8450390100479126,0.1883515864610672,0.974686861038208,0.0
primary,93001,11,32,sparse_drive,transition_mid,9607,93001288610,0.6318507194519043,0.4623600244522095,20.316402435302734,69.5,0.8109923601150513,0.22089189291000366,0.9324952363967896,0.0
primary,93001,11,32,transition_mid,transition_mid,9608,93001288611,0.6083505153656006,0.44789645075798035,20.480464935302734,69.5,0.7946685552597046,0.23446005582809448,0.9422348141670227,0.0
