variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,9,32,transition_mid,transition_mid,9601,93002288607,0.43556076288223267,0.32911989092826843,20.222652435302734,69.5,0.6366748809814453,0.31588199734687805,0.9859343767166138,0.0
primary,93002,9,32,sparse_drive,transition_mid,9601,93002288607,0.2961011826992035,0.22668886184692383,20.242183685302734,69.0,0.4767073094844818,0.3788616359233856,1.0095577239990234,0.0
primary,93002,9,32,transition_mid,transition_mid,9602,93002288608,0.25762617588043213,0.19719696044921875,20.164058685302734,69.0,0.420055091381073,0.38668474555015564,1.0092179775238037,0.0
primary,93002,9,32,sparse_drive,transition_mid,9602,93002288608,0.3384222686290741,0.2575027048587799,20.249996185302734,69.0,0.522518515586853,0.35232487320899963,0.9983295202255249,0.0
primary,93002,9,32,transition_mid,transition_mid,9603,93002288609,0.44964084029197693,0.3302203118801117,20.222654342651367,69.5,0.6422024369239807,0.2998456358909607,0.9382323622703552,0.0
primary,93002,9,32,sparse_drive,transition_mid,9603,93002288609,0.40878406167030334,0.31490558385849,20.246089935302734,69.0,0.6217111349105835,0.3424855172634125,1.0211806297302246,0.0
primary,93002,9,32,transition_mid,transition_mid,9604,93002288610,0.2477327436208725,0.1832411140203476,20.193355560302734,69.5,0.4007994830608368,0.3819035291671753,0.9497559070587158,0.0
primary,93002,9,32,sparse_drive,transition_mid,9604,93002288610,0.3194669485092163,0.23706911504268646,20.335933685302734,69.5,0.5071657299995422,0.37009361386299133,0.955086350440979,0.0
primary,93002,9,32,transition_mid,transition_mid,9605,93002288611,0.303056001663208,0.22455818951129913,20.193357467651367,69.5,0.46782150864601135,0.3521973490715027,0.9526472687721252,0.0
primary,93002,9,32,sparse_drive,transition_mid,9605,93002288611,0.2322089672088623,0.17654897272586823,20.238277435302734,69.0,0.37528905272483826,0.38125303387641907,0.9969308376312256,0.0
primary,93002,9,32,transition_mid,transition_mid,9606,93002288612,0.33135083317756653,0.24980491399765015,20.197261810302734,69.5,0.5195705890655518,0.36226019263267517,0.9819262623786926,0.0
primary,93002,9,32,sparse_drive,transition_mid,9606,93002288612,0.301532506942749,0.2283475399017334,20.320308685302734,69.5,0.48419007658958435,0.3772435486316681,0.9898303151130676,0.0
primary,93002,9,32,transition_mid,transition_mid,9607,93002288613,0.2993144392967224,0.22898642718791962,20.140621185302734,69.0,0.4730094373226166,0.36721253395080566,1.00824773311615,0.0
primary,93002,9,32,sparse_drive,transition_mid,9607,93002288613,0.4329836666584015,0.3231735825538635,20.263668060302734,69.5,0.6375964879989624,0.3209127187728882,0.9647485017776489,0.0
primary,93002,9,32,transition_mid,transition_mid,9608,93002288614,0.2634267210960388,0.20090025663375854,20.162105560302734,69.5,0.42359480261802673,0.378116250038147,1.0024994611740112,0.0
primary,93002,9,32,sparse_drive,transition_mid,9608,93002288614,0.3551921248435974,0.2676582932472229,20.259761810302734,69.5,0.5448236465454102,0.34806033968925476,0.9811405539512634,0.0
primary,93002,9,32,transition_mid,sparse_drive,9601,93002288607,0.613021731376648,0.44665056467056274,21.560543060302734,69.5,0.8001524209976196,0.2338687926530838,0.9257467985153198,0.0
primary,93002,9,32,sparse_drive,sparse_drive,9601,93002288607,0.49156150221824646,0.3585534691810608,21.673824310302734,69.5,0.705942690372467,0.3036807179450989,0.9274811744689941,0.0
primary,93002,9,32,transition_mid,sparse_drive,9602,93002288608,0.4647216796875,0.34143343567848206,21.574214935302734,69.5,0.6690687537193298,0.3054201602935791,0.9388755559921265,0.0
primary,93002,9,32,sparse_drive,sparse_drive,9602,93002288608,0.7545132040977478,0.5637781023979187,21.671871185302734,69.5,0.8935092687606812,0.15556199848651886,0.9666030406951904,0.0
primary,93002,9,32,transition_mid,sparse_drive,9603,93002288609,0.6358285546302795,0.46619242429733276,21.574214935302734,69.5,0.8180326819419861,0.22273452579975128,0.9356226325035095,0.0
primary,93002,9,32,sparse_drive,sparse_drive,9603,93002288609,0.696112334728241,0.514214277267456,21.644527435302734,69.5,0.8585173487663269,0.18916916847229004,0.9475997090339661,0.0
primary,93002,9,32,transition_mid,sparse_drive,9604,93002288610,0.49262794852256775,0.36179137229919434,21.564449310302734,69.5,0.6893259286880493,0.2853482961654663,0.9382365942001343,0.0
primary,93002,9,32,sparse_drive,sparse_drive,9604,93002288610,0.29426026344299316,0.212859109044075,21.679683685302734,69.5,0.4856903553009033,0.39414018392562866,0.9146785140037537,0.0
primary,93002,9,32,transition_mid,sparse_drive,9605,93002288611,0.19807979464530945,0.14478586614131927,21.595699310302734,69.5,0.3471471965312958,0.42940691113471985,0.9307581186294556,0.0
primary,93002,9,32,sparse_drive,sparse_drive,9605,93002288611,0.4041031301021576,0.2999880909919739,21.630855560302734,69.5,0.5941333174705505,0.31984439492225647,0.9557057619094849,0.0
primary,93002,9,32,transition_mid,sparse_drive,9606,93002288612,0.42700260877609253,0.31374216079711914,21.542964935302734,69.5,0.6388761401176453,0.3316347301006317,0.9389830827713013,0.0
primary,93002,9,32,sparse_drive,sparse_drive,9606,93002288612,0.5899103283882141,0.44170016050338745,21.666011810302734,69.5,0.7868108153343201,0.2502513527870178,0.9701225161552429,0.0
primary,93002,9,32,transition_mid,sparse_drive,9607,93002288613,0.42883074283599854,0.30909937620162964,21.535152435302734,69.5,0.636682391166687,0.32646045088768005,0.9092992544174194,0.0
primary,93002,9,32,sparse_drive,sparse_drive,9607,93002288613,0.6210609674453735,0.4568733274936676,21.656246185302734,69.5,0.8019253611564636,0.22553768754005432,0.9408959150314331,0.0
primary,93002,9,32,transition_mid,sparse_drive,9608,93002288614,0.34493425488471985,0.2476843148469925,21.554683685302734,69.5,0.5611650943756104,0.3853248357772827,0.9036333560943604,0.0
primary,93002,9,32,sparse_drive,sparse_drive,9608,93002288614,0.6534521579742432,0.4918675124645233,21.640621185302734,69.5,0.822648823261261,0.20567305386066437,0.9792049527168274,0.0
