variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,0,32,transition_mid,transition_mid,9601,93003288610,0.20422875881195068,0.14064157009124756,20.291011810302734,70.0,0.3429361581802368,0.4044700264930725,0.8453783988952637,0.0
primary,93003,0,32,sparse_drive,transition_mid,9601,93003288610,0.5389871597290039,0.4004901051521301,20.333980560302734,69.5,0.7299623489379883,0.2616233229637146,0.9572372436523438,0.0
primary,93003,0,32,transition_mid,transition_mid,9602,93003288611,0.668768048286438,0.47532710433006287,20.236324310302734,69.5,0.8268619775772095,0.1911974549293518,0.8886986374855042,0.0
primary,93003,0,32,sparse_drive,transition_mid,9602,93003288611,0.39435020089149475,0.297039270401001,20.320308685302734,69.5,0.5814639925956726,0.3217976987361908,0.9803959131240845,0.0
primary,93003,0,32,transition_mid,transition_mid,9603,93003288612,0.5562177896499634,0.4190976321697235,20.253902435302734,69.5,0.7473037242889404,0.2557005286216736,0.9809516668319702,0.0
primary,93003,0,32,sparse_drive,transition_mid,9603,93003288612,0.6469361186027527,0.47777318954467773,20.341793060302734,69.5,0.8180821537971497,0.20920395851135254,0.9472088813781738,0.0
primary,93003,0,32,transition_mid,transition_mid,9604,93003288613,0.5066368579864502,0.3633382022380829,20.275388717651367,69.5,0.696337878704071,0.2724267244338989,0.9017667770385742,0.0
primary,93003,0,32,sparse_drive,transition_mid,9604,93003288613,0.7444429993629456,0.5559007525444031,20.330074310302734,69.5,0.8822034001350403,0.15615493059158325,0.9655308723449707,0.0
primary,93003,0,32,transition_mid,transition_mid,9605,93003288614,0.2625015676021576,0.18261316418647766,20.289058685302734,70.0,0.42830929160118103,0.3871214985847473,0.8588507771492004,0.0
primary,93003,0,32,sparse_drive,transition_mid,9605,93003288614,0.5812085866928101,0.43640750646591187,20.324214935302734,69.5,0.7729265689849854,0.24804168939590454,0.9749285578727722,0.0
primary,93003,0,32,transition_mid,transition_mid,9606,93003288615,0.44311484694480896,0.318327933549881,20.234371185302734,69.5,0.6371805667877197,0.30456942319869995,0.9043037295341492,0.0
primary,93003,0,32,sparse_drive,transition_mid,9606,93003288615,0.25625717639923096,0.18127579987049103,20.343746185302734,69.5,0.4272226393222809,0.40017884969711304,0.8819561004638672,0.0
primary,93003,0,32,transition_mid,transition_mid,9607,93003288616,0.7513136267662048,0.5426410436630249,20.263668060302734,69.5,0.8881640434265137,0.15408237278461456,0.9123460054397583,0.0
primary,93003,0,32,sparse_drive,transition_mid,9607,93003288616,0.6218467950820923,0.4583646357059479,20.326168060302734,69.5,0.8087890148162842,0.23113839328289032,0.9441041350364685,0.0
primary,93003,0,32,transition_mid,transition_mid,9608,93003288617,0.7807700037956238,0.5701311230659485,20.242183685302734,69.5,0.905412495136261,0.137663796544075,0.929190993309021,0.0
primary,93003,0,32,sparse_drive,transition_mid,9608,93003288617,0.6361910104751587,0.4678419530391693,20.332027435302734,69.5,0.8133515119552612,0.21781538426876068,0.9403427839279175,0.0
primary,93003,0,32,transition_mid,sparse_drive,9601,93003288610,0.2877957820892334,0.19022446870803833,21.769527435302734,70.0,0.4954998195171356,0.41918089985847473,0.7945348620414734,0.0
primary,93003,0,32,sparse_drive,sparse_drive,9601,93003288610,0.4258590042591095,0.31322649121284485,21.736324310302734,70.0,0.6497946977615356,0.3446252942085266,0.9406415224075317,0.0
primary,93003,0,32,transition_mid,sparse_drive,9602,93003288611,0.46156883239746094,0.30442628264427185,21.749996185302734,70.0,0.6970016956329346,0.3377794623374939,0.7920112013816833,0.0
primary,93003,0,32,sparse_drive,sparse_drive,9602,93003288611,0.2846456468105316,0.21076326072216034,21.726558685302734,70.0,0.450430303812027,0.36805838346481323,0.9514545202255249,0.0
