variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,10,32,transition_mid,transition_mid,9601,93002288607,0.5328847765922546,0.39329034090042114,20.330074310302734,69.5,0.7356827259063721,0.2756595015525818,0.9461609721183777,0.0
primary,93002,10,32,sparse_drive,transition_mid,9601,93002288607,0.7114793658256531,0.5053394436836243,20.273433685302734,69.5,0.8685182929039001,0.18081247806549072,0.8877199292182922,0.0
primary,93002,10,32,transition_mid,transition_mid,9602,93002288608,0.33737966418266296,0.2535175681114197,20.279293060302734,69.0,0.5198679566383362,0.3510281443595886,0.9762340784072876,0.0
primary,93002,10,32,sparse_drive,transition_mid,9602,93002288608,0.22900132834911346,0.1665946990251541,20.199214935302734,69.0,0.3719421625137329,0.3843092620372772,0.92336106300354,0.0
primary,93002,10,32,transition_mid,transition_mid,9603,93002288609,0.23073112964630127,0.17007191479206085,20.261714935302734,69.5,0.3961122930049896,0.4175108075141907,0.9440993666648865,0.0
primary,93002,10,32,sparse_drive,transition_mid,9603,93002288609,0.30268940329551697,0.2248237431049347,20.181636810302734,69.5,0.4869890511035919,0.3784472346305847,0.9565943479537964,0.0
primary,93002,10,32,transition_mid,transition_mid,9604,93002288610,0.3639879822731018,0.27168068289756775,20.265621185302734,69.0,0.5631491541862488,0.353656142950058,0.9647769927978516,0.0
primary,93002,10,32,sparse_drive,transition_mid,9604,93002288610,0.3710207939147949,0.2713964879512787,20.240230560302734,69.5,0.5795186758041382,0.35977765917778015,0.9319159388542175,0.0
primary,93002,10,32,transition_mid,transition_mid,9605,93002288611,0.2477974146604538,0.18033848702907562,20.310543060302734,69.5,0.3950110971927643,0.3726823925971985,0.92396080493927,0.0
primary,93002,10,32,sparse_drive,transition_mid,9605,93002288611,0.29032468795776367,0.2109609842300415,20.181636810302734,69.5,0.46508949995040894,0.37576597929000854,0.9215676188468933,0.0
primary,93002,10,32,transition_mid,transition_mid,9606,93002288612,0.2966720163822174,0.22051513195037842,20.273433685302734,69.5,0.4726029336452484,0.3722594976425171,0.9578046798706055,0.0
primary,93002,10,32,sparse_drive,transition_mid,9606,93002288612,0.5189830660820007,0.37550273537635803,20.277339935302734,69.5,0.6977185606956482,0.2561713457107544,0.9150254726409912,0.0
primary,93002,10,32,transition_mid,transition_mid,9607,93002288613,0.5540830492973328,0.40398934483528137,20.302730560302734,69.5,0.7589038610458374,0.26989027857780457,0.926831841468811,0.0
primary,93002,10,32,sparse_drive,transition_mid,9607,93002288613,0.6662921905517578,0.4682472348213196,20.261714935302734,69.5,0.8398443460464478,0.20664802193641663,0.8727440237998962,0.0
primary,93002,10,32,transition_mid,transition_mid,9608,93002288614,0.2673008143901825,0.2002778947353363,20.261714935302734,69.5,0.4392266571521759,0.39142853021621704,0.971266508102417,0.0
primary,93002,10,32,sparse_drive,transition_mid,9608,93002288614,0.6728076338768005,0.4875420928001404,20.261714935302734,69.5,0.8431203961372375,0.2020028680562973,0.9173433184623718,0.0
primary,93002,10,32,transition_mid,sparse_drive,9601,93002288607,0.40335166454315186,0.29855793714523315,21.656246185302734,69.5,0.6150094866752625,0.3441537320613861,0.9509052634239197,0.0
primary,93002,10,32,sparse_drive,sparse_drive,9601,93002288607,0.5993164777755737,0.4410655200481415,21.578121185302734,69.5,0.7938462495803833,0.2450471669435501,0.9415805339813232,0.0
primary,93002,10,32,transition_mid,sparse_drive,9602,93002288608,0.2516416311264038,0.18113619089126587,21.669918060302734,69.5,0.4090501070022583,0.38481467962265015,0.9072672724723816,0.0
