variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,15,32,transition_mid,transition_mid,9601,93001288604,0.41031143069267273,0.3099682331085205,20.287105560302734,69.5,0.6182711124420166,0.3363567888736725,0.9855216145515442,0.0
primary,93001,15,32,sparse_drive,transition_mid,9601,93001288604,0.6267986297607422,0.4641454815864563,20.480464935302734,69.5,0.8049464225769043,0.22131632268428802,0.9515894651412964,0.0
primary,93001,15,32,transition_mid,transition_mid,9602,93001288605,0.6528089642524719,0.4871215224266052,20.292964935302734,69.5,0.825793981552124,0.20947718620300293,0.9643096923828125,0.0
primary,93001,15,32,sparse_drive,transition_mid,9602,93001288605,0.25316259264945984,0.19304198026657104,20.367183685302734,69.5,0.40716248750686646,0.3782271146774292,1.0022122859954834,0.0
primary,93001,15,32,transition_mid,transition_mid,9603,93001288606,0.5675761103630066,0.42193999886512756,20.316402435302734,69.5,0.750241219997406,0.24347513914108276,0.9580525159835815,0.0
primary,93001,15,32,sparse_drive,transition_mid,9603,93001288606,0.3400428295135498,0.2578270435333252,20.355464935302734,69.0,0.5246661305427551,0.3518872559070587,0.9920129179954529,0.0
primary,93001,15,32,transition_mid,transition_mid,9604,93001288607,0.5815543532371521,0.44148147106170654,20.304683685302734,69.5,0.7772581577301025,0.251787394285202,0.9941834807395935,0.0
primary,93001,15,32,sparse_drive,transition_mid,9604,93001288607,0.49031928181648254,0.36955899000167847,20.402339935302734,69.5,0.6950396299362183,0.29454487562179565,0.98149174451828,0.0
primary,93001,15,32,transition_mid,transition_mid,9605,93001288608,0.7259549498558044,0.5378722548484802,20.304683685302734,69.5,0.8732971549034119,0.16871948540210724,0.9525089859962463,0.0
primary,93001,15,32,sparse_drive,transition_mid,9605,93001288608,0.5809387564659119,0.4213990569114685,20.429683685302734,69.5,0.7653422951698303,0.2409425973892212,0.9188988208770752,0.0
primary,93001,15,32,transition_mid,transition_mid,9606,93001288609,0.6618906259536743,0.5184780359268188,20.230464935302734,69.0,0.8322824835777283,0.20472842454910278,1.053928017616272,0.0
primary,93001,15,32,sparse_drive,transition_mid,9606,93001288609,0.31432512402534485,0.2375260293483734,20.349605560302734,69.5,0.499472975730896,0.370686411857605,0.9860427975654602,0.0
primary,93001,15,32,transition_mid,transition_mid,9607,93001288610,0.2663930654525757,0.20507259666919708,20.248043060302734,69.0,0.4288724958896637,0.3788525462150574,1.0198662281036377,0.0
primary,93001,15,32,sparse_drive,transition_mid,9607,93001288610,0.6577223539352417,0.4771576523780823,20.443357467651367,69.5,0.818923830986023,0.19684551656246185,0.9190964698791504,0.0
primary,93001,15,32,transition_mid,transition_mid,9608,93001288611,0.42369964718818665,0.32153892517089844,20.310543060302734,69.5,0.6147197484970093,0.31074339151382446,0.9935784935951233,0.0
primary,93001,15,32,sparse_drive,transition_mid,9608,93001288611,0.5357587337493896,0.3844543397426605,20.394527435302734,69.5,0.7194451093673706,0.25531676411628723,0.902655839920044,0.0
primary,93001,15,32,transition_mid,sparse_drive,9601,93001288604,0.5831296443939209,0.4450463056564331,21.632808685302734,69.5,0.7729229927062988,0.24555271863937378,1.0038421154022217,0.0
primary,93001,15,32,sparse_drive,sparse_drive,9601,93001288604,0.6187824606895447,0.4418337345123291,21.894527435302734,70.0,0.803618311882019,0.23000454902648926,0.8953725695610046,0.0
primary,93001,15,32,transition_mid,sparse_drive,9602,93001288605,0.6761400699615479,0.5122808814048767,21.660152435302734,69.5,0.8454803228378296,0.2002888172864914,0.9906866550445557,0.0
primary,93001,15,32,sparse_drive,sparse_drive,9602,93001288605,0.4393869936466217,0.31502896547317505,21.853511810302734,70.0,0.6465998291969299,0.3204653561115265,0.9013895988464355,0.0
primary,93001,15,32,transition_mid,sparse_drive,9603,93001288606,0.4094218313694,0.31352439522743225,21.626949310302734,69.5,0.6107118725776672,0.3295990228652954,1.0100277662277222,0.0
primary,93001,15,32,sparse_drive,sparse_drive,9603,93001288606,0.25631415843963623,0.1894504278898239,21.859371185302734,70.0,0.42443493008613586,0.39610496163368225,0.9485670328140259,0.0
primary,93001,15,32,transition_mid,sparse_drive,9604,93001288607,0.28239643573760986,0.2090962678194046,21.673824310302734,69.5,0.47101566195487976,0.4004521369934082,0.9514421224594116,0.0
