variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,2,32,transition_mid,transition_mid,9601,93002288607,0.5700833797454834,0.41025441884994507,20.234371185302734,69.5,0.7539752721786499,0.2438964992761612,0.9068963527679443,0.0
primary,93002,2,32,sparse_drive,transition_mid,9601,93002288607,0.26941773295402527,0.1996202915906906,20.242185592651367,69.5,0.4403612017631531,0.3881891667842865,0.9525432586669922,0.0
primary,93002,2,32,transition_mid,transition_mid,9602,93002288608,0.24273785948753357,0.1829545646905899,20.205074310302734,69.5,0.3885132670402527,0.3752134442329407,0.9814954400062561,0.0
primary,93002,2,32,sparse_drive,transition_mid,9602,93002288608,0.24622663855552673,0.1870439499616623,20.275386810302734,69.5,0.3950623869895935,0.37673988938331604,0.9953666925430298,0.0
primary,93002,2,32,transition_mid,transition_mid,9603,93002288609,0.7029648423194885,0.5010049939155579,20.281248092651367,69.5,0.8616365194320679,0.18415150046348572,0.8926554322242737,0.0
primary,93002,2,32,sparse_drive,transition_mid,9603,93002288609,0.23614519834518433,0.17739728093147278,20.246089935302734,69.5,0.38325759768486023,0.38384729623794556,0.9757521152496338,0.0
primary,93002,2,32,transition_mid,transition_mid,9604,93002288610,0.7248945832252502,0.5151415467262268,20.259761810302734,69.5,0.8758392930030823,0.17234286665916443,0.8884825110435486,0.0
primary,93002,2,32,sparse_drive,transition_mid,9604,93002288610,0.4054322838783264,0.30784130096435547,20.240230560302734,69.0,0.603792130947113,0.3285234272480011,0.9945399761199951,0.0
primary,93002,2,32,transition_mid,transition_mid,9605,93002288611,0.4647948443889618,0.3405096232891083,20.281246185302734,69.5,0.6564257144927979,0.29193082451820374,0.9343208074569702,0.0
primary,93002,2,32,sparse_drive,transition_mid,9605,93002288611,0.26710420846939087,0.20364786684513092,20.263668060302734,69.0,0.4365878105163574,0.3882004916667938,1.0019896030426025,0.0
