variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,16,32,transition_mid,transition_mid,9601,93003288610,0.6015588641166687,0.45091041922569275,20.251949310302734,69.5,0.7954748868942261,0.24377396702766418,0.9719727039337158,0.0
primary,93003,16,32,sparse_drive,transition_mid,9601,93003288610,0.41235172748565674,0.30407580733299255,20.300777435302734,69.5,0.6011022925376892,0.314007431268692,0.9447972178459167,0.0
primary,93003,16,32,transition_mid,transition_mid,9602,93003288611,0.5224475264549255,0.38393333554267883,20.269527435302734,69.5,0.716010332107544,0.27033519744873047,0.9392433762550354,0.0
primary,93003,16,32,sparse_drive,transition_mid,9602,93003288611,0.6287071108818054,0.4546699523925781,20.304683685302734,69.5,0.8070033192634583,0.2209361046552658,0.9142847657203674,0.0
primary,93003,16,32,transition_mid,transition_mid,9603,93003288612,0.4535524845123291,0.3461993336677551,20.298824310302734,69.5,0.6631651520729065,0.31607913970947266,1.0040888786315918,0.0
primary,93003,16,32,sparse_drive,transition_mid,9603,93003288612,0.3852344751358032,0.2754201292991638,20.300777435302734,69.5,0.5905910730361938,0.3477137088775635,0.8972200155258179,0.0
primary,93003,16,32,transition_mid,transition_mid,9604,93003288613,0.23298552632331848,0.1760452538728714,20.308589935302734,69.5,0.3666689991950989,0.36458900570869446,0.9858936667442322,0.0
primary,93003,16,32,sparse_drive,transition_mid,9604,93003288613,0.2326277196407318,0.16654594242572784,20.333980560302734,70.0,0.3830830156803131,0.39274853467941284,0.8992516994476318,0.0
primary,93003,16,32,transition_mid,transition_mid,9605,93003288614,0.19549912214279175,0.1420343518257141,20.322261810302734,69.5,0.3342084288597107,0.4150383472442627,0.9213208556175232,0.0
primary,93003,16,32,sparse_drive,transition_mid,9605,93003288614,0.5572040677070618,0.4060184955596924,20.279293060302734,69.5,0.735633373260498,0.2425519824028015,0.925888180732727,0.0
primary,93003,16,32,transition_mid,transition_mid,9606,93003288615,0.6538377404212952,0.48401397466659546,20.275386810302734,69.5,0.8271827101707458,0.20956069231033325,0.9510679841041565,0.0
primary,93003,16,32,sparse_drive,transition_mid,9606,93003288615,0.5388261675834656,0.40281686186790466,20.261714935302734,69.5,0.7334287762641907,0.26533272862434387,0.9674513936042786,0.0
