placement,complexity_fraction,mean,std,n,median,sem,ci95
cycle_proxy,0.00390625,0.045655532092552825,0.01366302168140194,24,0.04518898931001075,0.002788952622001519,0.005466347139122977
cycle_proxy,0.0078125,0.057288071978014776,0.01923416640048282,24,0.04972974631460445,0.003926157775747293,0.007695269240464694
cycle_proxy,0.015625,0.08261057806443807,0.03976385538105227,24,0.06389951175121214,0.008116762990783434,0.01590885546193553
cycle_proxy,0.03125,0.09301885724348757,0.03607396743317033,24,0.08317269043559039,0.007363567767420429,0.01443259282414404
cycle_proxy,0.0625,0.08747982102201873,0.039136332810688866,24,0.0736417121952264,0.007988670482494261,0.015657794145688752
cycle_proxy,0.09375,0.08901312760450014,0.042158683106380705,24,0.0976545004962393,0.008605605153193833,0.016866986100259912
cycle_proxy,0.125,0.12736416745699716,0.07397846144354293,24,0.1066282038572956,0.015100790207736605,0.029597548807163747
cycle_proxy,0.15625,0.16809521158039778,0.10795176629335278,24,0.1410366845934225,0.022035562020907874,0.043189701560979434
cycle_proxy,0.1875,0.22322744413515852,0.1341514387719322,24,0.2036369631041982,0.027383547770954458,0.05367175363107073
cycle_proxy,0.25,0.33875849515659645,0.18534033142699455,24,0.3516399793585072,0.037832436729538156,0.07415157598989479
cycle_proxy,0.375,0.476839550108064,0.2020785242523467,24,0.4966290471985488,0.041249106032740415,0.08084824782417122
cycle_proxy,0.5,0.4321292559980594,0.14382901501802492,24,0.4082873677240578,0.029358974750104978,0.05754359051020576
cycle_proxy,0.75,0.5493618147334406,0.17111775575033847,24,0.5353255724000454,0.034929265626544276,0.06846136062802678
feedback_hub,0.00390625,0.04621982893819654,0.015302725552396368,24,0.041667216988300546,0.0031236557731017457,0.006122365315279422
feedback_hub,0.0078125,0.06091812876857295,0.02359419274436328,24,0.0510262785433597,0.004816144426380595,0.009439643075705967
feedback_hub,0.015625,0.08720014146364709,0.04691925111446263,24,0.06372913704239935,0.009577352028662035,0.01877160997617759
feedback_hub,0.03125,0.08813150688998679,0.029193279577251163,24,0.0871769367706101,0.005959053240223197,0.011679744350837466
feedback_hub,0.0625,0.08562640674381389,0.044267869261900884,24,0.07345270174979725,0.009036140974324414,0.01771083630967585
feedback_hub,0.09375,0.09752020432902914,0.04321688377417901,24,0.1024597961040167,0.008821609459992021,0.01729035454158436
feedback_hub,0.125,0.12940257609406175,0.08178774140322617,24,0.0989891604112222,0.0166948528043838,0.032721911496592246
feedback_hub,0.15625,0.1699881971570103,0.10377115115966891,24,0.15625032187923577,0.021182197530200977,0.04151710715919391
feedback_hub,0.1875,0.23011779308184702,0.13870718854564024,24,0.20131504998709304,0.028313486299403178,0.05549443314683023
feedback_hub,0.25,0.3426094216418334,0.1846693426087863,24,0.33831054432781066,0.037695471710561215,0.07388312455269998
feedback_hub,0.375,0.48741886070504714,0.18085756711234724,24,0.5031377837132122,0.036917396295534574,0.07235809673924777
feedback_hub,0.5,0.4697645982582041,0.12389427678842604,24,0.4995734331688937,0.025289813348565802,0.04956803416318897
feedback_hub,0.75,0.562264476367052,0.17709926252643618,24,0.5802824462011804,0.03615023558441423,0.07085446174545189
gpu_surrogate,0.00390625,0.04714965957107656,0.015371429036003423,24,0.04373119472207285,0.003137679812967492,0.006149852433416284
gpu_surrogate,0.0078125,0.06125153677028428,0.02492846542783682,24,0.05617254723586345,0.0050885016974009465,0.009973463326905855
gpu_surrogate,0.015625,0.08599338818605623,0.04864327755894892,24,0.06921560930946416,0.009929267453000046,0.01946136420788009
gpu_surrogate,0.03125,0.0945986279787822,0.03553186557773417,24,0.0868039165879092,0.007252911689550878,0.01421570691151972
gpu_surrogate,0.0625,0.08789141088535078,0.043842103545985806,24,0.0780609614840068,0.008949231911494186,0.017540494546528604
