variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,4,32,transition_mid,transition_mid,9601,93001288604,0.7606517672538757,0.5638173818588257,20.439449310302734,69.5,0.8955018520355225,0.1505860835313797,0.9532020688056946,0.0
primary,93001,4,32,sparse_drive,transition_mid,9601,93001288604,0.23013439774513245,0.1749199777841568,20.244136810302734,69.0,0.38343238830566406,0.3998045027256012,0.9963986277580261,0.0
primary,93001,4,32,transition_mid,transition_mid,9602,93001288605,0.3168245255947113,0.22435204684734344,20.427730560302734,69.5,0.5096737146377563,0.3783777356147766,0.8834172487258911,0.0
primary,93001,4,32,sparse_drive,transition_mid,9602,93001288605,0.22615280747413635,0.17204774916172028,20.238277435302734,69.5,0.36944812536239624,0.3878631293773651,0.998013973236084,0.0
primary,93001,4,32,transition_mid,transition_mid,9603,93001288606,0.686465322971344,0.498632550239563,20.412105560302734,69.5,0.8460010290145874,0.18857620656490326,0.9210141897201538,0.0
primary,93001,4,32,sparse_drive,transition_mid,9603,93001288606,0.2981739640235901,0.22665885090827942,20.255855560302734,69.0,0.4759240448474884,0.37348413467407227,0.996585488319397,0.0
primary,93001,4,32,transition_mid,transition_mid,9604,93001288607,0.7455891370773315,0.5441855788230896,20.421871185302734,69.5,0.8830636739730835,0.15567904710769653,0.9284562468528748,0.0
primary,93001,4,32,sparse_drive,transition_mid,9604,93001288607,0.3272921144962311,0.24726642668247223,20.269529342651367,69.0,0.5076950192451477,0.35533714294433594,0.9856270551681519,0.0
primary,93001,4,32,transition_mid,transition_mid,9605,93001288608,0.4835260212421417,0.34656569361686707,20.447261810302734,69.5,0.6941017508506775,0.30337876081466675,0.9009224772453308,0.0
primary,93001,4,32,sparse_drive,transition_mid,9605,93001288608,0.31354162096977234,0.24101045727729797,20.244138717651367,69.5,0.4899371862411499,0.3600371181964874,1.0170722007751465,0.0
primary,93001,4,32,transition_mid,transition_mid,9606,93001288609,0.36916592717170715,0.2605505883693695,20.445310592651367,70.0,0.5869629383087158,0.37105754017829895,0.8787286281585693,0.0
primary,93001,4,32,sparse_drive,transition_mid,9606,93001288609,0.32157137989997864,0.2446891963481903,20.240230560302734,69.5,0.5158779621124268,0.37665224075317383,0.9983900785446167,0.0
primary,93001,4,32,transition_mid,transition_mid,9607,93001288610,0.38017264008522034,0.2741468846797943,20.439449310302734,69.5,0.5683338046073914,0.3310750722885132,0.9099568128585815,0.0
primary,93001,4,32,sparse_drive,transition_mid,9607,93001288610,0.34953999519348145,0.2710687816143036,20.238277435302734,69.0,0.5395988821983337,0.3522225618362427,1.0339845418930054,0.0
primary,93001,4,32,transition_mid,transition_mid,9608,93001288611,0.2183295041322708,0.1542212814092636,20.498043060302734,70.0,0.37034571170806885,0.4104710817337036,0.8799003958702087,0.0
primary,93001,4,32,sparse_drive,transition_mid,9608,93001288611,0.22628970444202423,0.17152443528175354,20.240230560302734,69.0,0.36373886466026306,0.3778786361217499,0.9914642572402954,0.0
primary,93001,4,32,transition_mid,sparse_drive,9601,93001288604,0.42527955770492554,0.2892971932888031,21.955074310302734,70.0,0.6377720236778259,0.3331793546676636,0.8295825719833374,0.0
primary,93001,4,32,sparse_drive,sparse_drive,9601,93001288604,0.5410881042480469,0.41214117407798767,21.730464935302734,69.5,0.7382016777992249,0.267018586397171,1.0002273321151733,0.0
primary,93001,4,32,transition_mid,sparse_drive,9602,93001288605,0.270317405462265,0.1815219670534134,22.007810592651367,70.0,0.47208815813064575,0.4274005889892578,0.8134958148002625,0.0
primary,93001,4,32,sparse_drive,sparse_drive,9602,93001288605,0.6394420266151428,0.4792506694793701,21.695308685302734,69.5,0.8172909617424011,0.21760784089565277,0.9717733860015869,0.0
primary,93001,4,32,transition_mid,sparse_drive,9603,93001288606,0.6203910112380981,0.4219506084918976,21.929683685302734,70.0,0.8130528926849365,0.23696105182170868,0.8293680548667908,0.0
primary,93001,4,32,sparse_drive,sparse_drive,9603,93001288606,0.44151195883750916,0.3343322277069092,21.707027435302734,69.5,0.6167986989021301,0.284187912940979,0.9897222518920898,0.0
primary,93001,4,32,transition_mid,sparse_drive,9604,93001288607,0.26541668176651,0.17673489451408386,21.980464935302734,70.0,0.46377018094062805,0.4276978373527527,0.8032990097999573,0.0
primary,93001,4,32,sparse_drive,sparse_drive,9604,93001288607,0.6211651563644409,0.4702780842781067,21.703121185302734,69.5,0.8031118512153625,0.22655214369297028,0.9893622398376465,0.0
primary,93001,4,32,transition_mid,sparse_drive,9605,93001288608,0.21827268600463867,0.14581723511219025,21.923824310302734,70.0,0.3815336525440216,0.42790713906288147,0.8072144389152527,0.0
primary,93001,4,32,sparse_drive,sparse_drive,9605,93001288608,0.3321109116077423,0.24509719014167786,21.734371185302734,69.5,0.5203904509544373,0.36180436611175537,0.946068525314331,0.0
primary,93001,4,32,transition_mid,sparse_drive,9606,93001288609,0.5114753842353821,0.3576526939868927,21.886714935302734,70.0,0.7215676307678223,0.29116082191467285,0.8658449053764343,0.0
primary,93001,4,32,sparse_drive,sparse_drive,9606,93001288609,0.7001450061798096,0.531042754650116,21.699214935302734,69.5,0.8607689738273621,0.18660524487495422,0.9926156401634216,0.0
primary,93001,4,32,transition_mid,sparse_drive,9607,93001288610,0.4848441779613495,0.338279664516449,21.955074310302734,70.0,0.6924245953559875,0.2997877895832062,0.8628205060958862,0.0
primary,93001,4,32,sparse_drive,sparse_drive,9607,93001288610,0.7262027859687805,0.5487306714057922,21.728511810302734,69.5,0.878280520439148,0.17315392196178436,0.9859178066253662,0.0
primary,93001,4,32,transition_mid,sparse_drive,9608,93001288611,0.37189266085624695,0.2513417601585388,21.945308685302734,70.5,0.6048408150672913,0.3851396143436432,0.8214253187179565,0.0
primary,93001,4,32,sparse_drive,sparse_drive,9608,93001288611,0.45209813117980957,0.3367297947406769,21.714839935302734,69.5,0.6688981652259827,0.32411515712738037,0.961209237575531,0.0
