variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93004,0,32,transition_mid,transition_mid,9601,93004288613,0.2241453230381012,0.16735738515853882,20.369136810302734,69.5,0.35630884766578674,0.37092405557632446,0.9653342366218567,0.0
primary,93004,0,32,sparse_drive,transition_mid,9601,93004288613,0.37716516852378845,0.27254605293273926,20.246089935302734,70.0,0.5963031053543091,0.36749422550201416,0.9131007790565491,0.0
primary,93004,0,32,transition_mid,transition_mid,9602,93004288614,0.5815420150756836,0.4504843056201935,20.365230560302734,69.5,0.7736327648162842,0.24829703569412231,1.0318208932876587,0.0
primary,93004,0,32,sparse_drive,transition_mid,9602,93004288614,0.6940053105354309,0.5085085034370422,20.269527435302734,69.5,0.8529049754142761,0.18630412220954895,0.9345659017562866,0.0
primary,93004,0,32,transition_mid,transition_mid,9603,93004288615,0.49752721190452576,0.3621213734149933,20.394527435302734,69.5,0.6980686187744141,0.2872803807258606,0.9241234660148621,0.0
primary,93004,0,32,sparse_drive,transition_mid,9603,93004288615,0.48101064562797546,0.3473234176635742,20.291011810302734,69.5,0.661418616771698,0.2727591395378113,0.9119567275047302,0.0
primary,93004,0,32,transition_mid,transition_mid,9604,93004288616,0.4482232332229614,0.3494062125682831,20.361324310302734,69.5,0.6504931449890137,0.31094855070114136,1.044187068939209,0.0
primary,93004,0,32,sparse_drive,transition_mid,9604,93004288616,0.7663991451263428,0.5791641473770142,20.263668060302734,69.5,0.8962322473526001,0.1448654681444168,0.9861018657684326,0.0
primary,93004,0,32,transition_mid,transition_mid,9605,93004288617,0.5861208438873291,0.45010802149772644,20.351560592651367,69.5,0.759573757648468,0.22835558652877808,1.0152970552444458,0.0
primary,93004,0,32,sparse_drive,transition_mid,9605,93004288617,0.5320212244987488,0.40622350573539734,20.253902435302734,69.5,0.7338365316390991,0.2750139832496643,1.0046676397323608,0.0
primary,93004,0,32,transition_mid,transition_mid,9606,93004288618,0.5985375046730042,0.451345294713974,20.369136810302734,69.5,0.7742707133293152,0.22696615755558014,0.9823472499847412,0.0
