coupling,noise_sigma,method_label,metric,n_graphs,mean,median,ci95_low,ci95_high,positive_graphs,negative_graphs,zero_graphs,interval_scope
0.035,0.8,A_mid,rhythm_score,12,0.4171297468969391,0.42628236704816425,0.39109094641818143,0.44365548431976803,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_mid,mean_rate_hz,12,20.28444901439879,20.2792542775472,20.248871986071265,20.320432818929355,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_mid,dominant_frequency_hz,12,69.5138888888889,69.5,69.49826388888889,69.5329861111111,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_mid,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_mid,synchrony_proxy,12,0.9670204389840364,0.9649035098652046,0.9477674457399795,0.9869611041982552,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_mid,spectral_concentration,12,0.7309766273117727,0.7411558528741201,0.7003681666942105,0.7615403733914718,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_mid,spectral_entropy,12,0.25105951907527113,0.24565708419928944,0.23440212350364562,0.2676811959633293,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_pool,rhythm_score,12,0.36053601732581025,0.3710152862283091,0.3376129761351168,0.3826363521143018,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_pool,mean_rate_hz,12,20.309541251924305,20.302976608276367,20.26716251472632,20.352999795807737,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_pool,dominant_frequency_hz,12,69.46354166666667,69.51041666666666,69.37500000000001,69.54340277777779,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_pool,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_pool,synchrony_proxy,12,0.9641518483145369,0.9618269478281338,0.9458904374183879,0.9827194726715486,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_pool,spectral_concentration,12,0.6628506015986204,0.668776619558533,0.6306651417812745,0.6931258129939022,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_pool,spectral_entropy,12,0.28736656112596387,0.2818375748271743,0.2716415844120395,0.30340060246073536,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_shared,rhythm_score,12,0.39950798405334353,0.3973559948305289,0.3719952068757266,0.4263468364085484,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_shared,mean_rate_hz,12,20.282875670327083,20.282265305519104,20.236122088796563,20.333753049539194,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_shared,dominant_frequency_hz,12,69.4861111111111,69.5,69.45833333333334,69.50868055555556,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_shared,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_shared,synchrony_proxy,12,0.9338485025283364,0.9317214700082939,0.9167681079409604,0.9499383409197133,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_shared,spectral_concentration,12,0.7208188730809423,0.7332949290672939,0.6843421030091122,0.7550690737604682,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_shared,spectral_entropy,12,0.2568050676491111,0.2555197536324461,0.23919726105264597,0.27445360565519267,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_sparse,rhythm_score,12,0.32871453981432647,0.31235854079325986,0.2980038689410624,0.36251494549085483,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_sparse,mean_rate_hz,12,20.288490917947556,20.271156907081604,20.23338635083702,20.34488808049096,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_sparse,dominant_frequency_hz,12,69.35416666666667,69.36458333333334,69.27430555555556,69.42534722222223,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_sparse,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_sparse,synchrony_proxy,12,0.9676268386344115,0.9807609990239143,0.9457482404696446,0.9875663455989625,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_sparse,spectral_concentration,12,0.6223281055895818,0.5999406930059195,0.5814576908066456,0.6677012865897269,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,A_sparse,spectral_entropy,12,0.30865790405207205,0.32312754510591424,0.28495607200828893,0.32979098368668935,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,shared_random,rhythm_score,12,0.24276063003991208,0.23127250218143064,0.2203326900450823,0.26705240868355345,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,shared_random,mean_rate_hz,12,19.86164495680067,19.85147921244303,19.817183727688256,19.909158113267686,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,shared_random,dominant_frequency_hz,12,69.55555555555554,69.51041666666666,69.51215277777779,69.62152777777779,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,shared_random,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,0.8,shared_random,synchrony_proxy,12,0.6668779618210263,0.6620215016106765,0.6504460253080147,0.6840377670712768,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,shared_random,spectral_concentration,12,0.6350812336636914,0.6464271154254675,0.594080986493888,0.6756293287448998,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,shared_random,spectral_entropy,12,0.3660435420460999,0.3743992801755667,0.3433590933201938,0.38773459329580273,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,spectral,rhythm_score,12,0.3358055376447737,0.3381658994282285,0.32423521559814816,0.3477770418653057,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,spectral,mean_rate_hz,12,20.32418969604704,20.32108370463053,20.28766219566266,20.367207443548573,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,spectral,dominant_frequency_hz,12,69.34895833333333,69.34375,69.27777777777779,69.41840277777776,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,spectral,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,0.8,spectral,synchrony_proxy,12,1.0215362300061517,1.0307903724412122,1.0044314190176211,1.0366610345534155,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,spectral,spectral_concentration,12,0.6212227429366773,0.6269642052551111,0.6032756996237569,0.6395938399816967,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,0.8,spectral,spectral_entropy,12,0.31113250165556866,0.31308287040640903,0.30190369344652723,0.32033067538997984,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_mid,rhythm_score,12,0.40884478907618255,0.40575967511783045,0.3859684769348759,0.43144459936819546,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_mid,mean_rate_hz,12,20.29730033212238,20.289467453956604,20.261262130571737,20.334030447569155,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_mid,dominant_frequency_hz,12,69.52083333333334,69.51041666666666,69.50694444444444,69.53645833333333,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_mid,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_mid,synchrony_proxy,12,0.941641857019729,0.9392853366831939,0.9250080181751399,0.958685904674025,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_mid,spectral_concentration,12,0.7288488171373805,0.7290393207222223,0.7031250914920948,0.7542192966004626,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_mid,spectral_entropy,12,0.25379352944178707,0.25504473038017744,0.24078934462352966,0.267209175743887,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_pool,rhythm_score,12,0.3676800919282768,0.3650837220872442,0.332682705246326,0.4022168266354129,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_pool,mean_rate_hz,12,20.319781561692558,20.31807259718577,20.278121546904245,20.362520863115787,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_pool,dominant_frequency_hz,12,69.47222222222223,69.5,69.41840277777779,69.51736111111111,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_pool,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_pool,synchrony_proxy,12,0.9512936872326665,0.9467861826221149,0.9362168493577177,0.9666314035964509,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_pool,spectral_concentration,12,0.6736179888248445,0.6828503490736088,0.6271881544884915,0.7184124041089995,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_pool,spectral_entropy,12,0.27989410968600875,0.2788795201728741,0.2571274436027225,0.3025442748045962,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_shared,rhythm_score,12,0.4046218521220402,0.4090154501609504,0.3826659658897875,0.424207826672096,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_shared,mean_rate_hz,12,20.295984678798252,20.29459444681803,20.249970444209048,20.34610538582007,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_shared,dominant_frequency_hz,12,69.50347222222224,69.51041666666666,69.48090277777779,69.52256944444444,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_shared,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_shared,synchrony_proxy,12,0.9167211825648943,0.9172631862262884,0.9011646498615543,0.9318085553641948,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_shared,spectral_concentration,12,0.7345623227043284,0.74421081195275,0.7039405065433432,0.7611238397062859,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_shared,spectral_entropy,12,0.25155336135584444,0.250161410930256,0.2379252902969407,0.2665583730520059,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,rhythm_score,12,0.350796393946641,0.34144194765637315,0.3124229619059608,0.38966407369718775,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,mean_rate_hz,12,20.311216347747376,20.303912480672203,20.256290810803574,20.36724763860305,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,dominant_frequency_hz,12,69.41666666666664,69.47916666666667,69.35763888888889,69.47048611111111,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,synchrony_proxy,12,0.9458048182229203,0.955855363359054,0.9268204396487111,0.9627340827137232,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,spectral_concentration,12,0.6558792349985905,0.638803519308567,0.6052000165451318,0.706190854176465,12,0,0,pointwise; descriptive; no cell-wise tests
