complexity_fraction,synchrony_proxy_mean,synchrony_proxy_std,synchrony_proxy_n,synchrony_proxy_sem,synchrony_proxy_ci95,source_fraction_column,semantic_fraction_name,aggregation_scope
0.0,5.787729036402821,2.588474600502499,1360,0.07018987251737129,0.13757215013404772,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.005,4.06424137141577,1.5951894073601636,1344,0.043512358375117244,0.0852842224152298,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.01,3.206056026870685,1.3224992106147768,1344,0.03607412344739024,0.07070528195688487,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.02,2.7122808060615426,1.1634991492803597,1360,0.031549800390625674,0.06183760876562632,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.03,2.2053658834739056,1.014172160709551,1344,0.027663813655764508,0.05422107476529844,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.05,1.6629505294564724,0.8091683738767019,1360,0.02194165822468131,0.04300565012037537,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.08,1.2586864373120537,0.5942257210001216,1344,0.016208835395075998,0.03176931737434895,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.1,1.0208272780574439,0.14400995899197566,16,0.036002489747993915,0.07056487990606808,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.12,0.9748301690253608,0.4129113041058512,1344,0.011263079204571388,0.022075635240959922,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.2,0.8660777045881749,0.35103699509458886,1344,0.009575319058040448,0.01876762535375928,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.25,1.1243561597601952,0.2564682263203528,16,0.0641170565800882,0.12566943089697288,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.35,1.101876488125798,0.431972677901718,1344,0.011783020801413099,0.023094720770769673,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.6,1.5396819688587378,0.4901916500406278,1344,0.013371073460395714,0.0262073039823756,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
1.0,2.1201455745039484,0.3430631617321935,1344,0.009357814921361037,0.01834131724586763,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
