variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,19,32,transition_mid,transition_mid,9601,93003288610,0.638623058795929,0.4634222686290741,20.251949310302734,69.5,0.802699625492096,0.20440594851970673,0.9194952845573425,0.0
primary,93003,19,32,sparse_drive,transition_mid,9601,93003288610,0.616969883441925,0.44220155477523804,20.306636810302734,69.5,0.7966107726097107,0.2255064845085144,0.9008904099464417,0.0
primary,93003,19,32,transition_mid,transition_mid,9602,93003288611,0.7359309792518616,0.5572259426116943,20.267574310302734,69.5,0.8803218603134155,0.16402055323123932,0.9895526766777039,0.0
primary,93003,19,32,sparse_drive,transition_mid,9602,93003288611,0.5553063750267029,0.4134364128112793,20.279293060302734,69.5,0.7567038536071777,0.2661510109901428,0.960544228553772,0.0
primary,93003,19,32,transition_mid,transition_mid,9603,93003288612,0.5859125852584839,0.43856197595596313,20.279293060302734,69.5,0.768093466758728,0.23718583583831787,0.9695600867271423,0.0
primary,93003,19,32,sparse_drive,transition_mid,9603,93003288612,0.7523451447486877,0.5385526418685913,20.291011810302734,69.5,0.8916167616844177,0.15620116889476776,0.8990436792373657,0.0
primary,93003,19,32,transition_mid,transition_mid,9604,93003288613,0.6613834500312805,0.4872145652770996,20.248043060302734,69.5,0.8312988877296448,0.20439757406711578,0.9431360363960266,0.0
primary,93003,19,32,sparse_drive,transition_mid,9604,93003288613,0.4857935905456543,0.3612390160560608,20.287105560302734,69.5,0.6912476420402527,0.2972220778465271,0.9584976434707642,0.0
primary,93003,19,32,transition_mid,transition_mid,9605,93003288614,0.6475085020065308,0.4820140302181244,20.255855560302734,69.5,0.8254781365394592,0.21559587121009827,0.9603062272071838,0.0
primary,93003,19,32,sparse_drive,transition_mid,9605,93003288614,0.38017627596855164,0.28359752893447876,20.289058685302734,69.5,0.5665030479431152,0.3289068639278412,0.9637914896011353,0.0
primary,93003,19,32,transition_mid,transition_mid,9606,93003288615,0.7308151125907898,0.5510255098342896,20.255855560302734,69.5,0.8725016117095947,0.16239112615585327,0.9821324348449707,0.0
primary,93003,19,32,sparse_drive,transition_mid,9606,93003288615,0.5067750811576843,0.37974923849105835,20.248043060302734,69.5,0.7101249694824219,0.28635790944099426,0.9714588522911072,0.0
primary,93003,19,32,transition_mid,transition_mid,9607,93003288616,0.6229479312896729,0.4539380371570587,20.259761810302734,69.5,0.7917472124099731,0.2131984680891037,0.9259358048439026,0.0
primary,93003,19,32,sparse_drive,transition_mid,9607,93003288616,0.5349327921867371,0.38847073912620544,20.312496185302734,69.5,0.7198054194450378,0.2568369507789612,0.9206499457359314,0.0
