graph_seed,graph_id,Jaccard_shared_mid,Jaccard_shared_sparse,distance_shared_mid,distance_shared_sparse,overlap_mid_minus_sparse,overlap_shared_mid_nodes,overlap_shared_sparse_nodes,shared_mask_key,mid_mask_key,sparse_mask_key,source_freeze_sha256
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.45454545454545453,0.5238095238095238,0.5454545454545454,0.47619047619047616,-0.0692640692640693,20,22,"0,1,2,3,4,5,6,7,8,10,11,12,13,15,16,17,20,21,22,23,24,25,26,29,30,31,32,36,116,182,185,219","1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,22,23,24,25,28,31,32,36,112,146,156,183,210,223,235","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,26,28,30,31,32,33,38,40,59,100,121",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.5609756097560976,0.6,0.4390243902439024,0.4,-0.03902439024390236,23,24,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,22,23,24,25,29,30,31,34,36,43,72,190,236","1,2,3,4,5,6,7,8,10,11,13,15,16,17,18,20,22,23,24,25,29,30,34,36,40,43,61,63,93,138,160,162","0,1,3,4,5,6,7,8,9,10,12,13,14,16,17,18,19,21,23,24,25,27,29,30,34,36,43,47,66,85,139,184",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93003,scale_free-N256-p005-seed93003-sha256:234d7bf6ac0d51fcfd36f56ea32e89c4bb71b469da7a8b37011291c6a2093fb2,0.4883720930232558,0.5238095238095238,0.5116279069767442,0.47619047619047616,-0.03543743078626804,21,22,"0,1,2,3,4,6,7,8,11,13,14,15,17,18,19,20,21,22,23,24,28,33,35,36,37,38,45,46,64,102,122,239","1,2,3,4,5,7,8,10,11,12,13,15,16,17,19,20,21,22,23,24,28,31,33,36,37,42,45,57,59,91,173,221","0,1,2,3,5,7,8,10,11,12,13,14,16,17,18,19,20,21,22,23,24,28,31,36,37,45,46,141,169,172,181,217",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.6,0.6,0.4,0.4,0.0,24,24,"0,1,2,3,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,25,28,29,33,35,37,38,41,155,217","0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,28,32,37,38,71,91,169,187","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,22,24,25,29,32,35,37,38,70,116,149,196",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.5609756097560976,0.4222222222222222,0.4390243902439024,0.5777777777777777,0.1387533875338754,23,19,"0,1,2,3,4,5,10,11,12,13,14,15,16,17,18,19,20,21,23,25,27,29,30,32,43,55,86,89,99,107,116,170","0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19,20,21,23,25,26,27,29,30,31,32,41,145,171,246","0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24,26,27,28,29,30,31,64,67,71,230",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93006,scale_free-N256-p005-seed93006-sha256:4a4f3367e92d3222badd09d0aa9b0e591269dc9063366e3cfdd8e55cb612f80c,0.4222222222222222,0.391304347826087,0.5777777777777777,0.6086956521739131,0.030917874396135248,19,18,"0,1,2,3,5,7,8,11,12,13,14,15,17,18,19,20,22,23,24,25,27,28,31,36,38,42,52,61,116,121,136,209","0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,22,23,25,27,29,31,39,41,42,59,118,215,232","2,3,4,5,6,7,8,9,11,12,13,15,16,17,18,22,23,25,27,28,29,31,39,41,42,51,59,72,107,114,182,201",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93007,scale_free-N256-p005-seed93007-sha256:1ced4f9584caffc9f54640b78134e83add21c471e07d0ec04a80db4ed9ab4e88,0.6,0.45454545454545453,0.4,0.5454545454545454,0.14545454545454545,24,20,"0,3,4,6,8,9,10,12,13,14,16,17,19,20,21,22,23,24,25,26,28,29,30,31,33,34,63,99,110,115,237,241","0,2,3,4,6,7,8,9,10,11,12,13,15,16,17,19,20,21,22,23,24,25,26,28,29,31,33,34,36,64,139,183","1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,24,26,29,31,32,34,41,48,81,166,238",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93008,scale_free-N256-p005-seed93008-sha256:05f60c2c1c660bea8e1cece98b3ce850f1b691cdba1f27b3410c1d5838c97dba,0.5238095238095238,0.6410256410256411,0.47619047619047616,0.3589743589743589,-0.11721611721611724,22,25,"1,2,4,5,6,7,8,9,12,13,14,16,17,18,19,21,22,23,25,27,28,29,30,32,34,43,54,58,64,219,222,226","0,1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,27,28,29,32,34,69,114,146,186","0,1,2,3,5,6,7,8,9,10,12,13,14,16,17,18,19,21,22,23,25,27,28,29,30,32,34,39,58,69,123,252",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93009,scale_free-N256-p005-seed93009-sha256:c4651732bb417b95e053fd5e0202728c1b4c9b780895450248d0c8fdeef0a19f,0.45454545454545453,0.6,0.5454545454545454,0.4,-0.14545454545454545,20,24,"0,1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,21,22,26,28,29,30,31,33,72,120,205,221,222,245","0,1,2,3,4,5,7,8,9,11,12,13,14,16,17,19,20,22,24,25,28,29,30,31,33,40,42,49,65,125,150,183","0,1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,21,22,24,26,28,29,30,31,32,75,170,193,220,224",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
93010,scale_free-N256-p005-seed93010-sha256:d05569bee043f50eae7b4edce69e432391fd5e2042faf0bd016ac63a74e652da,0.391304347826087,0.4883720930232558,0.6086956521739131,0.5116279069767442,-0.09706774519716882,18,21,"0,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,29,35,41,51,106,110,116,119,155,188","0,1,2,3,4,6,7,8,10,12,14,15,16,17,18,19,21,22,23,24,25,27,29,30,38,49,68,85,97,108,162,167","0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,19,20,21,22,23,24,25,26,27,29,30,38,223,224,255",81686af6b38f8d9a1c1ebe8841618a13013e913beccb3b91e1610e461b8599c2
