repeat,delta_before,delta_after,n_test,n_test_experiments,definition,endpoint
0,-0.0341257544357087,-0.0179991459378081,122,63,primary_shared,psp_amplitude
1,0.0206906567201661,-0.0017173650714681,147,63,primary_shared,psp_amplitude
2,0.0619351133168295,-0.0008717925207892,113,63,primary_shared,psp_amplitude
3,0.0202168766825747,-0.0001250307579026,115,63,primary_shared,psp_amplitude
4,0.0702398768683507,-0.0005126051760642,125,63,primary_shared,psp_amplitude
5,0.0495235921426886,-0.0005112974193098,154,63,primary_shared,psp_amplitude
6,0.043171551619471,-0.0034048588109585,116,63,primary_shared,psp_amplitude
7,-0.0151295833914388,-0.010985935075096,125,63,primary_shared,psp_amplitude
8,0.0243689710482504,-0.0020697149993345,142,63,primary_shared,psp_amplitude
9,0.1024108363006339,-0.0024057165230184,116,63,primary_shared,psp_amplitude
10,0.0279878791973793,-0.0007347659971251,112,63,primary_shared,psp_amplitude
11,0.069425507842792,7.384830698342615e-05,118,63,primary_shared,psp_amplitude
12,0.0997566969033001,-0.0018036391789973,100,63,primary_shared,psp_amplitude
13,0.0209958642769462,-0.0024971286941829,112,63,primary_shared,psp_amplitude
14,-0.0063264604462974,-0.003376365702343,136,63,primary_shared,psp_amplitude
15,0.0537198118407405,-0.0003104061856915,106,63,primary_shared,psp_amplitude
16,0.0204935813890165,-0.0036656660165778,129,63,primary_shared,psp_amplitude
17,0.0382387183659373,8.121544606864983e-05,113,63,primary_shared,psp_amplitude
18,0.1226250864938059,-0.0100706452923872,105,63,primary_shared,psp_amplitude
19,0.0202664107162915,0.0002335541005605,113,63,primary_shared,psp_amplitude
20,0.041467095311437,-0.0047249620446212,120,63,primary_shared,psp_amplitude
21,0.0417538204715068,-0.0007092625852788,128,63,primary_shared,psp_amplitude
22,-0.0443726684469241,-0.0011804812475769,130,63,primary_shared,psp_amplitude
23,-0.0091455768426329,-0.0001667580301455,104,63,primary_shared,psp_amplitude
24,0.1323589056299466,-0.0083052137407386,106,63,primary_shared,psp_amplitude
25,0.0962773563048841,-0.0089998345380142,131,63,primary_shared,psp_amplitude
26,0.0453406296753502,-0.000514682466063,106,63,primary_shared,psp_amplitude
27,0.0718240339694697,-0.0002270976981504,92,63,primary_shared,psp_amplitude
28,0.0420438081255443,6.256982594732285e-05,129,63,primary_shared,psp_amplitude
29,0.0164435844238135,-0.0001994069034414,96,63,primary_shared,psp_amplitude
0,0.0855474614847549,0.0047612281812151,113,58,primary_shared,psc_amplitude
1,0.0912832232362128,-0.0029352137531259,115,58,primary_shared,psc_amplitude
2,0.0207481217072101,-0.027194669791009,126,58,primary_shared,psc_amplitude
3,0.1188549032812184,0.0034599758989527,120,58,primary_shared,psc_amplitude
4,0.1065805282686701,0.0116208922406079,119,58,primary_shared,psc_amplitude
5,0.0647310892508538,-0.0057762567283157,104,58,primary_shared,psc_amplitude
6,0.0964819760930895,0.0064479634901534,131,58,primary_shared,psc_amplitude
7,0.0924245791931468,0.0052931947235055,112,58,primary_shared,psc_amplitude
8,0.0069803475892802,-0.002242366291435,117,58,primary_shared,psc_amplitude
9,0.0784296573788208,0.0093979970584427,132,58,primary_shared,psc_amplitude
10,0.0362256049816828,0.0045425341876235,109,58,primary_shared,psc_amplitude
11,0.0695645615009865,0.0045117933588587,105,58,primary_shared,psc_amplitude
12,0.1424459138971118,0.0104812237181755,110,58,primary_shared,psc_amplitude
13,0.0750009064515938,0.0021109281770159,102,58,primary_shared,psc_amplitude
14,0.0826071017079039,0.0065947846482022,115,58,primary_shared,psc_amplitude
15,0.0829721838048055,0.0067222966941236,118,58,primary_shared,psc_amplitude
16,0.0498096653036227,0.0019887393424949,132,58,primary_shared,psc_amplitude
17,0.0620931215082224,0.0065008813720081,105,58,primary_shared,psc_amplitude
18,-0.0047546030954326,-0.0390336834076191,106,58,primary_shared,psc_amplitude
19,-0.0263186907206305,-0.0054135284281169,96,58,primary_shared,psc_amplitude
20,0.0166307111894294,0.002016055533262,102,58,primary_shared,psc_amplitude
21,0.0915796230759905,0.004999960976432,103,58,primary_shared,psc_amplitude
22,0.0357077931024721,-0.0007861073938431,122,58,primary_shared,psc_amplitude
23,0.035876106160435,-0.0046959629243032,107,58,primary_shared,psc_amplitude
24,0.0260279679890433,-0.0008469456484316,135,58,primary_shared,psc_amplitude
25,0.0642060589042925,-6.831206330282225e-05,99,58,primary_shared,psc_amplitude
26,0.0456097706464906,-0.0035483376464899,118,58,primary_shared,psc_amplitude
27,0.1142486005581644,0.0075148126494155,112,58,primary_shared,psc_amplitude
28,0.0763563101899666,0.0003646309219502,109,58,primary_shared,psc_amplitude
29,0.085502159880046,0.0068930934154456,95,58,primary_shared,psc_amplitude
0,0.0015341195047599,-0.0010042585376391,154,64,primary_shared,G_norm_50hz
1,-0.0018742334276353,-7.96758813950138e-05,110,64,primary_shared,G_norm_50hz
2,0.0001121201600592,-0.0001414290348022,131,64,primary_shared,G_norm_50hz
3,0.002940747583727,-0.0002432538357995,129,64,primary_shared,G_norm_50hz
4,-0.0010309389122747,2.822083643438944e-06,125,64,primary_shared,G_norm_50hz
5,0.0070398439161778,4.574619951158709e-05,134,64,primary_shared,G_norm_50hz
6,0.0004548754494325,-0.0033299422443823,137,64,primary_shared,G_norm_50hz
7,-0.0025449827942778,0.0004160304074907,137,64,primary_shared,G_norm_50hz
8,-0.0002963938055023,-0.0010579593121466,124,64,primary_shared,G_norm_50hz
9,0.0039649622756071,8.033130677853606e-05,125,64,primary_shared,G_norm_50hz
10,0.003548110154116,-4.479342863272784e-05,121,64,primary_shared,G_norm_50hz
11,-0.0023663374494319,-0.0001264376610226,129,64,primary_shared,G_norm_50hz
12,-0.0026605121910809,8.659248379605522e-05,108,64,primary_shared,G_norm_50hz
13,-0.0023055646363088,-0.0009941187745987,131,64,primary_shared,G_norm_50hz
14,0.0007423717714878,-0.0010270911996964,126,64,primary_shared,G_norm_50hz
15,0.0027744306722822,1.3148306760135677e-05,103,64,primary_shared,G_norm_50hz
16,0.0016869069882181,-0.000335645699839,123,64,primary_shared,G_norm_50hz
17,-0.0121841645502247,-0.0035190884306861,120,64,primary_shared,G_norm_50hz
18,0.0015394935792468,-0.0024085836510561,123,64,primary_shared,G_norm_50hz
19,0.0051578116918544,-0.0298782993444333,136,64,primary_shared,G_norm_50hz
20,0.0028900677492371,-0.0001414747706097,98,64,primary_shared,G_norm_50hz
21,0.0020340322842415,-5.52008699284956e-05,137,64,primary_shared,G_norm_50hz
22,0.0033803641582996,-0.0001478373046774,116,64,primary_shared,G_norm_50hz
23,-0.2702737391695233,-0.1278436804376994,113,64,primary_shared,G_norm_50hz
24,-0.0199692684999093,-0.0460032398637326,121,64,primary_shared,G_norm_50hz
25,0.0054204985036828,-0.0013072431731484,108,64,primary_shared,G_norm_50hz
26,0.0016735838527842,-0.0003449650467752,121,64,primary_shared,G_norm_50hz
27,0.0036563534955186,0.0004879598939478,107,64,primary_shared,G_norm_50hz
28,0.001185194130243,7.830667985353479e-05,129,64,primary_shared,G_norm_50hz
29,-0.0038127689972486,-0.0009918654262086,117,64,primary_shared,G_norm_50hz
0,0.0589103481912153,-0.0055182712133213,107,68,protocol_conservative,psp_amplitude
1,0.0312467247075425,-0.0085074919763442,133,68,protocol_conservative,psp_amplitude
2,0.0380939522844181,0.0002922074880251,135,68,protocol_conservative,psp_amplitude
3,-0.0542364988791843,0.0008057867117037,129,68,protocol_conservative,psp_amplitude
4,0.0216770145812434,-0.013175589038888,137,68,protocol_conservative,psp_amplitude
5,0.0010628848018467,-0.0017048469186168,155,68,protocol_conservative,psp_amplitude
6,0.011347375953099,0.0076319176347118,126,68,protocol_conservative,psp_amplitude
7,0.0011961740612456,0.0038200529614261,125,68,protocol_conservative,psp_amplitude
8,0.0167413664350781,-0.0040730070616703,131,68,protocol_conservative,psp_amplitude
9,-0.0394924000520049,0.0032606899711874,120,68,protocol_conservative,psp_amplitude
10,0.0453407087029232,0.0001444577325574,134,68,protocol_conservative,psp_amplitude
11,-0.0008965112813419,0.0027968093942585,139,68,protocol_conservative,psp_amplitude
12,-0.0033817871216275,-0.0040397034630514,128,68,protocol_conservative,psp_amplitude
13,0.0221260497293883,-0.0039142939870949,134,68,protocol_conservative,psp_amplitude
14,0.0138575159011868,0.0011855426704341,129,68,protocol_conservative,psp_amplitude
15,0.0033791741821382,0.0026815970842382,125,68,protocol_conservative,psp_amplitude
16,0.0318027377666915,0.0035802634474783,136,68,protocol_conservative,psp_amplitude
17,0.0015613261837772,0.0003997009865026,125,68,protocol_conservative,psp_amplitude
18,0.0106679393562099,0.0011520257576856,131,68,protocol_conservative,psp_amplitude
19,0.0210591890770919,0.0012697056971908,134,68,protocol_conservative,psp_amplitude
20,0.0375006001977357,-0.003296588680938,126,68,protocol_conservative,psp_amplitude
21,0.0228577909615717,-0.0023677698620032,131,68,protocol_conservative,psp_amplitude
22,0.0155461413295625,0.0013680021145388,140,68,protocol_conservative,psp_amplitude
23,0.029618417448721,-0.0062111484477813,142,68,protocol_conservative,psp_amplitude
24,0.0226375715546538,-0.0057551782403061,128,68,protocol_conservative,psp_amplitude
25,-0.0147292718595076,0.0041690270560326,132,68,protocol_conservative,psp_amplitude
26,0.0114983455129074,8.0201954664183e-06,153,68,protocol_conservative,psp_amplitude
27,0.016255618633747,0.0009692698492208,157,68,protocol_conservative,psp_amplitude
28,-0.0167478446464542,0.0038157488217438,120,68,protocol_conservative,psp_amplitude
29,0.0257597730011287,0.0029862252151362,122,68,protocol_conservative,psp_amplitude
0,0.0321036733029028,-0.0002612445089584,123,63,protocol_conservative,psc_amplitude
1,0.0693763965225685,-0.0141295477822473,141,63,protocol_conservative,psc_amplitude
2,0.071781894316218,-0.0007360808304366,125,63,protocol_conservative,psc_amplitude
3,-0.0174118672759207,-0.0140028216527243,113,63,protocol_conservative,psc_amplitude
4,0.1235865649282945,-0.0060350060756675,117,63,protocol_conservative,psc_amplitude
5,-0.0240145982994326,-0.0123627964312466,130,63,protocol_conservative,psc_amplitude
6,0.0168687335635073,-0.0085331571788195,122,63,protocol_conservative,psc_amplitude
7,0.050658248088276,-0.0003999146468738,117,63,protocol_conservative,psc_amplitude
8,-0.015854494974004,-0.0095995067085025,103,63,protocol_conservative,psc_amplitude
9,0.0857418318458677,-0.004448402135788,113,63,protocol_conservative,psc_amplitude
10,0.0759392618728489,-0.0157432901616949,105,63,protocol_conservative,psc_amplitude
11,0.0687640493945461,-0.021870421428666,134,63,protocol_conservative,psc_amplitude
12,0.0149001877606054,-0.0028820253837151,134,63,protocol_conservative,psc_amplitude
13,0.0202506300269226,-0.0005304838427406,129,63,protocol_conservative,psc_amplitude
14,-0.0011051302017425,-0.0016157057952622,142,63,protocol_conservative,psc_amplitude
15,-0.0005794170763171,-0.004037330214491,118,63,protocol_conservative,psc_amplitude
16,-0.0057913722032671,-0.0080877737463033,91,63,protocol_conservative,psc_amplitude
17,0.0563634860671604,-0.0045027117718234,118,63,protocol_conservative,psc_amplitude
18,0.0740709670569177,-0.004512796415183,121,63,protocol_conservative,psc_amplitude
19,-0.0040842524419828,-0.0066283754978428,131,63,protocol_conservative,psc_amplitude
20,-0.0107670765523187,-0.0173065754507414,126,63,protocol_conservative,psc_amplitude
21,0.0004747388367749,-0.0005147453016958,111,63,protocol_conservative,psc_amplitude
22,0.0661467356595845,-0.0010567846727767,133,63,protocol_conservative,psc_amplitude
23,0.0683872655869983,0.0001309537186999,141,63,protocol_conservative,psc_amplitude
24,0.0376520356444067,-0.0002272020135483,123,63,protocol_conservative,psc_amplitude
25,0.0516032435734745,-8.863721711693806e-05,119,63,protocol_conservative,psc_amplitude
26,-0.0102511662185142,-0.0023083466332225,118,63,protocol_conservative,psc_amplitude
27,0.0314432655730743,-0.0003834927215478,114,63,protocol_conservative,psc_amplitude
28,-0.0142015593464807,-0.0038908468598458,112,63,protocol_conservative,psc_amplitude
29,0.0721547017954644,-0.0017781169087045,127,63,protocol_conservative,psc_amplitude
0,0.0005744479517327,-0.0051178615661234,144,66,protocol_conservative,G_norm_50hz
1,-0.0058392135449611,-0.0090058755691638,120,66,protocol_conservative,G_norm_50hz
2,-0.0069935653287024,-0.0069510262557787,122,66,protocol_conservative,G_norm_50hz
3,-0.0230429421981441,-0.0070096765174212,110,66,protocol_conservative,G_norm_50hz
4,-0.0143300638035535,-0.0266292581237852,132,66,protocol_conservative,G_norm_50hz
5,0.0006096228285853,-0.0010094307415789,122,66,protocol_conservative,G_norm_50hz
6,-0.0022548584542337,0.0003417062451954,123,66,protocol_conservative,G_norm_50hz
7,-0.0112795881515262,-0.0227479620178894,139,66,protocol_conservative,G_norm_50hz
8,0.0003685799180394,-0.0001215996030704,121,66,protocol_conservative,G_norm_50hz
9,-5.848646241846112e-05,9.789907820145773e-05,127,66,protocol_conservative,G_norm_50hz
10,-0.0002462256279371,0.0003767308143381,120,66,protocol_conservative,G_norm_50hz
11,-0.0028231096046966,0.0001696321963278,126,66,protocol_conservative,G_norm_50hz
12,-0.0029069152973486,0.0001565061296663,125,66,protocol_conservative,G_norm_50hz
13,-0.0002483950930743,-0.0016629852745145,131,66,protocol_conservative,G_norm_50hz
14,-0.0045104334294024,-0.0017216650840518,99,66,protocol_conservative,G_norm_50hz
15,-6.142018447874431e-05,-0.0007214634768684,128,66,protocol_conservative,G_norm_50hz
16,-0.0065593061976746,-0.0007861469808804,129,66,protocol_conservative,G_norm_50hz
17,-0.0007488835910849,0.0002796523515625,121,66,protocol_conservative,G_norm_50hz
18,-0.0050427681526978,-0.0036190474998136,121,66,protocol_conservative,G_norm_50hz
19,-0.0045530820008861,0.0023062069715955,110,66,protocol_conservative,G_norm_50hz
20,-0.0015383217862452,-0.0010565745422506,122,66,protocol_conservative,G_norm_50hz
21,0.0004711279976736,0.0001268036553848,133,66,protocol_conservative,G_norm_50hz
22,-0.0115476600073474,-0.0056710514159823,131,66,protocol_conservative,G_norm_50hz
23,0.0002265344772058,-0.0034062047842714,133,66,protocol_conservative,G_norm_50hz
24,-0.0039191009960519,-9.988806708316478e-05,121,66,protocol_conservative,G_norm_50hz
25,4.054356056515385e-05,9.379301763445812e-05,140,66,protocol_conservative,G_norm_50hz
26,0.0003294898151356,-0.0012847275466145,111,66,protocol_conservative,G_norm_50hz
27,0.0001570611193344,-0.0191295129944809,122,66,protocol_conservative,G_norm_50hz
28,-0.0095891826514075,-0.0092163755226712,144,66,protocol_conservative,G_norm_50hz
29,0.0001959134355579,0.0003841636650349,110,66,protocol_conservative,G_norm_50hz
