repeat,delta_before,delta_after,n_test,n_test_experiments,definition,endpoint
0,0.0045210313264975,0.0003211674304626,2468,197,primary_shared,connection
1,0.0082025007986755,0.0009406913492937,2513,197,primary_shared,connection
2,0.0051259225400063,-0.0003862512823057,2444,197,primary_shared,connection
3,0.0105057165783294,0.0009953176197282,2535,197,primary_shared,connection
4,0.0058196145265101,8.692224668105375e-05,2706,197,primary_shared,connection
5,0.0063762775372603,0.0007152237190806,2626,197,primary_shared,connection
6,0.0048994291003347,0.00101292725708,2507,197,primary_shared,connection
7,0.0076112853969002,0.0007585308833986,2495,197,primary_shared,connection
8,0.003506422082773,-0.0005940623159298,2354,197,primary_shared,connection
9,0.0026236867083306,6.158222132743307e-05,2595,197,primary_shared,connection
10,0.0032363576723505,0.0002881594646042,2452,197,primary_shared,connection
11,0.0036573977174971,-0.0004493427356229,2650,197,primary_shared,connection
12,0.0061265495680299,0.0006219695942457,2530,197,primary_shared,connection
13,0.0033001737720282,-3.5713919480595546e-05,2637,197,primary_shared,connection
14,0.0006156924536381,-0.000217567987451,2485,197,primary_shared,connection
15,0.006126261130506,0.000760293523914,2469,197,primary_shared,connection
16,0.0047751111680836,-0.0002372906402591,2803,197,primary_shared,connection
17,0.0042084518534594,0.0005531646345878,2419,197,primary_shared,connection
18,0.0049467235019124,0.0005264134694968,2458,197,primary_shared,connection
19,0.0049586961384799,-0.0012152436281973,2575,197,primary_shared,connection
20,0.0035281476631972,-0.0007782113809182,2648,197,primary_shared,connection
21,5.818967138310205e-05,0.0006578234178069,2296,197,primary_shared,connection
22,0.0065024022117841,0.001042303244397,2375,197,primary_shared,connection
23,0.0046892161222373,0.0006650390515388,2635,197,primary_shared,connection
24,-7.486465922912355e-06,-0.0010608611565001,2682,197,primary_shared,connection
25,0.004180339703066,0.0001644290925386,2411,197,primary_shared,connection
26,0.0057795613086582,0.0006341719575169,2575,197,primary_shared,connection
27,0.0045738763276414,-0.0003162016388447,2749,197,primary_shared,connection
28,0.002099112287116,0.0007280556892722,2601,197,primary_shared,connection
29,0.0082513827896185,0.0003846693732228,2744,197,primary_shared,connection
0,0.0037532644440342,-0.0001647224715116,2867,204,protocol_conservative,connection
1,0.001496052722498,-0.0007318942922422,2959,204,protocol_conservative,connection
2,0.0045499174428447,0.000435802308105,2651,204,protocol_conservative,connection
3,0.003621425656354,0.0003633637903824,2977,204,protocol_conservative,connection
4,0.0017238254474153,-0.0001393467094278,2990,204,protocol_conservative,connection
5,0.0048477571024097,0.0006924808266997,2647,204,protocol_conservative,connection
6,0.0048427972477345,-0.0002839844876084,2902,204,protocol_conservative,connection
7,0.0062062575537514,0.0009074738788821,2960,204,protocol_conservative,connection
8,0.0027033678689504,0.000596131461987,2921,204,protocol_conservative,connection
9,0.0027489910325612,0.0007981886117416,2783,204,protocol_conservative,connection
10,0.0048321036218029,0.0003777800160857,2655,204,protocol_conservative,connection
11,0.0022257238643738,-0.0002847654407139,2836,204,protocol_conservative,connection
12,0.0029201642347611,0.0004811235699906,2780,204,protocol_conservative,connection
13,0.0046846705443324,0.0003898869492374,2657,204,protocol_conservative,connection
14,0.0033727921850552,-0.0005318523244606,3130,204,protocol_conservative,connection
15,0.0050617603814127,0.0014162490821955,2498,204,protocol_conservative,connection
16,0.0012838203093716,0.0005070162321304,2841,204,protocol_conservative,connection
17,0.002440721246255,0.0004686869270783,2687,204,protocol_conservative,connection
18,0.003026539663104,0.0003240946810796,2573,204,protocol_conservative,connection
19,0.0003101334309446,0.0002041189216128,2659,204,protocol_conservative,connection
20,0.0015516753815909,0.0008318769744417,2725,204,protocol_conservative,connection
21,-0.0021371342197153,-0.0001054628519711,2866,204,protocol_conservative,connection
22,0.0016502677252511,-1.977253258381162e-05,2718,204,protocol_conservative,connection
23,0.0031717795780555,0.0006365628960322,3014,204,protocol_conservative,connection
24,0.0067097514098347,0.0010184968689156,2614,204,protocol_conservative,connection
25,0.0028006650114589,0.0006535665165338,2654,204,protocol_conservative,connection
26,0.0018509974585682,0.0001272167895095,2884,204,protocol_conservative,connection
27,0.0012067594940898,0.0002264736168143,2881,204,protocol_conservative,connection
28,0.0014502742063286,-0.0001576826721322,2845,204,protocol_conservative,connection
29,0.0051055536692591,0.0009958247694672,2949,204,protocol_conservative,connection
