variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,10,32,transition_mid,transition_mid,9601,93003288610,0.20210996270179749,0.14472556114196777,20.273433685302734,69.5,0.35589757561683655,0.4321120083332062,0.8995391726493835,0.0
primary,93003,10,32,sparse_drive,transition_mid,9601,93003288610,0.7063376307487488,0.5193336606025696,20.253902435302734,69.5,0.859563410282135,0.17826001346111298,0.9400569200515747,0.0
primary,93003,10,32,transition_mid,transition_mid,9602,93003288611,0.2220810055732727,0.16035164892673492,20.355464935302734,70.0,0.37167882919311523,0.4024921655654907,0.9118964672088623,0.0
primary,93003,10,32,sparse_drive,transition_mid,9602,93003288611,0.7247872948646545,0.5291566848754883,20.242183685302734,69.5,0.8760858774185181,0.17269834876060486,0.928910493850708,0.0
primary,93003,10,32,transition_mid,transition_mid,9603,93003288612,0.4457046091556549,0.3229907155036926,20.300777435302734,69.5,0.6562056541442871,0.32078516483306885,0.9174195528030396,0.0
primary,93003,10,32,sparse_drive,transition_mid,9603,93003288612,0.7380263805389404,0.5394303798675537,20.283199310302734,69.5,0.8776047229766846,0.15904465317726135,0.9306769967079163,0.0
primary,93003,10,32,transition_mid,transition_mid,9604,93003288613,0.39173662662506104,0.2990718185901642,20.294918060302734,69.5,0.5922257304191589,0.33853498101234436,1.00443696975708,0.0
primary,93003,10,32,sparse_drive,transition_mid,9604,93003288613,0.7779574990272522,0.5641820430755615,20.302730560302734,69.5,0.9046853184700012,0.14007945358753204,0.9185471534729004,0.0
primary,93003,10,32,transition_mid,transition_mid,9605,93003288614,0.5323755145072937,0.3971647322177887,20.281246185302734,69.5,0.7117939591407776,0.2520652115345001,0.9639275670051575,0.0
primary,93003,10,32,sparse_drive,transition_mid,9605,93003288614,0.4656646251678467,0.33575162291526794,20.273433685302734,69.5,0.6468433737754822,0.28009679913520813,0.9097576141357422,0.0
primary,93003,10,32,transition_mid,transition_mid,9606,93003288615,0.28642627596855164,0.20822693407535553,20.310543060302734,69.5,0.4628954529762268,0.38122907280921936,0.9222978353500366,0.0
primary,93003,10,32,sparse_drive,transition_mid,9606,93003288615,0.7205889821052551,0.5279579758644104,20.281246185302734,69.5,0.8643659353256226,0.16633805632591248,0.9344796538352966,0.0
primary,93003,10,32,transition_mid,transition_mid,9607,93003288616,0.6415104866027832,0.48202329874038696,20.289058685302734,69.5,0.8142818212509155,0.2121763527393341,0.97613525390625,0.0
primary,93003,10,32,sparse_drive,transition_mid,9607,93003288616,0.6008685827255249,0.43567755818367004,20.263669967651367,69.5,0.7774779200553894,0.22715672850608826,0.9182734489440918,0.0
primary,93003,10,32,transition_mid,transition_mid,9608,93003288617,0.5744820833206177,0.43278366327285767,20.271480560302734,69.5,0.7670388221740723,0.2510390877723694,0.9806467890739441,0.0
primary,93003,10,32,sparse_drive,transition_mid,9608,93003288617,0.36084890365600586,0.2562962472438812,20.242183685302734,69.5,0.5347442030906677,0.3251933753490448,0.8877066969871521,0.0
primary,93003,10,32,transition_mid,sparse_drive,9601,93003288610,0.18714261054992676,0.13607117533683777,21.716793060302734,69.5,0.35132235288619995,0.46731939911842346,0.9225443005561829,0.0
primary,93003,10,32,sparse_drive,sparse_drive,9601,93003288610,0.23134376108646393,0.16333241760730743,21.660152435302734,70.0,0.378476619720459,0.38875019550323486,0.879195511341095,0.0
primary,93003,10,32,transition_mid,sparse_drive,9602,93003288611,0.26471734046936035,0.19442306458950043,21.683589935302734,70.0,0.4604787826538086,0.4251258075237274,0.9383327960968018,0.0
primary,93003,10,32,sparse_drive,sparse_drive,9602,93003288611,0.584410548210144,0.4246337115764618,21.583980560302734,69.5,0.7835636734962463,0.25416332483291626,0.9214903116226196,0.0
primary,93003,10,32,transition_mid,sparse_drive,9603,93003288612,0.2588408291339874,0.18933367729187012,21.714839935302734,70.0,0.45006102323532104,0.4248761534690857,0.9318764805793762,0.0
primary,93003,10,32,sparse_drive,sparse_drive,9603,93003288612,0.24007472395896912,0.1690165400505066,21.669918060302734,70.0,0.389792263507843,0.3840957283973694,0.8752195835113525,0.0
primary,93003,10,32,transition_mid,sparse_drive,9604,93003288613,0.5193672776222229,0.3758964538574219,21.712886810302734,70.0,0.7238393425941467,0.28248268365859985,0.915493369102478,0.0
primary,93003,10,32,sparse_drive,sparse_drive,9604,93003288613,0.5905968546867371,0.41369718313217163,21.662105560302734,70.0,0.7884052991867065,0.2508969008922577,0.8682286739349365,0.0
primary,93003,10,32,transition_mid,sparse_drive,9605,93003288614,0.34575536847114563,0.24724255502223969,21.748043060302734,70.0,0.5469937920570374,0.3678989112377167,0.8975022435188293,0.0
primary,93003,10,32,sparse_drive,sparse_drive,9605,93003288614,0.29652857780456543,0.20973411202430725,21.683589935302734,70.0,0.49464350938796997,0.4005206227302551,0.8817564845085144,0.0
primary,93003,10,32,transition_mid,sparse_drive,9606,93003288615,0.41181480884552,0.3006289303302765,21.593746185302734,69.5,0.6339921951293945,0.3504418432712555,0.9287487268447876,0.0
primary,93003,10,32,sparse_drive,sparse_drive,9606,93003288615,0.581409752368927,0.4189733564853668,21.597652435302734,69.5,0.7806578874588013,0.2552310526371002,0.9089259505271912,0.0
primary,93003,10,32,transition_mid,sparse_drive,9607,93003288616,0.6174014806747437,0.4406239092350006,21.734371185302734,70.0,0.8102894425392151,0.2380482256412506,0.8946336507797241,0.0
primary,93003,10,32,sparse_drive,sparse_drive,9607,93003288616,0.26665201783180237,0.19248372316360474,21.605464935302734,69.5,0.45023587346076965,0.4077503979206085,0.9115045666694641,0.0
primary,93003,10,32,transition_mid,sparse_drive,9608,93003288617,0.475010484457016,0.3390817642211914,21.677730560302734,70.0,0.6996598243713379,0.321083664894104,0.894971489906311,0.0
primary,93003,10,32,sparse_drive,sparse_drive,9608,93003288617,0.6714966893196106,0.4877912104129791,21.603511810302734,69.5,0.8458483219146729,0.20612630248069763,0.9211137890815735,0.0
