variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,13,32,transition_mid,transition_mid,9601,93002288607,0.3380703926086426,0.2600686550140381,20.162105560302734,69.5,0.5113330483436584,0.33884504437446594,1.0185461044311523,0.0
primary,93002,13,32,sparse_drive,transition_mid,9601,93002288607,0.4706765115261078,0.34578055143356323,20.285152435302734,69.5,0.6814649701118469,0.30931660532951355,0.9387465119361877,0.0
primary,93002,13,32,transition_mid,transition_mid,9602,93002288608,0.3869563043117523,0.30003270506858826,20.121089935302734,69.0,0.5874145030975342,0.3412551283836365,1.0336445569992065,0.0
primary,93002,13,32,sparse_drive,transition_mid,9602,93002288608,0.43970930576324463,0.32935625314712524,20.279293060302734,69.5,0.6592636704444885,0.33302968740463257,0.9707457423210144,0.0
primary,93002,13,32,transition_mid,transition_mid,9603,93002288609,0.6119384169578552,0.46455371379852295,20.205074310302734,69.5,0.7995999455451965,0.23469427227973938,0.9942083954811096,0.0
primary,93002,13,32,sparse_drive,transition_mid,9603,93002288609,0.5374572277069092,0.39284855127334595,20.320308685302734,69.5,0.7445533275604248,0.2781481146812439,0.930741012096405,0.0
primary,93002,13,32,transition_mid,transition_mid,9604,93002288610,0.5952680110931396,0.4420872926712036,20.218746185302734,69.5,0.7702732682228088,0.22719888389110565,0.9564058184623718,0.0
primary,93002,13,32,sparse_drive,transition_mid,9604,93002288610,0.5014284253120422,0.3663465976715088,20.310543060302734,69.5,0.7114226222038269,0.29517510533332825,0.9300259351730347,0.0
primary,93002,13,32,transition_mid,transition_mid,9605,93002288611,0.6514555215835571,0.507966160774231,20.148433685302734,69.0,0.8242279291152954,0.20961728692054749,1.0447078943252563,0.0
primary,93002,13,32,sparse_drive,transition_mid,9605,93002288611,0.4936557412147522,0.3594871759414673,20.314451217651367,69.5,0.6917569637298584,0.286374032497406,0.924915075302124,0.0
primary,93002,13,32,transition_mid,transition_mid,9606,93002288612,0.2580031454563141,0.20010024309158325,20.150386810302734,69.0,0.41560590267181396,0.37921199202537537,1.0341637134552002,0.0
primary,93002,13,32,sparse_drive,transition_mid,9606,93002288612,0.6254231929779053,0.44895726442337036,20.339839935302734,69.5,0.8110139966011047,0.2288379967212677,0.9031857252120972,0.0
primary,93002,13,32,transition_mid,transition_mid,9607,93002288613,0.5333068370819092,0.40058404207229614,20.222652435302734,69.5,0.7196100950241089,0.25889474153518677,0.9755483269691467,0.0
primary,93002,13,32,sparse_drive,transition_mid,9607,93002288613,0.5796072483062744,0.42358431220054626,20.335933685302734,69.5,0.7700032591819763,0.2472665160894394,0.9304694533348083,0.0
primary,93002,13,32,transition_mid,transition_mid,9608,93002288614,0.29269322752952576,0.222673699259758,20.162107467651367,69.0,0.4587237238883972,0.36194008588790894,0.9980525374412537,0.0
primary,93002,13,32,sparse_drive,transition_mid,9608,93002288614,0.3222884237766266,0.23653241991996765,20.316404342651367,69.5,0.4924599230289459,0.3455539643764496,0.9371614456176758,0.0
primary,93002,13,32,transition_mid,sparse_drive,9601,93002288607,0.4752465784549713,0.355097234249115,21.533199310302734,69.5,0.6937319040298462,0.31494200229644775,0.9665521383285522,0.0
primary,93002,13,32,sparse_drive,sparse_drive,9601,93002288607,0.43508675694465637,0.27810612320899963,21.822261810302734,70.5,0.6724675297737122,0.35299962759017944,0.7568146586418152,0.0
primary,93002,13,32,transition_mid,sparse_drive,9602,93002288608,0.506035327911377,0.3681268095970154,21.591793060302734,70.0,0.7270623445510864,0.3040000796318054,0.9233375787734985,0.0
primary,93002,13,32,sparse_drive,sparse_drive,9602,93002288608,0.47086459398269653,0.3256804645061493,21.765621185302734,70.0,0.686375081539154,0.3139835596084595,0.8511403799057007,0.0
primary,93002,13,32,transition_mid,sparse_drive,9603,93002288609,0.4814741611480713,0.3598974347114563,21.513668060302734,69.5,0.7022762894630432,0.31440919637680054,0.9672439098358154,0.0
primary,93002,13,32,sparse_drive,sparse_drive,9603,93002288609,0.24301305413246155,0.16898123919963837,21.734371185302734,70.0,0.3883558511734009,0.3742516040802002,0.8582572937011719,0.0
primary,93002,13,32,transition_mid,sparse_drive,9604,93002288610,0.5117698907852173,0.3792589008808136,21.511714935302734,69.5,0.732859194278717,0.30168047547340393,0.95285564661026,0.0
primary,93002,13,32,sparse_drive,sparse_drive,9604,93002288610,0.233977809548378,0.15750429034233093,21.759761810302734,69.5,0.3981885015964508,0.41239434480667114,0.8164975643157959,0.0
primary,93002,13,32,transition_mid,sparse_drive,9605,93002288611,0.6486729383468628,0.47974923253059387,21.519527435302734,69.5,0.8263755440711975,0.21503852307796478,0.9495642185211182,0.0
primary,93002,13,32,sparse_drive,sparse_drive,9605,93002288611,0.2273159623146057,0.16211175918579102,21.728511810302734,69.5,0.36919504404067993,0.3842930197715759,0.8935771584510803,0.0
primary,93002,13,32,transition_mid,sparse_drive,9606,93002288612,0.37364763021469116,0.2781222462654114,21.568355560302734,69.5,0.5709857940673828,0.3456096053123474,0.9601496458053589,0.0
primary,93002,13,32,sparse_drive,sparse_drive,9606,93002288612,0.37991252541542053,0.2563575506210327,21.757808685302734,70.0,0.5675989985466003,0.3306673467159271,0.8194684386253357,0.0
primary,93002,13,32,transition_mid,sparse_drive,9607,93002288613,0.17931325733661652,0.1300262212753296,21.621089935302734,69.5,0.32089412212371826,0.4412073791027069,0.9183892607688904,0.0
primary,93002,13,32,sparse_drive,sparse_drive,9607,93002288613,0.305387943983078,0.213748499751091,21.771480560302734,70.0,0.5082564949989319,0.39914602041244507,0.8671524524688721,0.0
primary,93002,13,32,transition_mid,sparse_drive,9608,93002288614,0.6596481204032898,0.4910358786582947,21.546871185302734,69.5,0.8351699709892273,0.21016299724578857,0.9602551460266113,0.0
primary,93002,13,32,sparse_drive,sparse_drive,9608,93002288614,0.5303817987442017,0.37067317962646484,21.763668060302734,70.0,0.7472582459449768,0.29022955894470215,0.8651075959205627,0.0
