variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,1,32,transition_mid,transition_mid,9601,93001288604,0.22223244607448578,0.16786445677280426,20.451168060302734,69.0,0.359333872795105,0.38154327869415283,0.9853097796440125,0.0
primary,93001,1,32,sparse_drive,transition_mid,9601,93001288604,0.22223834693431854,0.15425199270248413,20.455074310302734,69.5,0.35698118805885315,0.3774508535861969,0.8557926416397095,0.0
primary,93001,1,32,transition_mid,transition_mid,9602,93001288605,0.5562909841537476,0.40514785051345825,20.484371185302734,69.5,0.7436931133270264,0.2519885003566742,0.9251016974449158,0.0
primary,93001,1,32,sparse_drive,transition_mid,9602,93001288605,0.3203169107437134,0.23556604981422424,20.437496185302734,69.5,0.508249044418335,0.36976388096809387,0.9404209852218628,0.0
primary,93001,1,32,transition_mid,transition_mid,9603,93001288606,0.506135106086731,0.3787483870983124,20.458982467651367,69.5,0.717414140701294,0.29450079798698425,0.9691142439842224,0.0
primary,93001,1,32,sparse_drive,transition_mid,9603,93001288606,0.5657249093055725,0.4028927981853485,20.464839935302734,69.5,0.7668441534042358,0.26226872205734253,0.8915750980377197,0.0
primary,93001,1,32,transition_mid,transition_mid,9604,93001288607,0.2797998785972595,0.2135687619447708,20.412107467651367,69.5,0.43163034319877625,0.3517604172229767,1.0040531158447266,0.0
primary,93001,1,32,sparse_drive,transition_mid,9604,93001288607,0.7301723957061768,0.5093297958374023,20.425777435302734,69.5,0.8777250051498413,0.1681080311536789,0.8625074625015259,0.0
primary,93001,1,32,transition_mid,transition_mid,9605,93001288608,0.4618178904056549,0.33920052647590637,20.468746185302734,69.5,0.6359288692474365,0.2737899720668793,0.9384075999259949,0.0
primary,93001,1,32,sparse_drive,transition_mid,9605,93001288608,0.2702479660511017,0.193309023976326,20.443355560302734,69.5,0.44162851572036743,0.3880649507045746,0.8979585766792297,0.0
