epsilon,cost,count,fraction
0.0,0,38,0.095
0.0,1,107,0.2675
0.0,2,72,0.18
0.0,3,183,0.4575
0.005,0,51,0.1275
0.005,1,122,0.305
0.005,2,101,0.2525
0.005,3,126,0.315
0.01,0,72,0.18
0.01,1,135,0.3375
0.01,2,93,0.2325
0.01,3,100,0.25
0.015,0,86,0.215
0.015,1,142,0.355
0.015,2,90,0.225
0.015,3,82,0.205
0.02,0,105,0.2625
0.02,1,144,0.36
0.02,2,85,0.2125
0.02,3,66,0.165
0.025,0,116,0.29
0.025,1,154,0.385
0.025,2,76,0.19
0.025,3,54,0.135
0.03,0,128,0.32
0.03,1,156,0.39
0.03,2,68,0.17
0.03,3,48,0.12
0.04,0,151,0.3775
0.04,1,152,0.38
0.04,2,61,0.1525
0.04,3,36,0.09
0.05,0,167,0.4175
0.05,1,165,0.4125
0.05,2,47,0.1175
0.05,3,21,0.0525
