variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,18,32,transition_mid,transition_mid,9601,93001288604,0.664151668548584,0.4823155999183655,20.560543060302734,69.5,0.828265368938446,0.19814148545265198,0.9206675291061401,0.0
primary,93001,18,32,sparse_drive,transition_mid,9601,93001288604,0.49674227833747864,0.3765474259853363,20.361324310302734,69.5,0.6915111541748047,0.2816568613052368,0.9915765523910522,0.0
primary,93001,18,32,transition_mid,transition_mid,9602,93001288605,0.6740071177482605,0.48940449953079224,20.523433685302734,69.5,0.8375361561775208,0.19525016844272614,0.9204532504081726,0.0
primary,93001,18,32,sparse_drive,transition_mid,9602,93001288605,0.41530948877334595,0.31840360164642334,20.296871185302734,69.5,0.615507960319519,0.325257271528244,1.0121889114379883,0.0
primary,93001,18,32,transition_mid,transition_mid,9603,93001288606,0.6428822875022888,0.47018882632255554,20.523433685302734,69.5,0.8162440657615662,0.21238963305950165,0.9316800832748413,0.0
primary,93001,18,32,sparse_drive,transition_mid,9603,93001288606,0.24918964505195618,0.1908341497182846,20.308589935302734,69.5,0.3880375325679779,0.3578207194805145,1.0101375579833984,0.0
primary,93001,18,32,transition_mid,transition_mid,9604,93001288607,0.7239357829093933,0.5321865677833557,20.521480560302734,69.5,0.8725869655609131,0.1703568696975708,0.9397982358932495,0.0
primary,93001,18,32,sparse_drive,transition_mid,9604,93001288607,0.23623237013816833,0.17727819085121155,20.302730560302734,69.5,0.37912553548812866,0.3769020140171051,0.9739612340927124,0.0
primary,93001,18,32,transition_mid,transition_mid,9605,93001288608,0.20703472197055817,0.14402072131633759,20.537105560302734,70.0,0.3493598401546478,0.4073883593082428,0.8587936758995056,0.0
primary,93001,18,32,sparse_drive,transition_mid,9605,93001288608,0.45308801531791687,0.34493011236190796,20.341793060302734,69.5,0.6519225835800171,0.30499720573425293,0.9992694854736328,0.0
primary,93001,18,32,transition_mid,transition_mid,9606,93001288609,0.7329095602035522,0.5392019152641296,20.533199310302734,69.5,0.8809718489646912,0.16806699335575104,0.9410417079925537,0.0
primary,93001,18,32,sparse_drive,transition_mid,9606,93001288609,0.5216225385665894,0.3881458342075348,20.367183685302734,69.5,0.7023137211799622,0.2572799026966095,0.9596316814422607,0.0
primary,93001,18,32,transition_mid,transition_mid,9607,93001288610,0.3224014639854431,0.22573336958885193,20.531246185302734,70.0,0.5270172953605652,0.3882526159286499,0.8676189184188843,0.0
primary,93001,18,32,sparse_drive,transition_mid,9607,93001288610,0.41070249676704407,0.3101595640182495,20.371089935302734,69.5,0.6012101769447327,0.316873699426651,0.9849313497543335,0.0
primary,93001,18,32,transition_mid,transition_mid,9608,93001288611,0.3817957639694214,0.2693335711956024,20.519527435302734,69.5,0.5893931984901428,0.3522222936153412,0.8780456781387329,0.0
primary,93001,18,32,sparse_drive,transition_mid,9608,93001288611,0.5716153979301453,0.4262414276599884,20.349605560302734,69.5,0.7580152750015259,0.24590514600276947,0.963150143623352,0.0
primary,93001,18,32,transition_mid,sparse_drive,9601,93001288604,0.14814437925815582,0.10155197232961655,22.083982467651367,70.0,0.2667974829673767,0.4447309672832489,0.8394039273262024,0.0
primary,93001,18,32,sparse_drive,sparse_drive,9601,93001288604,0.38787388801574707,0.2859983444213867,21.794918060302734,70.0,0.6055575013160706,0.35947638750076294,0.9446443915367126,0.0
primary,93001,18,32,transition_mid,sparse_drive,9602,93001288605,0.6975774765014648,0.4949851632118225,21.972652435302734,70.0,0.8585649728775024,0.18750764429569244,0.8863319158554077,0.0
primary,93001,18,32,sparse_drive,sparse_drive,9602,93001288605,0.3334820568561554,0.25138959288597107,21.761714935302734,70.0,0.5446068048477173,0.3876645267009735,0.9817730188369751,0.0
primary,93001,18,32,transition_mid,sparse_drive,9603,93001288606,0.621055006980896,0.4451618492603302,21.968746185302734,70.0,0.8096274733543396,0.23291264474391937,0.9009976387023926,0.0
primary,93001,18,32,sparse_drive,sparse_drive,9603,93001288606,0.6218146085739136,0.45614874362945557,21.785152435302734,70.0,0.8091992735862732,0.23156794905662537,0.9364280104637146,0.0
primary,93001,18,32,transition_mid,sparse_drive,9604,93001288607,0.28339868783950806,0.19659821689128876,21.970699310302734,70.0,0.4549582898616791,0.37708860635757446,0.855083703994751,0.0
primary,93001,18,32,sparse_drive,sparse_drive,9604,93001288607,0.23747758567333221,0.18092425167560577,21.785152435302734,69.5,0.4130452275276184,0.42505669593811035,1.0006290674209595,0.0
primary,93001,18,32,transition_mid,sparse_drive,9605,93001288608,0.20887576043605804,0.143064945936203,22.035154342651367,70.0,0.3630788326263428,0.42470961809158325,0.8383392691612244,0.0
primary,93001,18,32,sparse_drive,sparse_drive,9605,93001288608,0.43002837896347046,0.3165324330329895,21.781246185302734,70.0,0.6178778409957886,0.3040235936641693,0.9418550133705139,0.0
primary,93001,18,32,transition_mid,sparse_drive,9606,93001288609,0.39257198572158813,0.26501336693763733,22.041013717651367,70.5,0.5990164875984192,0.3446391224861145,0.8199991583824158,0.0
primary,93001,18,32,sparse_drive,sparse_drive,9606,93001288609,0.35026198625564575,0.2586458921432495,21.783199310302734,70.0,0.5314129590988159,0.34088554978370667,0.9470300078392029,0.0
primary,93001,18,32,transition_mid,sparse_drive,9607,93001288610,0.5747970938682556,0.4071747958660126,21.998043060302734,70.0,0.7757129669189453,0.25900799036026,0.883924663066864,0.0
primary,93001,18,32,sparse_drive,sparse_drive,9607,93001288610,0.26164981722831726,0.19539940357208252,21.761714935302734,69.5,0.4430028200149536,0.40937212109565735,0.965674638748169,0.0
primary,93001,18,32,transition_mid,sparse_drive,9608,93001288611,0.32228296995162964,0.2318112701177597,21.957027435302734,70.0,0.4920259118080139,0.34498780965805054,0.9061488509178162,0.0
primary,93001,18,32,sparse_drive,sparse_drive,9608,93001288611,0.2901289463043213,0.21548384428024292,21.779293060302734,70.0,0.48097285628318787,0.3967873156070709,0.9565130472183228,0.0
