variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,13,32,transition_mid,transition_mid,9601,93001288604,0.7761359214782715,0.5571396350860596,20.310543060302734,69.5,0.9040014743804932,0.14144398272037506,0.9031696915626526,0.0
primary,93001,13,32,sparse_drive,transition_mid,9601,93001288604,0.5692986249923706,0.42523878812789917,20.374998092651367,69.5,0.7619611024856567,0.2528507709503174,0.9660244584083557,0.0
primary,93001,13,32,transition_mid,transition_mid,9602,93001288605,0.612635612487793,0.4586962163448334,20.277339935302734,69.5,0.79230797290802,0.22677086293697357,0.9700493812561035,0.0
primary,93001,13,32,sparse_drive,transition_mid,9602,93001288605,0.23980586230754852,0.18180356919765472,20.265621185302734,69.5,0.38610464334487915,0.3789096474647522,0.9917984008789062,0.0
primary,93001,13,32,transition_mid,transition_mid,9603,93001288606,0.3703712522983551,0.26845911145210266,20.269527435302734,69.5,0.583689272403717,0.36546504497528076,0.9177639484405518,0.0
primary,93001,13,32,sparse_drive,transition_mid,9603,93001288606,0.6685770750045776,0.4855597913265228,20.318355560302734,69.5,0.8285889029502869,0.19311363995075226,0.9207637906074524,0.0
primary,93001,13,32,transition_mid,transition_mid,9604,93001288607,0.6095129251480103,0.45889413356781006,20.271480560302734,69.5,0.7870473861694336,0.2255702018737793,0.9795860052108765,0.0
primary,93001,13,32,sparse_drive,transition_mid,9604,93001288607,0.2632337510585785,0.20163671672344208,20.246089935302734,69.0,0.43209215998649597,0.3907926082611084,1.0105724334716797,0.0
primary,93001,13,32,transition_mid,transition_mid,9605,93001288608,0.5449439883232117,0.394592821598053,20.302730560302734,69.5,0.7326008677482605,0.2561515271663666,0.9162067174911499,0.0
primary,93001,13,32,sparse_drive,transition_mid,9605,93001288608,0.7057667970657349,0.5144526362419128,20.347652435302734,69.5,0.8601905107498169,0.17952269315719604,0.9264345765113831,0.0
primary,93001,13,32,transition_mid,transition_mid,9606,93001288609,0.19494280219078064,0.13907064497470856,20.275386810302734,69.5,0.31980207562446594,0.3904266953468323,0.8940575122833252,0.0
primary,93001,13,32,sparse_drive,transition_mid,9606,93001288609,0.37375491857528687,0.2781658172607422,20.326168060302734,69.5,0.567294180393219,0.3411620557308197,0.9599321484565735,0.0
