variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
alternative,93010,0,32,transition_mid,transition_mid,9601,93010288631,0.23439769446849823,0.16938219964504242,20.417966842651367,70.0,0.39116641879081726,0.40077242255210876,0.9131220579147339,0.0
alternative,93010,0,32,sparse_drive,transition_mid,9601,93010288631,0.5683781504631042,0.42867791652679443,20.498043060302734,69.5,0.7639601230621338,0.2560107111930847,0.9826539158821106,0.0
alternative,93010,0,32,transition_mid,transition_mid,9602,93010288632,0.5713062882423401,0.42636704444885254,20.392574310302734,69.5,0.7420694231987,0.23011749982833862,0.964555561542511,0.0
alternative,93010,0,32,sparse_drive,transition_mid,9602,93010288632,0.35092583298683167,0.2681306302547455,20.474605560302734,69.5,0.5567755103111267,0.369717538356781,1.0059130191802979,0.0
alternative,93010,0,32,transition_mid,transition_mid,9603,93010288633,0.38635820150375366,0.2838786542415619,20.414058685302734,69.5,0.5723844766616821,0.3250023126602173,0.9389839768409729,0.0
alternative,93010,0,32,sparse_drive,transition_mid,9603,93010288633,0.33750712871551514,0.2568967640399933,20.404293060302734,69.0,0.5407764315605164,0.37588420510292053,0.9989659190177917,0.0
alternative,93010,0,32,transition_mid,transition_mid,9604,93010288634,0.2239374816417694,0.16049298644065857,20.437496185302734,70.0,0.3641098141670227,0.3849727213382721,0.9007989168167114,0.0
alternative,93010,0,32,sparse_drive,transition_mid,9604,93010288634,0.2884627878665924,0.21951687335968018,20.431636810302734,69.0,0.4772457778453827,0.3955676853656769,0.9985595941543579,0.0
alternative,93010,0,32,transition_mid,transition_mid,9605,93010288635,0.8035516142845154,0.5858570337295532,20.408199310302734,69.5,0.9167367815971375,0.12346532195806503,0.9267702102661133,0.0
alternative,93010,0,32,sparse_drive,transition_mid,9605,93010288635,0.35142961144447327,0.2716509699821472,20.374996185302734,69.0,0.5490714311599731,0.3599564731121063,1.027710199356079,0.0
alternative,93010,0,32,transition_mid,transition_mid,9606,93010288636,0.5481454730033875,0.3962011933326721,20.410152435302734,69.5,0.7433659434318542,0.26261693239212036,0.913489818572998,0.0
alternative,93010,0,32,sparse_drive,transition_mid,9606,93010288636,0.3493773341178894,0.26393961906433105,20.408199310302734,69.5,0.5333167314529419,0.3448970913887024,0.9855470657348633,0.0
alternative,93010,0,32,transition_mid,transition_mid,9607,93010288637,0.713553249835968,0.5269759297370911,20.402339935302734,69.5,0.865669846534729,0.17572124302387238,0.9472238421440125,0.0
alternative,93010,0,32,sparse_drive,transition_mid,9607,93010288637,0.4968148171901703,0.3780319392681122,20.472652435302734,69.5,0.6947028040885925,0.2848527431488037,0.9983757734298706,0.0
alternative,93010,0,32,transition_mid,transition_mid,9608,93010288638,0.5785514712333679,0.4240949749946594,20.423824310302734,69.5,0.774064302444458,0.25257959961891174,0.9352428913116455,0.0
alternative,93010,0,32,sparse_drive,transition_mid,9608,93010288638,0.25094833970069885,0.18882469832897186,20.443355560302734,69.5,0.41122499108314514,0.38975420594215393,0.9785661697387695,0.0
alternative,93010,0,32,transition_mid,sparse_drive,9601,93010288631,0.25649163126945496,0.18054647743701935,21.816402435302734,70.0,0.43762242794036865,0.41389739513397217,0.8750042915344238,0.0
alternative,93010,0,32,sparse_drive,sparse_drive,9601,93010288631,0.5420401096343994,0.40950971841812134,21.781246185302734,69.5,0.7375224232673645,0.2650527060031891,0.9856399297714233,0.0
alternative,93010,0,32,transition_mid,sparse_drive,9602,93010288632,0.25448423624038696,0.18045277893543243,21.810543060302734,70.0,0.4359544813632965,0.41625967621803284,0.885355532169342,0.0
alternative,93010,0,32,sparse_drive,sparse_drive,9602,93010288632,0.5485488772392273,0.4125138223171234,21.771480560302734,69.5,0.7530075311660767,0.27152279019355774,0.9775634407997131,0.0
alternative,93010,0,32,transition_mid,sparse_drive,9603,93010288633,0.37306544184684753,0.2607235014438629,21.804683685302734,70.0,0.5746327042579651,0.350775808095932,0.8650843501091003,0.0
alternative,93010,0,32,sparse_drive,sparse_drive,9603,93010288633,0.26286041736602783,0.19765833020210266,21.791011810302734,69.5,0.4225742518901825,0.3779544532299042,0.9774311184883118,0.0
alternative,93010,0,32,transition_mid,sparse_drive,9604,93010288634,0.44728177785873413,0.31380242109298706,21.808589935302734,70.0,0.6599017977714539,0.32219943404197693,0.8703985810279846,0.0
alternative,93010,0,32,sparse_drive,sparse_drive,9604,93010288634,0.5118279457092285,0.39742034673690796,21.751949310302734,69.5,0.7202329635620117,0.2893577814102173,1.0364254713058472,0.0
alternative,93010,0,32,transition_mid,sparse_drive,9605,93010288635,0.40900808572769165,0.2831222116947174,21.796871185302734,70.0,0.6166203022003174,0.33669379353523254,0.852199137210846,0.0
alternative,93010,0,32,sparse_drive,sparse_drive,9605,93010288635,0.6349297761917114,0.4812612533569336,21.761714935302734,69.5,0.8092383146286011,0.21539828181266785,0.9914397597312927,0.0
alternative,93010,0,32,transition_mid,sparse_drive,9606,93010288636,0.5093905329704285,0.3584825396537781,21.812496185302734,70.0,0.7091255784034729,0.2816638648509979,0.8746875524520874,0.0
alternative,93010,0,32,sparse_drive,sparse_drive,9606,93010288636,0.2752090096473694,0.20759475231170654,21.759761810302734,69.5,0.46380415558815,0.40662670135498047,0.98289555311203,0.0
alternative,93010,0,32,transition_mid,sparse_drive,9607,93010288637,0.4964118003845215,0.3526190221309662,21.812496185302734,70.0,0.7152564525604248,0.30596667528152466,0.8878610730171204,0.0
alternative,93010,0,32,sparse_drive,sparse_drive,9607,93010288637,0.6676082015037537,0.5130161643028259,21.785152435302734,69.5,0.8406060338020325,0.205801323056221,1.0165045261383057,0.0
alternative,93010,0,32,transition_mid,sparse_drive,9608,93010288638,0.5171445608139038,0.36600548028945923,21.802730560302734,70.0,0.7232121229171753,0.28493380546569824,0.8826473355293274,0.0
alternative,93010,0,32,sparse_drive,sparse_drive,9608,93010288638,0.18736222386360168,0.138135626912117,21.845699310302734,69.5,0.3298565447330475,0.43198877573013306,0.9444610476493835,0.0
