variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,10,32,transition_mid,transition_mid,9601,93001288604,0.5947090983390808,0.3983696401119232,20.509761810302734,70.0,0.7680897116661072,0.22572962939739227,0.810482382774353,0.0
primary,93001,10,32,sparse_drive,transition_mid,9601,93001288604,0.2293158918619156,0.17189748585224152,20.388668060302734,69.5,0.37489187717437744,0.3883146047592163,0.9720642566680908,0.0
primary,93001,10,32,transition_mid,transition_mid,9602,93001288605,0.7143937945365906,0.4712824523448944,20.529293060302734,70.0,0.8685285449028015,0.1774665117263794,0.7922745943069458,0.0
primary,93001,10,32,sparse_drive,transition_mid,9602,93001288605,0.2551628351211548,0.19321833550930023,20.384761810302734,69.5,0.4237837791442871,0.3978937566280365,0.9897023439407349,0.0
primary,93001,10,32,transition_mid,transition_mid,9603,93001288606,0.5339853763580322,0.3826788663864136,20.433589935302734,69.5,0.7296898365020752,0.2682022452354431,0.9007168412208557,0.0
primary,93001,10,32,sparse_drive,transition_mid,9603,93001288606,0.45540714263916016,0.3368200361728668,20.455074310302734,69.5,0.6714691519737244,0.32177501916885376,0.9496002793312073,0.0
primary,93001,10,32,transition_mid,transition_mid,9604,93001288607,0.2996978461742401,0.2122645527124405,20.472652435302734,69.5,0.483697772026062,0.38040268421173096,0.8836874961853027,0.0
primary,93001,10,32,sparse_drive,transition_mid,9604,93001288607,0.474335640668869,0.35694101452827454,20.457027435302734,69.5,0.6770988702774048,0.2994588017463684,0.9787107706069946,0.0
primary,93001,10,32,transition_mid,transition_mid,9605,93001288608,0.5204989910125732,0.3684239685535431,20.470699310302734,69.5,0.7205095291137695,0.2775959372520447,0.882818341255188,0.0
primary,93001,10,32,sparse_drive,transition_mid,9605,93001288608,0.2736208736896515,0.21200129389762878,20.402341842651367,69.0,0.43977245688438416,0.37781262397766113,1.0322256088256836,0.0
primary,93001,10,32,transition_mid,transition_mid,9606,93001288609,0.7455947995185852,0.5530613660812378,20.427730560302734,69.5,0.8857284188270569,0.1582128256559372,0.9544076919555664,0.0
primary,93001,10,32,sparse_drive,transition_mid,9606,93001288609,0.25951260328292847,0.19910836219787598,20.412105560302734,69.0,0.41955238580703735,0.38145366311073303,1.0135825872421265,0.0
primary,93001,10,32,transition_mid,transition_mid,9607,93001288610,0.6861440539360046,0.49754607677459717,20.439449310302734,69.5,0.8494323492050171,0.19223228096961975,0.9183870553970337,0.0
primary,93001,10,32,sparse_drive,transition_mid,9607,93001288610,0.6291500329971313,0.4602125287055969,20.453121185302734,69.5,0.81382155418396,0.22691893577575684,0.9319095611572266,0.0
primary,93001,10,32,transition_mid,transition_mid,9608,93001288611,0.5168843269348145,0.3857789933681488,20.431636810302734,69.5,0.7050808668136597,0.26691487431526184,0.9646742343902588,0.0
primary,93001,10,32,sparse_drive,transition_mid,9608,93001288611,0.6519618630409241,0.4776473641395569,20.474605560302734,69.5,0.8209795951843262,0.2058732658624649,0.9343830347061157,0.0
primary,93001,10,32,transition_mid,sparse_drive,9601,93001288604,0.22605417668819427,0.148720845580101,21.986324310302734,70.5,0.398188054561615,0.43229296803474426,0.7891003489494324,0.0
primary,93001,10,32,sparse_drive,sparse_drive,9601,93001288604,0.342192143201828,0.24129891395568848,21.958980560302734,70.0,0.5520169734954834,0.38010573387145996,0.8774831891059875,0.0
primary,93001,10,32,transition_mid,sparse_drive,9602,93001288605,0.18298915028572083,0.12254700809717178,21.970699310302734,70.5,0.3425580561161041,0.4658156633377075,0.8101907968521118,0.0
primary,93001,10,32,sparse_drive,sparse_drive,9602,93001288605,0.5332258939743042,0.38801100850105286,21.859371185302734,69.5,0.7366276979446411,0.27612563967704773,0.9237512350082397,0.0
primary,93001,10,32,transition_mid,sparse_drive,9603,93001288606,0.3341446816921234,0.23518140614032745,21.890621185302734,70.0,0.5476861000061035,0.3898974359035492,0.874852180480957,0.0
primary,93001,10,32,sparse_drive,sparse_drive,9603,93001288606,0.7112035155296326,0.524479866027832,21.896480560302734,69.5,0.865816056728363,0.1785743087530136,0.9448749423027039,0.0
primary,93001,10,32,transition_mid,sparse_drive,9604,93001288607,0.22496889531612396,0.15674683451652527,21.910152435302734,70.0,0.37249955534935,0.3960559666156769,0.8609541058540344,0.0
primary,93001,10,32,sparse_drive,sparse_drive,9604,93001288607,0.34917035698890686,0.250007688999176,21.894527435302734,69.5,0.5460518598556519,0.3605545461177826,0.8993985652923584,0.0
primary,93001,10,32,transition_mid,sparse_drive,9605,93001288608,0.3690691292285919,0.2386486977338791,21.982418060302734,70.5,0.565308690071106,0.3471370041370392,0.769473671913147,0.0
primary,93001,10,32,sparse_drive,sparse_drive,9605,93001288608,0.3970547318458557,0.29065415263175964,21.878902435302734,69.5,0.6030468940734863,0.34158560633659363,0.9330772161483765,0.0
primary,93001,10,32,transition_mid,sparse_drive,9606,93001288609,0.45824870467185974,0.30327120423316956,21.982418060302734,70.5,0.6628372073173523,0.308655709028244,0.796018123626709,0.0
primary,93001,10,32,sparse_drive,sparse_drive,9606,93001288609,0.6473989486694336,0.4815336763858795,21.869136810302734,69.5,0.8266577124595642,0.21684758365154266,0.9589260220527649,0.0
primary,93001,10,32,transition_mid,sparse_drive,9607,93001288610,0.338746577501297,0.23712760210037231,21.906246185302734,70.0,0.5306450724601746,0.36163246631622314,0.867329478263855,0.0
primary,93001,10,32,sparse_drive,sparse_drive,9607,93001288610,0.2052205353975296,0.14791759848594666,21.865230560302734,70.0,0.34819695353507996,0.4106194078922272,0.909253716468811,0.0
