variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,9,32,transition_mid,transition_mid,9601,93001288604,0.267962783575058,0.18405325710773468,20.470699310302734,70.0,0.47015219926834106,0.43005096912384033,0.8419891595840454,0.0
primary,93001,9,32,sparse_drive,transition_mid,9601,93001288604,0.6694145202636719,0.4953843951225281,20.404293060302734,69.5,0.8341041803359985,0.19744497537612915,0.9505377411842346,0.0
primary,93001,9,32,transition_mid,transition_mid,9602,93001288605,0.14954037964344025,0.10172679275274277,20.457027435302734,70.0,0.2620045244693756,0.4292450547218323,0.8296034336090088,0.0
primary,93001,9,32,sparse_drive,transition_mid,9602,93001288605,0.6075939536094666,0.4541294276714325,20.384761810302734,69.5,0.7814583778381348,0.22248709201812744,0.9670896530151367,0.0
primary,93001,9,32,transition_mid,transition_mid,9603,93001288606,0.2735174298286438,0.18885678052902222,20.416011810302734,70.0,0.4677075147628784,0.41519561409950256,0.8488616943359375,0.0
primary,93001,9,32,sparse_drive,transition_mid,9603,93001288606,0.32075682282447815,0.24592499434947968,20.310543060302734,69.5,0.5020560622215271,0.3611135184764862,1.012277364730835,0.0
primary,93001,9,32,transition_mid,transition_mid,9604,93001288607,0.6163580417633057,0.4495062530040741,20.402339935302734,69.5,0.7924454808235168,0.2222076952457428,0.9272177815437317,0.0
primary,93001,9,32,sparse_drive,transition_mid,9604,93001288607,0.6872231960296631,0.5133554935455322,20.359371185302734,69.5,0.8456525802612305,0.18734575808048248,0.9661319851875305,0.0
primary,93001,9,32,transition_mid,transition_mid,9605,93001288608,0.29698002338409424,0.19973470270633698,20.441402435302734,70.0,0.49038034677505493,0.3943883776664734,0.8153894543647766,0.0
primary,93001,9,32,sparse_drive,transition_mid,9605,93001288608,0.3845146596431732,0.291641503572464,20.312496185302734,69.5,0.5903269052505493,0.34864118695259094,0.9925946593284607,0.0
primary,93001,9,32,transition_mid,transition_mid,9606,93001288609,0.30897846817970276,0.21050730347633362,20.445310592651367,70.0,0.5183601379394531,0.4039309024810791,0.8315378427505493,0.0
primary,93001,9,32,sparse_drive,transition_mid,9606,93001288609,0.66815584897995,0.49088340997695923,20.371089935302734,69.5,0.8330480456352234,0.19793836772441864,0.9388295412063599,0.0
primary,93001,9,32,transition_mid,transition_mid,9607,93001288610,0.2359350323677063,0.1627725213766098,20.417964935302734,70.0,0.40360313653945923,0.41542816162109375,0.8477724194526672,0.0
primary,93001,9,32,sparse_drive,transition_mid,9607,93001288610,0.43808743357658386,0.33413130044937134,20.298824310302734,69.5,0.6375406384468079,0.3128478527069092,1.0026495456695557,0.0
primary,93001,9,32,transition_mid,transition_mid,9608,93001288611,0.5242496132850647,0.37499675154685974,20.406246185302734,69.5,0.7254216074943542,0.2773173451423645,0.8979576230049133,0.0
