variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
matched,93010,0,32,transition_mid,transition_mid,9601,93010288631,0.24536573886871338,0.07803001999855042,68.75975799560547,74.5,0.4450678825378418,0.4487004280090332,0.32943740487098694,0.0
matched,93010,0,32,sparse_drive,transition_mid,9601,93010288631,0.1785954236984253,0.052941691130399704,69.00585174560547,68.0,0.3439386188983917,0.48073455691337585,0.30560511350631714,0.0
matched,93010,0,32,transition_mid,transition_mid,9602,93010288632,0.22703498601913452,0.07278857380151749,68.74413299560547,74.5,0.40784671902656555,0.44333258271217346,0.332321435213089,0.0
matched,93010,0,32,sparse_drive,transition_mid,9602,93010288632,0.11118464171886444,0.03137701749801636,68.99217987060547,68.0,0.24336516857147217,0.5431365966796875,0.290077805519104,0.0
matched,93010,0,32,transition_mid,transition_mid,9603,93010288633,0.31719523668289185,0.10437480360269547,68.77733612060547,74.5,0.5273145437240601,0.39847052097320557,0.34176862239837646,0.0
matched,93010,0,32,sparse_drive,transition_mid,9603,93010288633,0.1332017332315445,0.03948209434747696,68.99217987060547,68.0,0.26830992102622986,0.5035527348518372,0.3055773079395294,0.0
matched,93010,0,32,transition_mid,transition_mid,9604,93010288634,0.3446120321750641,0.10771996527910233,68.75780487060547,74.5,0.5481604337692261,0.3713299632072449,0.3234059512615204,0.0
matched,93010,0,32,sparse_drive,transition_mid,9604,93010288634,0.1557776778936386,0.04514305666089058,69.00194549560547,68.0,0.31251877546310425,0.5015413761138916,0.29833871126174927,0.0
matched,93010,0,32,transition_mid,transition_mid,9605,93010288635,0.3258361518383026,0.10756897181272507,68.76171112060547,74.5,0.5388050675392151,0.3952614963054657,0.34297654032707214,0.0
matched,93010,0,32,sparse_drive,transition_mid,9605,93010288635,0.1092020720243454,0.03188800439238548,69.01757049560547,68.0,0.24076242744922638,0.5464322566986084,0.30076131224632263,0.0
matched,93010,0,32,transition_mid,transition_mid,9606,93010288636,0.44945818185806274,0.15018416941165924,68.76171112060547,74.5,0.6560278534889221,0.3148794174194336,0.3474869430065155,0.0
