variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,3,32,transition_mid,transition_mid,9601,93002288607,0.7184008359909058,0.5249319672584534,20.214839935302734,69.5,0.8690595030784607,0.17335833609104156,0.9302172064781189,0.0
primary,93002,3,32,sparse_drive,transition_mid,9601,93002288607,0.5231668949127197,0.37460339069366455,20.251949310302734,69.5,0.7107076644897461,0.2638789713382721,0.8994508385658264,0.0
primary,93002,3,32,transition_mid,transition_mid,9602,93002288608,0.7339176535606384,0.5331268310546875,20.230464935302734,69.5,0.8758761286735535,0.16207602620124817,0.921089231967926,0.0
primary,93002,3,32,sparse_drive,transition_mid,9602,93002288608,0.37814047932624817,0.27411332726478577,20.218746185302734,69.5,0.5714582800865173,0.3382885754108429,0.9178907871246338,0.0
primary,93002,3,32,transition_mid,transition_mid,9603,93002288609,0.21588881313800812,0.1530735343694687,20.205074310302734,69.5,0.3571116328239441,0.395458459854126,0.8852481842041016,0.0
primary,93002,3,32,sparse_drive,transition_mid,9603,93002288609,0.3641899526119232,0.2634073495864868,20.240230560302734,69.5,0.5678896903991699,0.35869601368904114,0.914466381072998,0.0
primary,93002,3,32,transition_mid,transition_mid,9604,93002288610,0.5854977369308472,0.43587350845336914,20.216793060302734,69.5,0.7895917892456055,0.2584804892539978,0.960387110710144,0.0
primary,93002,3,32,sparse_drive,transition_mid,9604,93002288610,0.3208690881729126,0.23946647346019745,20.199214935302734,69.5,0.5122354030609131,0.3735906183719635,0.9645642638206482,0.0
primary,93002,3,32,transition_mid,transition_mid,9605,93002288611,0.7847223877906799,0.5820019841194153,20.240230560302734,69.5,0.9084253907203674,0.1361730396747589,0.9541721343994141,0.0
primary,93002,3,32,sparse_drive,transition_mid,9605,93002288611,0.3350156843662262,0.25200921297073364,20.218746185302734,69.5,0.5352469682693481,0.37409141659736633,0.9780742526054382,0.0
primary,93002,3,32,transition_mid,transition_mid,9606,93002288612,0.762959897518158,0.5547813177108765,20.238277435302734,69.5,0.8931219577789307,0.14573828876018524,0.922639012336731,0.0
