complexity_fraction,frequency_state,fraction,window,source_fraction_column,semantic_fraction_name
0.0,high_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.2,high_frequency,0.9041666666666668,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.25,high_frequency,0.9895833333333334,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.3,high_frequency,1.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.35,high_frequency,1.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.4,high_frequency,1.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.5,high_frequency,1.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.6,high_frequency,1.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.7,high_frequency,1.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.8,high_frequency,1.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
1.0,high_frequency,1.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.0,high_intermediate,0.0145833333333333,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.2,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.25,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.3,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.35,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.4,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.5,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.6,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.7,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.8,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
1.0,high_intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.0,intermediate,0.11875,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.2,intermediate,0.05625,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.25,intermediate,0.0072916666666666,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.3,intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.35,intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.4,intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.5,intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.6,intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.7,intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.8,intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
1.0,intermediate,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.0,low_frequency,0.2239583333333333,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.2,low_frequency,0.0072916666666666,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.25,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.3,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.35,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.4,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.5,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.6,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.7,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.8,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
1.0,low_frequency,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.0,weak_or_irregular,0.6427083333333333,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.2,weak_or_irregular,0.0322916666666666,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.25,weak_or_irregular,0.003125,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.3,weak_or_irregular,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.35,weak_or_irregular,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.4,weak_or_irregular,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.5,weak_or_irregular,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.6,weak_or_irregular,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.7,weak_or_irregular,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
0.8,weak_or_irregular,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
1.0,weak_or_irregular,0.0,heterogeneity_optimum,hh_fraction,high-complexity fraction
