variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,1,32,transition_mid,transition_mid,9601,93002288607,0.4589007496833801,0.34431588649749756,20.232418060302734,69.0,0.6788690090179443,0.3240216374397278,0.9736543893814087,0.0
primary,93002,1,32,sparse_drive,transition_mid,9601,93002288607,0.5400584936141968,0.3915497064590454,20.220699310302734,69.5,0.7383353114128113,0.2685457468032837,0.9181339740753174,0.0
primary,93002,1,32,transition_mid,transition_mid,9602,93002288608,0.24123787879943848,0.18143559992313385,20.275386810302734,69.5,0.4002215564250946,0.39723914861679077,0.9777780175209045,0.0
primary,93002,1,32,sparse_drive,transition_mid,9602,93002288608,0.45245468616485596,0.33130452036857605,20.218746185302734,69.5,0.6553026437759399,0.3095485270023346,0.9335355162620544,0.0
primary,93002,1,32,transition_mid,transition_mid,9603,93002288609,0.4812667965888977,0.35577625036239624,20.306636810302734,69.5,0.689870297908783,0.3023807406425476,0.948822557926178,0.0
primary,93002,1,32,sparse_drive,transition_mid,9603,93002288609,0.43897876143455505,0.32391929626464844,20.203123092651367,69.5,0.6460883021354675,0.32055920362472534,0.945837676525116,0.0
primary,93002,1,32,transition_mid,transition_mid,9604,93002288610,0.33095782995224,0.251626193523407,20.253902435302734,69.0,0.5273393392562866,0.3724006116390228,0.9969182014465332,0.0
primary,93002,1,32,sparse_drive,transition_mid,9604,93002288610,0.3267642557621002,0.24131131172180176,20.189449310302734,69.5,0.4991152882575989,0.34531310200691223,0.9471443295478821,0.0
primary,93002,1,32,transition_mid,transition_mid,9605,93002288611,0.31643611192703247,0.2434564232826233,20.259761810302734,69.0,0.5103854537010193,0.3800055682659149,1.0187817811965942,0.0
primary,93002,1,32,sparse_drive,transition_mid,9605,93002288611,0.5392940044403076,0.39703601598739624,20.214839935302734,69.5,0.7072082757949829,0.2374325841665268,0.9421628713607788,0.0
primary,93002,1,32,transition_mid,transition_mid,9606,93002288612,0.5054709911346436,0.3645555078983307,20.343746185302734,69.5,0.7028695940971375,0.28084665536880493,0.9101815223693848,0.0
primary,93002,1,32,sparse_drive,transition_mid,9606,93002288612,0.48974886536598206,0.3661288321018219,20.205074310302734,69.5,0.7034728527069092,0.3038126826286316,0.9674573540687561,0.0
primary,93002,1,32,transition_mid,transition_mid,9607,93002288613,0.4755815863609314,0.3398156762123108,20.349605560302734,69.5,0.6635010838508606,0.28322407603263855,0.896371603012085,0.0
primary,93002,1,32,sparse_drive,transition_mid,9607,93002288613,0.7062290906906128,0.5183422565460205,20.224605560302734,69.5,0.8645603060722351,0.18313495814800262,0.9372531175613403,0.0
primary,93002,1,32,transition_mid,transition_mid,9608,93002288614,0.32361799478530884,0.24806562066078186,20.277339935302734,69.0,0.504467785358429,0.35849621891975403,1.011879801750183,0.0
primary,93002,1,32,sparse_drive,transition_mid,9608,93002288614,0.5622473359107971,0.4128854274749756,20.210933685302734,69.5,0.7552742958068848,0.25557196140289307,0.9381007552146912,0.0
