variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,5,32,transition_mid,transition_mid,9601,93001288604,0.48725831508636475,0.3490787744522095,20.482418060302734,69.5,0.6914379596710205,0.29529714584350586,0.900239109992981,0.0
primary,93001,5,32,sparse_drive,transition_mid,9601,93001288604,0.46317458152770996,0.3402482271194458,20.333980560302734,69.5,0.674643337726593,0.31345266103744507,0.9386478066444397,0.0
primary,93001,5,32,transition_mid,transition_mid,9602,93001288605,0.7363834977149963,0.5307167172431946,20.468746185302734,69.5,0.876571536064148,0.15992766618728638,0.909114420413971,0.0
primary,93001,5,32,sparse_drive,transition_mid,9602,93001288605,0.3578850030899048,0.2710663676261902,20.294918060302734,69.0,0.5593783855438232,0.36020946502685547,0.990116536617279,0.0
primary,93001,5,32,transition_mid,transition_mid,9603,93001288606,0.7149523496627808,0.5220288634300232,20.445308685302734,69.5,0.8687971830368042,0.17707796394824982,0.9290677309036255,0.0
primary,93001,5,32,sparse_drive,transition_mid,9603,93001288606,0.3871288001537323,0.2879274785518646,20.308589935302734,69.5,0.593201220035553,0.34739044308662415,0.9588223695755005,0.0
primary,93001,5,32,transition_mid,transition_mid,9604,93001288607,0.7918746471405029,0.5642150044441223,20.470699310302734,69.5,0.9113664627075195,0.13111281394958496,0.8922545313835144,0.0
primary,93001,5,32,sparse_drive,transition_mid,9604,93001288607,0.4423277676105499,0.3314339816570282,20.320308685302734,69.5,0.6511867642402649,0.32073596119880676,0.9713456034660339,0.0
primary,93001,5,32,transition_mid,transition_mid,9605,93001288608,0.7600813508033752,0.5564659833908081,20.482418060302734,69.5,0.8930271863937378,0.14887100458145142,0.9332676529884338,0.0
primary,93001,5,32,sparse_drive,transition_mid,9605,93001288608,0.4097585380077362,0.29833510518074036,20.349605560302734,69.5,0.6088851094245911,0.32703468203544617,0.9246194362640381,0.0
primary,93001,5,32,transition_mid,transition_mid,9606,93001288609,0.47506874799728394,0.3401077389717102,20.490230560302734,69.5,0.6909313201904297,0.31242263317108154,0.8992094397544861,0.0
