variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93011,0,32,transition_mid,transition_mid,9601,93011288634,0.5852769613265991,0.45371654629707336,20.470701217651367,69.0,0.7819848656654358,0.25154951214790344,1.0332707166671753,0.0
primary,93011,0,32,sparse_drive,transition_mid,9601,93011288634,0.2246488630771637,0.1710028052330017,20.414058685302734,69.5,0.37094780802726746,0.3943922519683838,0.9990631341934204,0.0
primary,93011,0,32,transition_mid,transition_mid,9602,93011288635,0.3069414794445038,0.2321171760559082,20.425777435302734,69.5,0.5051058530807495,0.39232248067855835,0.9873409271240234,0.0
primary,93011,0,32,sparse_drive,transition_mid,9602,93011288635,0.35285627841949463,0.26656877994537354,20.431636810302734,69.0,0.5496867299079895,0.3580775260925293,0.9855533838272095,0.0
primary,93011,0,32,transition_mid,transition_mid,9603,93011288636,0.22021186351776123,0.16688606142997742,20.455074310302734,69.0,0.3623099625110626,0.3922003507614136,0.99112868309021,0.0
primary,93011,0,32,sparse_drive,transition_mid,9603,93011288636,0.3338840901851654,0.2537006437778473,20.437496185302734,69.5,0.5261115431785583,0.36537396907806396,0.9958516359329224,0.0
primary,93011,0,32,transition_mid,transition_mid,9604,93011288637,0.35055631399154663,0.2560322880744934,20.460933685302734,69.5,0.5628278851509094,0.37715181708335876,0.9294982552528381,0.0
primary,93011,0,32,sparse_drive,transition_mid,9604,93011288637,0.6796514987945557,0.5203794240951538,20.445308685302734,69.0,0.8467720746994019,0.19736194610595703,1.00974440574646,0.0
primary,93011,0,32,transition_mid,transition_mid,9605,93011288638,0.3766983449459076,0.2891114354133606,20.457027435302734,69.0,0.5724236965179443,0.34192389249801636,1.0141862630844116,0.0
primary,93011,0,32,sparse_drive,transition_mid,9605,93011288638,0.49655458331108093,0.38288336992263794,20.402339935302734,69.0,0.7007625699043274,0.2914082407951355,1.0229865312576294,0.0
primary,93011,0,32,transition_mid,transition_mid,9606,93011288639,0.35797321796417236,0.25955674052238464,20.482418060302734,69.5,0.5573532581329346,0.357726514339447,0.9182597398757935,0.0
primary,93011,0,32,sparse_drive,transition_mid,9606,93011288639,0.4617283344268799,0.35052821040153503,20.466793060302734,69.0,0.6658410429954529,0.30654874444007874,0.9942423105239868,0.0
primary,93011,0,32,transition_mid,transition_mid,9607,93011288640,0.3865334391593933,0.29755693674087524,20.441402435302734,69.0,0.5903587341308594,0.3452567160129547,1.019858717918396,0.0
primary,93011,0,32,sparse_drive,transition_mid,9607,93011288640,0.2574197053909302,0.19695819914340973,20.443355560302734,69.0,0.42083773016929626,0.38831600546836853,1.0084612369537354,0.0
primary,93011,0,32,transition_mid,transition_mid,9608,93011288641,0.35631629824638367,0.2730221450328827,20.455074310302734,69.0,0.5325592160224915,0.33093586564064026,1.0111453533172607,0.0
primary,93011,0,32,sparse_drive,transition_mid,9608,93011288641,0.3616449534893036,0.2692922055721283,20.513668060302734,69.5,0.560549795627594,0.35483884811401367,0.9607954025268555,0.0
primary,93011,0,32,transition_mid,sparse_drive,9601,93011288634,0.23640353977680206,0.1773645430803299,21.869136810302734,69.5,0.41087526082992554,0.42463427782058716,0.9735537171363831,0.0
primary,93011,0,32,sparse_drive,sparse_drive,9601,93011288634,0.41877666115760803,0.32021504640579224,21.837886810302734,69.5,0.6231006979942322,0.3279149532318115,1.0073024034500122,0.0
primary,93011,0,32,transition_mid,sparse_drive,9602,93011288635,0.4684567153453827,0.3420264422893524,21.853511810302734,69.5,0.6946104764938354,0.3255836069583893,0.9289698004722595,0.0
primary,93011,0,32,sparse_drive,sparse_drive,9602,93011288635,0.4986688494682312,0.37697577476501465,21.845699310302734,69.5,0.7131413817405701,0.30074331164360046,0.9867291450500488,0.0
primary,93011,0,32,transition_mid,sparse_drive,9603,93011288636,0.6036762595176697,0.4401319921016693,21.908199310302734,69.5,0.7908323407173157,0.23665709793567657,0.926773726940155,0.0
primary,93011,0,32,sparse_drive,sparse_drive,9603,93011288636,0.48019886016845703,0.3560454845428467,21.871089935302734,69.5,0.6992478370666504,0.3132637143135071,0.9537016153335571,0.0
primary,93011,0,32,transition_mid,sparse_drive,9604,93011288637,0.5213931202888489,0.37865743041038513,21.917964935302734,69.5,0.7205966114997864,0.2764424681663513,0.9207281470298767,0.0
primary,93011,0,32,sparse_drive,sparse_drive,9604,93011288637,0.5448874235153198,0.40217751264572144,21.857418060302734,69.5,0.7337479591369629,0.2573915421962738,0.946276843547821,0.0
primary,93011,0,32,transition_mid,sparse_drive,9605,93011288638,0.3275481164455414,0.24075466394424438,21.820308685302734,69.5,0.54535973072052,0.39939069747924805,0.9395616054534912,0.0
primary,93011,0,32,sparse_drive,sparse_drive,9605,93011288638,0.3186258375644684,0.23813697695732117,21.863277435302734,69.5,0.5121483206748962,0.37786415219306946,0.9670102000236511,0.0
